Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 22:39:34,1490261974000
Duration,  2 days, 9 hours, 39 minutes, 34 seconds,207574000
Slew time, 0 day, 3 hours, 3 minutes, 49 seconds,1.1029E7
Integration time, 2 days, 6 hours, 35 minutes, 31 seconds,1.96531E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05313285864318267
Relative integration time, 0.9467996955302688
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:25,J1826-1334,4.826793494801613,-0.2365561090511381,79.0,101,66.0,66.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5412131270122176
21/03/2017 13:02:25,21/03/2017 13:10:13,J1709-1640,4.491782366353361,-0.29060832572761713,14.0,653,454.0,454.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4372853505840506
21/03/2017 13:10:13,21/03/2017 13:13:09,J1705-1906,4.475031401596625,-0.3331707490500087,3.0,298,173.0,173.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:13:09,21/03/2017 13:46:59,J1652-2404,4.419938702038434,-0.4195044301272704,6.0,1703,2024.0,2024.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:59,21/03/2017 13:56:53,J1555-3134,4.1682790954169535,-0.5508448196629737,17.0,518,577.0,577.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:56:53,21/03/2017 14:02:32,J1557-4258,4.175718997685893,-0.7498484245282018,10.0,329,329.0,329.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:02:32,21/03/2017 14:13:42,J1648-3256,4.398671137882361,-0.5745972963415731,13.0,719,657.0,657.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0946583129502785
21/03/2017 14:13:42,21/03/2017 14:34:50,J1733-2228,4.596501299713831,-0.39193792421938217,13.0,871,1255.0,1255.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:34:50,21/03/2017 14:37:24,J1807-0847,4.745697672861144,-0.15308830708701918,13.0,163,141.0,141.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1547141060689707
21/03/2017 14:37:24,21/03/2017 15:03:28,J1820-0427,4.803481131982726,-0.07748234073850871,5.0,598,1559.0,1559.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:03:28,21/03/2017 15:25:31,J1727-2739,4.570652973491796,-0.48258111410802657,30.0,1293,1293.0,1293.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
