Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 21:58:17,1490259497000
Duration,  2 days, 8 hours, 58 minutes, 17 seconds,205097000
Slew time, 0 day, 1 hour, 45 minutes, 1 second,6301000.0
Integration time, 2 days, 7 hours, 15 minutes, 26 seconds,1.98926E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.030722048591642005
Relative integration time, 0.9699117978322452
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:41,J1826-1334,4.826793494801613,-0.2365561090511381,79.0,101,82.0,82.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.232708904196731
21/03/2017 13:02:41,21/03/2017 13:07:30,J1709-1640,4.491782366353361,-0.29060832572761713,15.0,653,274.0,274.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.37896858470778
21/03/2017 13:07:30,21/03/2017 13:11:13,J1705-1906,4.475031401596625,-0.3331707490500087,3.0,298,220.0,220.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:13,21/03/2017 13:41:51,J1652-2404,4.419938702038434,-0.4195044301272704,6.0,1703,1832.0,1832.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:41:51,21/03/2017 13:51:38,J1555-3134,4.1682790954169535,-0.5508448196629737,16.0,518,571.0,571.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:51:38,21/03/2017 13:57:17,J1557-4258,4.175718997685893,-0.7498484245282018,10.0,329,329.0,329.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:57:17,21/03/2017 14:07:24,J1648-3256,4.398671137882361,-0.5745972963415731,13.0,719,594.0,594.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.210947197428664
21/03/2017 14:07:24,21/03/2017 14:31:44,J1733-2228,4.596501299713831,-0.39193792421938217,13.0,871,1447.0,1447.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:31:44,21/03/2017 14:34:40,J1807-0847,4.745697672861144,-0.15308830708701918,13.0,163,163.0,163.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:34:40,21/03/2017 14:46:27,J1820-0427,4.803481131982726,-0.07748234073850871,5.0,598,702.0,702.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
