Start time,  21/03/2017 13:00:00,1490054400000
End time,  27/03/2017 08:29:59,1490556599000
Duration,  5 days, 19 hours, 29 minutes, 59 seconds,502199000
Slew time, 0 day, 18 hours, 34 minutes, 35 seconds,6.6875E7
Integration time, 2 days, 21 hours, 15 minutes, 24 seconds,2.49324E8
Waiting time, 2 days, 3 hours, 40 minutes, 0 second,1.86E8
Relative slew time, 0.13316434321852494
Relative integration time, 0.49646454891387676
Relative waiting time, 0.3703711078675983
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:05,J1627+1419,4.3079641222725975,0.24997332767584454,89.0,311,516.0,516.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:10:05,21/03/2017 13:38:45,B1919+14,5.0675750459718305,0.24995587438332456,332.0,1410,1388.0,1388.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:38:45,21/03/2017 13:53:12,J1934+19,5.122541354603357,0.33161255787892263,360.0,532,507.0,507.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0499414687114357
21/03/2017 13:53:12,21/03/2017 14:13:58,J1953+1846A,5.208789708472744,0.3277437447036685,359.0,700,887.0,887.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:13:58,21/03/2017 14:27:37,J2007+20,5.2665310178928895,0.3551745027808461,360.0,311,459.0,459.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:27:37,21/03/2017 14:39:52,J2017+2043,5.31226867993834,0.36172869893576587,360.0,456,375.0,375.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2163063018401643
21/03/2017 14:39:52,21/03/2017 15:00:16,J2043+1711,5.42512924919179,0.3000459848970053,359.0,871,865.0,865.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:00:16,21/03/2017 15:08:36,J2143+0654,5.68565583890785,0.12051270622590723,358.0,354,142.0,142.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.4879045441322414
21/03/2017 15:08:36,21/03/2017 15:19:00,B2127+11H,5.628554774434979,0.21234562888799444,361.0,384,263.0,263.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.458656767097846
21/03/2017 15:19:00,21/03/2017 15:25:00,J2005+3552,5.2612586691108225,0.6261092347731424,360.0,402,incomplete,0.0,0,600,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 15:25:00,21/03/2017 15:40:16,J2028+3332,5.359605063578616,0.5852882137119282,359.0,165,557.0,557.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:40:16,21/03/2017 15:48:46,B2110+27,5.554829557919938,0.4869579635397153,359.0,166,151.0,151.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:48:46,21/03/2017 16:03:54,J2205+1444,5.7826573844649305,0.25729692314268515,360.0,548,548.0,548.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:03:54,21/03/2017 16:16:10,J2215+1538,5.82792002606563,0.27302224274041786,360.0,389,376.0,376.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
