Start time,  21/03/2017 13:00:00,1490054400000
End time,  26/03/2017 11:11:48,1490479908000
Duration,  4 days, 22 hours, 11 minutes, 48 seconds,425508000
Slew time, 0 day, 6 hours, 58 minutes, 7 seconds,2.5087E7
Integration time, 2 days, 21 hours, 57 minutes, 41 seconds,2.51861E8
Waiting time, 1 day, 17 hours, 16 minutes, 0 second,1.4856E8
Relative slew time, 0.05895776342630456
Relative integration time, 0.5919066151517716
Relative waiting time, 0.3491356214219239
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:35,J1933+0758,5.119589348339765,0.1390785491812607,51.0,104,104.0,104.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:02:35,21/03/2017 13:20:44,J1906+0649,5.001238789928187,0.11920647272489382,7.0,2072,1082.0,1082.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9156234993542098
21/03/2017 13:20:44,21/03/2017 13:36:38,J1903+0415,4.987278337573797,0.07417649320975901,6.0,570,948.0,948.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:38,21/03/2017 13:53:37,J1946+2535,5.178471884924559,0.446763079347654,338.0,910,681.0,681.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3361909052672987
21/03/2017 13:53:37,21/03/2017 14:00:44,J0241+16,0.7058402383273735,0.28041623315375563,262.0,165,165.0,165.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:00:44,21/03/2017 14:02:20,J0137+1654,0.4249789462143593,0.2951647501467888,13.0,104,83.0,83.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2495118124902629
21/03/2017 14:02:20,21/03/2017 14:14:26,J1913+3732,5.03293956874242,0.6551398779979815,85.0,1410,641.0,641.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.199085056034647
21/03/2017 14:14:26,21/03/2017 14:19:47,B1907+10,5.016999389417493,0.19258423539502487,21.0,193,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:19:47,21/03/2017 14:24:42,J1845+0623,4.909363203662161,0.11168943659929047,8.0,402,287.0,287.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3995582335079157
21/03/2017 14:24:42,21/03/2017 14:38:57,J2002+30,5.248932281268614,0.5337798629015991,329.0,427,526.0,526.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:38:57,21/03/2017 14:50:55,B1943+18,5.17316317511641,0.32414691200351686,13.0,768,705.0,705.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:50:55,21/03/2017 14:52:21,J1924+1639,5.079134397968815,0.29079491112092887,6.0,80,80.0,80.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:52:21,21/03/2017 14:57:34,B1911+13,5.032682888987093,0.2446016890518871,3.0,211,310.0,310.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:57:34,21/03/2017 15:10:26,J1919+1314,5.059490317266332,0.23114607318363678,0.0,612,772.0,772.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:10:26,21/03/2017 15:12:16,B1911+09,5.034744021022826,0.16775426031015941,5.0,202,105.0,105.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9177778401543444
21/03/2017 15:12:16,21/03/2017 15:33:39,J1907+0731,5.008716071331938,0.13129675630440343,2.0,1045,1281.0,1281.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:33:39,21/03/2017 15:50:29,J1914+0659,5.035274892003641,0.12188215943093735,2.0,769,1008.0,1008.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:50:29,21/03/2017 16:04:12,J2205+1444,5.7826573844649305,0.25729692314268515,326.0,548,497.0,497.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1031733178485224
21/03/2017 16:04:12,21/03/2017 16:08:45,J2143+0654,5.68565583890785,0.12051270622590723,13.0,354,260.0,260.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.359274326265162
