Start time,  21/03/2017 13:00:00,1490054400000
End time,  26/03/2017 11:43:32,1490481812000
Duration,  4 days, 22 hours, 43 minutes, 32 seconds,427412000
Slew time, 0 day, 6 hours, 55 minutes, 10 seconds,2.491E7
Integration time, 3 days, 1 hour, 51 minutes, 22 seconds,2.65882E8
Waiting time, 1 day, 13 hours, 57 minutes, 0 second,1.3662E8
Relative slew time, 0.058281002873106044
Relative integration time, 0.6220742515418378
Relative waiting time, 0.3196447455850561
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:51,J1933+0758,5.119589348339765,0.1390785491812607,51.0,104,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:05:51,21/03/2017 14:01:55,B2127+11C,5.628774409576931,0.2125336347853919,323.0,1436,3041.0,3041.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:01:55,21/03/2017 14:06:29,J1929+2121,5.101033007732561,0.372737751043665,40.0,517,234.0,234.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.205825509408018
21/03/2017 14:06:29,21/03/2017 14:20:28,J1933+1726,5.118178031473371,0.3042690662643448,2.0,640,837.0,837.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:20:28,21/03/2017 14:25:18,J1925+1721,5.083271446433485,0.3028146252210162,3.0,243,287.0,287.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:25:18,21/03/2017 14:26:39,J1924+1639,5.079134397968815,0.29079491112092887,1.0,80,80.0,80.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:26:39,21/03/2017 15:45:37,J1851+0118,4.938713096696012,0.02297532034778091,17.0,1703,4721.0,4721.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:45:37,21/03/2017 16:14:30,J2317+1439,6.096234120297008,0.2558422663572685,309.0,2597,1424.0,1424.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8238595119304284
21/03/2017 16:14:30,21/03/2017 16:46:12,J2151+2315,5.722418290719025,0.4058511072398636,21.0,1245,1881.0,1881.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:46:12,21/03/2017 16:51:48,B2127+11E,5.628554992601135,0.21239023174665653,17.0,543,319.0,319.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7006332527025123
21/03/2017 16:51:48,21/03/2017 16:58:01,J0538+2817,1.476625428940753,0.493681703887056,246.0,127,127.0,127.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:58:01,21/03/2017 17:59:56,J2227+30,5.879577917655897,0.5340707511102649,91.0,5293,3624.0,3624.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4606023281124618
21/03/2017 17:59:56,21/03/2017 18:05:18,J0623+0340,1.6745531692218207,0.0640283732367742,252.0,82,70.0,70.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1654397712444273
21/03/2017 18:05:18,21/03/2017 18:05:56,J0605+37,1.5926129424448257,0.6457718232379019,28.0,284,incomplete,10.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 17 [-]
21/03/2017 18:05:56,21/03/2017 18:15:09,B0458+46,1.3180552705356499,0.8185889443385201,15.0,562,538.0,538.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.045293206908017
21/03/2017 18:15:09,21/03/2017 18:17:15,B0045+33,0.21191060557193486,0.5969413892765495,49.0,133,77.0,77.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.735749822905835
21/03/2017 18:17:15,21/03/2017 18:45:10,J2307+2225,6.054931729380185,0.3914876292723677,25.0,4689,incomplete,1650.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-8  (PRN 16)
21/03/2017 18:45:10,21/03/2017 18:54:02,J0815+0939,2.160483158072796,0.16867007335377535,234.0,298,298.0,298.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:54:02,21/03/2017 19:09:10,J0751+1807,2.055791112963893,0.3163826354449581,11.0,1039,897.0,897.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1586935951646389
21/03/2017 19:09:10,21/03/2017 19:12:14,J0622+3749,1.6675537444228539,0.6600912801231532,30.0,154,154.0,154.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:12:14,21/03/2017 20:03:49,J0337+1715,0.9500282278657441,0.3011411841416568,35.0,5293,3060.0,3060.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 20:03:49,21/03/2017 20:13:37,J0843+0719,2.2844774567868544,0.12764077633515641,288.0,284,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:13:37,21/03/2017 20:38:02,J0635+0533,1.724821633283396,0.09691910299060733,30.0,1039,1435.0,1435.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:38:02,21/03/2017 20:43:26,J0408+551,1.0821041362364845,0.9599310885968813,45.0,1150,incomplete,279.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 20:43:26,21/03/2017 20:55:00,J1046+0304,2.821850516285997,0.05355688253848934,267.0,768,427.0,427.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.800374917195903
21/03/2017 20:55:00,21/03/2017 20:58:52,J1010+15,2.6616271092913526,0.27663468644110123,17.0,261,215.0,215.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:58:52,21/03/2017 21:49:45,B0940+16,2.5460063185519446,0.2884495958497406,5.0,3073,3048.0,3048.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:49:45,21/03/2017 21:55:45,B0626+24,1.6977492494792945,0.42345226793254537,60.0,609,300.0,300.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0330893304399518
21/03/2017 21:55:45,21/03/2017 22:07:18,B0301+19,0.805259646674883,0.341170174788316,50.0,628,643.0,643.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:07:18,21/03/2017 22:14:35,B1133+16,3.0371090778789545,0.27665640609401493,240.0,192,197.0,197.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:14:35,21/03/2017 22:20:28,J0848+16,2.3076888813973357,0.29176087329171874,34.0,547,319.0,319.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7121083234813768
21/03/2017 22:20:28,21/03/2017 22:21:47,J0453+1559,1.2817562530918758,0.27906508796776525,69.0,455,incomplete,10.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GSAT0204 (PRN E22)
21/03/2017 22:21:47,21/03/2017 22:42:52,J1142+0119,3.0630528372500483,0.022980168484592004,244.0,1106,1021.0,1021.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:42:52,21/03/2017 22:57:19,J0943+41,2.543817384781735,0.7182029871956666,51.0,450,816.0,816.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:57:19,21/03/2017 22:59:57,J0633+0632,1.7180010320107069,0.11419737777167009,51.0,263,107.0,107.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4614047954931952
21/03/2017 22:59:57,21/03/2017 23:08:11,B0523+11,1.4221850534626992,0.19644204329971776,376.0,118,118.0,118.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:08:11,21/03/2017 23:11:56,J0533+0402,1.4548642856722165,0.07039737056551017,5.0,170,220.0,220.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:11:56,22/03/2017 01:27:58,J1022+1001,2.718204916782272,0.17507964958762018,265.0,3754,7897.0,7897.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
22/03/2017 01:27:58,22/03/2017 01:33:59,J0843+0719,2.2844774567868544,0.12764077633515641,77.0,284,584.0,284.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:33:59,22/03/2017 01:58:40,J0711+0931,1.8832233528712716,0.16621837056840444,22.0,659,1459.0,1459.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 01:58:40,22/03/2017 02:13:28,J0621+0336,1.6632421266719581,0.06305254025943692,17.0,427,871.0,871.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 02:13:28,22/03/2017 02:19:42,J1518+0204E,4.008003183100644,0.03635132980959301,212.0,402,162.0,162.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.4840330432421487
22/03/2017 02:19:42,22/03/2017 02:25:48,J1313+0931,3.4617878492785863,0.1663686628095484,32.0,334,334.0,334.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:25:48,22/03/2017 02:29:16,J0740+41,2.011491962923465,0.7167485461523381,77.0,473,incomplete,131.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 02:29:16,22/03/2017 02:35:25,J0625+10,1.6831518973920316,0.17918713653808452,34.0,402,335.0,335.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:35:25,22/03/2017 03:24:01,J1612+2008,4.242854105472584,0.351481822415939,224.0,2597,2692.0,2692.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 03:24:01,22/03/2017 03:49:16,J1649+2533,4.4058095345230175,0.4459655608422289,5.0,2597,incomplete,1510.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 53 [+]
22/03/2017 03:49:16,22/03/2017 03:52:52,J1720+2150,4.537950593853073,0.38112560950327723,3.0,507,213.0,213.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.375344081376462
22/03/2017 03:52:52,22/03/2017 04:02:07,J1640+2224,4.364540848022992,0.3909966186058234,7.0,395,548.0,548.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 04:02:07,22/03/2017 04:16:29,J1649+2533,4.4058095345230175,0.4459655608422289,2.0,2597,incomplete,860.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0204 (PRN E22)
22/03/2017 04:16:29,22/03/2017 04:21:44,J1810+1744,4.758733289789313,0.3096862773743265,15.0,664,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 04:21:44,22/03/2017 04:24:26,J1821+1715,4.805000731984796,0.301297449287352,1.0,194,161.0,161.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2034721689377126
22/03/2017 04:24:26,22/03/2017 05:52:14,J1746+2245,4.651363543088708,0.39720251598255063,9.0,3754,5259.0,5259.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 05:52:14,22/03/2017 06:00:12,B1915+22,5.051580630540398,0.39060856510577985,0.0,364,478.0,478.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 06:00:12,22/03/2017 06:04:53,B1925+22,5.092585686874961,0.39414043277266275,0.0,354,281.0,281.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2577726735325978
22/03/2017 06:04:53,22/03/2017 06:06:55,J1936+21,5.133376940376155,0.3700098014227979,1.0,133,121.0,121.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 06:06:55,22/03/2017 06:12:55,J1935+2025,5.129954713323255,0.3565324659016339,0.0,656,360.0,360.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8239642672272753
