Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 10:14:16,1490303656000
Duration,  2 days, 21 hours, 14 minutes, 16 seconds,249256000
Slew time, 0 day, 4 hours, 36 minutes, 2 seconds,1.6562E7
Integration time, 2 days, 16 hours, 32 minutes, 50 seconds,2.3237E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.06644574252976859
Relative integration time, 0.9322543890618481
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:05,J1911+09,5.022184922613683,0.15707963267948966,56.0,69,69.0,69.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:02:05,21/03/2017 13:08:52,B1848+12,4.935879481933347,0.22677300529866065,6.0,364,401.0,401.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:08:52,21/03/2017 13:19:50,B2036+53,5.402023836607295,0.9306134356728255,321.0,570,337.0,337.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6900775017801966
21/03/2017 13:19:50,21/03/2017 13:26:31,J1913+3732,5.03293956874242,0.6551398779979815,381.0,613,incomplete,20.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 28 [-]
21/03/2017 13:26:31,21/03/2017 13:30:38,J1741+1351,4.631750795773232,0.2419420501150206,32.0,263,215.0,215.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:38,21/03/2017 13:39:40,B1620-09,4.290432071770159,-0.15916821001770953,30.0,769,512.0,512.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5009368901398774
21/03/2017 13:39:40,21/03/2017 13:43:05,J1610-17,4.23322337866008,-0.3112503832723221,10.0,234,195.0,195.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:43:05,21/03/2017 13:47:44,J1705-04,4.472406208235469,-0.08173958663506777,18.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:47:44,21/03/2017 13:51:39,J1614-23,4.249876728606193,-0.40578905108868163,23.0,427,212.0,212.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.011381821430468
21/03/2017 13:51:39,21/03/2017 13:54:50,J1633-2009,4.336801397560727,-0.3519310992542233,4.0,182,187.0,187.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:54:50,21/03/2017 14:03:16,J1736+05,4.611596216082018,0.10122909661567112,30.0,455,476.0,476.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:03:16,21/03/2017 14:06:58,J1739+0612,4.622065719044209,0.10834810070908354,1.0,288,221.0,221.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:06:58,21/03/2017 14:09:18,B1732-02,4.602263067906977,-0.038207681394561425,8.0,194,132.0,132.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:09:18,21/03/2017 14:11:56,J1714-1054,4.514593870582363,-0.19018804377614099,10.0,187,148.0,148.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
