Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 16:33:09,1490326389000
Duration,  3 days, 3 hours, 33 minutes, 9 seconds,271989000
Slew time, 0 day, 4 hours, 8 minutes, 4 seconds,1.4884E7
Integration time, 2 days, 12 hours, 0 minute, 20 seconds,2.1602E8
Waiting time, 0 day, 11 hours, 30 minutes, 0 second,4.14E7
Relative slew time, 0.05472280128975804
Relative integration time, 0.7942232957950506
Relative waiting time, 0.15221203798683036
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:01:37,J1911+09,5.022184922613683,0.15707963267948966,56.0,69,41.0,41.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6790600383691119
21/03/2017 13:01:37,21/03/2017 13:08:15,B1848+12,4.935879481933347,0.22677300529866065,6.0,364,392.0,392.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:08:15,21/03/2017 13:20:23,B2036+53,5.402023836607295,0.9306134356728255,321.0,570,407.0,407.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4013826219667767
21/03/2017 13:20:23,21/03/2017 13:31:45,J1913+3732,5.03293956874242,0.6551398779979815,382.0,613,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:31:45,21/03/2017 13:57:27,J1741+1351,4.631750795773232,0.2419420501150206,33.0,263,1509.0,1509.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:57:27,21/03/2017 14:00:11,J1705-04,4.472406208235469,-0.08173958663506777,24.0,261,140.0,140.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8670998084089843
21/03/2017 14:00:11,21/03/2017 14:06:19,J1610-17,4.23322337866008,-0.3112503832723221,18.0,234,incomplete,350.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:06:19,21/03/2017 14:11:22,J1614-23,4.249876728606193,-0.40578905108868163,4.0,427,299.0,299.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4299193582926184
21/03/2017 14:11:22,21/03/2017 14:14:41,J1633-2009,4.336801397560727,-0.3519310992542233,4.0,182,195.0,195.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:14:41,21/03/2017 14:23:15,J1736+05,4.611596216082018,0.10122909661567112,29.0,455,485.0,485.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:23:15,21/03/2017 14:27:21,J1739+0612,4.622065719044209,0.10834810070908354,1.0,288,245.0,245.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:27:21,21/03/2017 14:34:12,B1732-02,4.602263067906977,-0.038207681394561425,8.0,194,403.0,403.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:34:12,21/03/2017 14:37:58,J1714-1054,4.514593870582363,-0.19018804377614099,10.0,187,216.0,216.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
