Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 12:46:21,1490312781000
Duration,  2 days, 23 hours, 46 minutes, 21 seconds,258381000
Slew time, 0 day, 6 hours, 44 minutes, 17 seconds,2.4257E7
Integration time, 2 days, 13 hours, 31 minutes, 4 seconds,2.21464E8
Waiting time, 0 day, 3 hours, 31 minutes, 0 second,1.266E7
Relative slew time, 0.0938807420050236
Relative integration time, 0.8571218471946467
Relative waiting time, 0.048997410800329745
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:40,J1832-28,4.8541969821092295,-0.5012003835310382,97.0,415,363.0,363.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:07:40,21/03/2017 13:12:41,J1840-1122,4.88867203449156,-0.1983338832461434,21.0,261,incomplete,280.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU I2-S
21/03/2017 13:12:41,21/03/2017 13:28:17,B1236-68,3.31605285673706,-1.19599802064378,90.0,1238,846.0,846.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4631501780568528
21/03/2017 13:28:17,21/03/2017 13:33:48,B0021-72M,0.10431888935150277,-1.257942465905536,31.0,1181,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:33:48,21/03/2017 13:37:39,J1633-2009,4.336801397560727,-0.3519310992542233,88.0,182,143.0,143.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:37:39,21/03/2017 13:49:31,J1925+19,5.085162219789812,0.3327761107135855,59.0,570,653.0,653.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:49:31,21/03/2017 13:53:25,B1900+06,4.9865712610605835,0.10953594270917001,16.0,450,218.0,218.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.067698790676455
21/03/2017 13:53:25,21/03/2017 13:57:20,J1211-6324,3.1913476272410213,-1.1063196099805435,107.0,128,128.0,128.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:57:20,21/03/2017 14:03:42,J1845-1351,4.909574824833966,-0.24146387794500995,84.0,298,298.0,298.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:03:42,21/03/2017 14:06:08,J1714-1054,4.514593870582363,-0.19018804377614099,21.0,187,125.0,125.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
