Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 10:33:45,1490304825000
Duration,  2 days, 21 hours, 33 minutes, 45 seconds,250425000
Slew time, 0 day, 1 hour, 13 minutes, 18 seconds,4398000.0
Integration time, 2 days, 13 hours, 10 minutes, 20 seconds,2.2022E8
Waiting time, 0 day, 7 hours, 10 minutes, 0 second,2.58E7
Relative slew time, 0.017562144354597183
Relative integration time, 0.8793850454227813
Relative waiting time, 0.10302485774183888
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:16,B2043-04,5.436712037324527,-0.07579577090466484,32.0,153,104.0,104.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:02:16,21/03/2017 13:24:17,J1907+0740,5.0079399815912184,0.1339181438781627,23.0,1238,1298.0,1298.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:24:17,21/03/2017 13:29:21,J1933+0758,5.119589348339765,0.1390785491812607,1.0,395,303.0,303.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3031544776652795
21/03/2017 13:29:21,21/03/2017 13:45:41,J1944+0907,5.166853006291774,0.15922764478131782,2.0,1728,978.0,978.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7669610877281365
21/03/2017 13:45:41,21/03/2017 13:51:04,J2007+0910,5.27075639456212,0.16005120117511434,1.0,570,322.0,322.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7702980788507736
21/03/2017 13:51:04,21/03/2017 13:56:08,B1929+10,5.114829159154492,0.19185250610612622,7.0,318,297.0,297.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.072333891844876
21/03/2017 13:56:08,21/03/2017 13:58:14,J1931+1440,5.1094513852134,0.255981623625835,3.0,123,123.0,123.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:58:14,21/03/2017 14:05:08,J1924+1631,5.082899109526393,0.28850680386411154,2.0,562,412.0,412.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:05:08,21/03/2017 14:10:20,B1924+16,5.090930678411758,0.2933742362597151,1.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:10:20,21/03/2017 14:16:15,J1934+19,5.122541354603357,0.33161255787892263,1.0,354,354.0,354.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
