Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 17:33:30,1490243610000
Duration,  2 days, 4 hours, 33 minutes, 30 seconds,189210000
Slew time, 0 day, 0 hour, 52 minutes, 6 seconds,3126000.0
Integration time, 2 days, 3 hours, 41 minutes, 24 seconds,1.86084E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.016521325511336612
Relative integration time, 0.9834786744886634
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:40:19,J2048-1616,5.448019126485467,-0.2836908901943311,42.0,1961,2377.0,2377.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:19,21/03/2017 13:58:44,J1913-0440,5.034851176966692,-0.08121753926324903,31.0,825,1074.0,1074.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:58:44,21/03/2017 14:09:41,J1852-0635,4.943454574497262,-0.1146244986247276,8.0,524,649.0,649.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:09:41,21/03/2017 14:11:24,J1853-0004,4.945319022470706,0.0013201476536612666,6.0,179,97.0,97.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:11:24,21/03/2017 14:24:56,J1848-0123,4.923544127462105,-0.023861414312744807,2.0,659,810.0,810.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:24:56,21/03/2017 14:37:32,J1847-0402,4.919125986449196,-0.07032615143575517,4.0,597,752.0,752.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:37:32,21/03/2017 14:41:56,J1845-0434,4.911262630942696,-0.07955889469743707,2.0,486,262.0,262.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8583317657541663
21/03/2017 14:41:56,21/03/2017 14:43:26,J1844-0538,4.904746662346532,-0.09815445673144253,1.0,255,89.0,89.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.8753193026028137
21/03/2017 14:43:26,21/03/2017 15:58:21,J1843-0702,4.901643830546746,-0.1224901157870487,1.0,4689,4494.0,4494.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:58:21,21/03/2017 16:00:07,J1809-1917,4.754796626939387,-0.3363729434137372,24.0,82,82.0,82.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:00:07,21/03/2017 16:11:28,J1816-2650,4.784776656555258,-0.467782176492158,5.0,592,676.0,676.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:11:28,21/03/2017 16:14:48,J1823-3106,4.816147953567742,-0.5425562025638845,4.0,284,196.0,196.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4477637191729855
21/03/2017 16:14:48,21/03/2017 16:16:57,J1817-3618,4.786985588889814,-0.6335351259266973,5.0,387,124.0,124.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.116542988541269
21/03/2017 16:16:57,21/03/2017 16:22:40,J1733-3716,4.596524861658733,-0.6501613263066677,6.0,337,337.0,337.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:22:40,21/03/2017 16:30:51,J1741-3927,4.63080072834018,-0.6883481607129415,1.0,512,490.0,490.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:30:51,21/03/2017 16:32:05,J1709-4429,4.49296676860038,-0.7763406802814875,8.0,102,66.0,66.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:32:05,21/03/2017 16:37:28,J1701-4533,4.457073054424386,-0.7947613700207168,1.0,322,322.0,322.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:37:28,21/03/2017 16:47:12,J1707-4729,4.482263464240472,-0.8285732457686581,1.0,266,583.0,583.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:47:12,21/03/2017 17:14:19,J1650-4921,4.409508905316724,-0.8613011750883746,4.0,5293,incomplete,1623.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 17:14:19,21/03/2017 17:22:52,J1703-4851,4.467635641613352,-0.8523228135651708,1.0,1396,incomplete,512.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 17:22:52,21/03/2017 17:52:51,J1646-6831,4.393488237224458,-1.1955941708474156,14.0,1785,1785.0,1785.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:52:51,21/03/2017 17:53:14,J1822-4209,4.809207920868779,-0.7356030471734241,23.0,456,incomplete,0.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 17:53:14,21/03/2017 17:56:18,J1600-5751,4.190239555286068,-1.0096017046675965,27.0,194,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:56:18,21/03/2017 17:57:29,J1539-5626,4.098175618904932,-0.9848243318671315,2.0,243,incomplete,69.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
