Start time,  21/03/2017 13:00:00,1490054400000
End time,  23/03/2017 19:41:08,1490251268000
Duration,  2 days, 6 hours, 41 minutes, 8 seconds,196868000
Slew time, 0 day, 1 hour, 7 minutes, 48 seconds,4068000.0
Integration time, 2 days, 5 hours, 33 minutes, 20 seconds,1.928E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.020663591848345084
Relative integration time, 0.9793364081516549
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:17,J1853-0004,4.945319022470706,0.0013201476536612666,60.0,179,137.0,137.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:03:17,21/03/2017 13:19:00,J1848-0123,4.923544127462105,-0.023861414312744807,3.0,659,940.0,940.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:19:00,21/03/2017 13:30:54,J1847-0402,4.919125986449196,-0.07032615143575517,5.0,597,709.0,709.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:54,21/03/2017 13:36:36,J1845-0434,4.911262630942696,-0.07955889469743707,3.0,486,339.0,339.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4322584132123108
21/03/2017 13:36:36,21/03/2017 13:38:21,J1841-0425,4.891697053695527,-0.07699083662859986,2.0,186,103.0,103.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:38:21,21/03/2017 13:42:36,J1844-0538,4.904746662346532,-0.09815445673144253,0.0,255,255.0,255.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:42:36,21/03/2017 13:47:38,J1841-0345,4.8940981176919065,-0.06611598094763187,2.0,204,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:47:38,21/03/2017 14:00:35,J1820-0427,4.803481131982726,-0.07748234073850871,4.0,598,773.0,773.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:00:35,21/03/2017 14:10:03,J1835-0643,4.86550969726629,-0.1171969200166948,1.0,305,567.0,567.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:10:03,21/03/2017 14:11:53,J1843-0702,4.901643830546746,-0.1224901157870487,0.0,4689,incomplete,110.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-9  (PRN 21)
21/03/2017 14:11:53,21/03/2017 14:16:55,J1841-0345,4.8940981176919065,-0.06611598094763187,2.0,204,incomplete,300.0,0,180,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:16:55,21/03/2017 15:21:10,J1843-0702,4.901643830546746,-0.1224901157870487,3.0,4689,3962.0,3852.0,0,1800,2,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:21:10,21/03/2017 15:25:23,J1842-0905,4.897258472634954,-0.15841480955726533,12.0,344,241.0,241.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4302249512982175
21/03/2017 15:25:23,21/03/2017 15:27:08,J1845-0743,4.912896768176928,-0.13449507215868303,1.0,104,104.0,104.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:27:08,21/03/2017 15:28:31,J1833-0827,4.8593093423765295,-0.14732881751817412,2.0,85,81.0,81.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:28:31,21/03/2017 15:43:18,J1832-0827,4.854707490915438,-0.14746267457552845,0.0,647,887.0,887.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:43:18,21/03/2017 15:49:09,J1852-0635,4.943454574497262,-0.1146244986247276,2.0,524,349.0,349.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:49:09,21/03/2017 15:52:18,J1841-0345,4.8940981176919065,-0.06611598094763187,5.0,204,784.0,184.0,0,180,3,0,1,0,Completed: Shortened interval; scintillation of 1.1108118025502998
21/03/2017 15:52:18,21/03/2017 15:55:46,J1837-0559,4.87555275811458,-0.10429166463924004,2.0,542,206.0,206.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.6312974653213512
21/03/2017 15:55:46,21/03/2017 15:56:49,J1835-1106,4.866435158102161,-0.19365834010552305,5.0,165,58.0,58.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.855598284336255
21/03/2017 15:56:49,21/03/2017 16:03:35,J1830-1059,4.846747771417612,-0.19156006649368096,1.0,405,405.0,405.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
