Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 01:23:05,1490271785000
Duration,  2 days, 12 hours, 23 minutes, 5 seconds,217385000
Slew time, 0 day, 2 hours, 27 minutes, 29 seconds,8849000.0
Integration time, 2 days, 9 hours, 55 minutes, 36 seconds,2.08536E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.040706580490834234
Relative integration time, 0.9592934195091658
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:05,J1853-0004,4.945319022470706,0.0013201476536612666,60.0,179,125.0,125.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:03:05,21/03/2017 13:06:35,J1841-0345,4.8940981176919065,-0.06611598094763187,6.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:06:35,21/03/2017 13:10:58,J1557-4258,4.175718997685893,-0.7498484245282018,60.0,329,203.0,203.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6238723607422074
21/03/2017 13:10:58,21/03/2017 13:12:46,J1136-5525,3.0370307053233345,-0.9671630542779921,38.0,364,incomplete,70.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 31 [+]
21/03/2017 13:12:46,21/03/2017 13:21:42,J1356-5521,3.651414818181579,-0.9659769091257897,16.0,507,incomplete,520.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 33 [-]
21/03/2017 13:21:42,21/03/2017 13:26:18,J1559-4438,4.187446746757646,-0.778776084707186,19.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:26:18,21/03/2017 13:27:07,J1356-5521,3.651414818181579,-0.9659769091257897,21.0,507,548.0,28.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:27:07,21/03/2017 13:32:45,J1623-4256,4.29266202077779,-0.7490759224087218,24.0,364,314.0,314.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:45,21/03/2017 13:46:34,J1555-3134,4.1682790954169535,-0.5508448196629737,11.0,518,818.0,818.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:46:34,21/03/2017 13:51:02,J1649-3805,4.406099840955266,-0.6643930319156381,10.0,262,258.0,258.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:51:02,21/03/2017 13:56:07,J1653-3838,4.4229405229077585,-0.6741780264414718,0.0,305,305.0,305.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:56:07,21/03/2017 14:06:35,J1549-4848,4.142332012648075,-0.8515391607310254,15.0,613,613.0,613.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:06:35,21/03/2017 14:12:12,J1705-3423,4.475486932531396,-0.5998833841376264,19.0,255,318.0,318.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:12:12,21/03/2017 14:19:21,J1722-3207,4.54679759510938,-0.5603219575013029,3.0,477,426.0,426.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1190488839330073
21/03/2017 14:19:21,21/03/2017 14:22:49,J1717-3425,4.5262382710193565,-0.600104313732108,3.0,656,205.0,205.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.206190518648097
21/03/2017 14:22:49,21/03/2017 14:28:33,J1720-2933,4.540337113439018,-0.5156662541479846,4.0,620,340.0,340.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:28:33,21/03/2017 14:33:57,J1739-2903,4.623251961159148,-0.5070011792255139,2.0,322,322.0,322.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:33:57,21/03/2017 14:37:33,J1705-1906,4.475031401596625,-0.3331707490500087,12.0,298,204.0,204.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
