Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 14:16:47,1490318207000
Duration,  3 days, 1 hour, 16 minutes, 47 seconds,263807000
Slew time, 0 day, 7 hours, 18 minutes, 3 seconds,2.6283E7
Integration time, 2 days, 14 hours, 27 minutes, 44 seconds,2.24864E8
Waiting time, 0 day, 3 hours, 31 minutes, 0 second,1.266E7
Relative slew time, 0.09962965349668508
Relative integration time, 0.8523807177216677
Relative waiting time, 0.04798962878164719
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:36,B0909-71,2.398082392240209,-1.2600869955906926,176.0,198,100.0,100.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9803112408051162
21/03/2017 13:04:36,21/03/2017 13:18:34,J2229+2643,5.889823465786239,0.4665739480767808,167.0,769,671.0,671.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.146643799741535
21/03/2017 13:18:34,21/03/2017 13:20:58,J1803-2149,4.726179408581115,-0.3807096393648853,104.0,82,40.0,40.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0379009912060364
21/03/2017 13:20:58,21/03/2017 13:31:47,J1832-28,4.8541969821092295,-0.5012003835310382,8.0,415,641.0,641.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:31:47,21/03/2017 13:37:12,J1101-6101,2.8874261723860326,-1.0647497457074873,75.0,245,250.0,250.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:37:12,21/03/2017 13:45:35,B1449-64,3.898828256899113,-1.1207166855361403,20.0,545,483.0,483.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1285277760959267
21/03/2017 13:45:35,21/03/2017 13:50:54,B1552-31,4.1682790954169535,-0.5508448196629737,33.0,592,286.0,286.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.070388120637135
21/03/2017 13:50:54,21/03/2017 13:53:47,J1823-1126,4.8141896723303885,-0.19952991859744063,36.0,192,137.0,137.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:53:47,21/03/2017 13:57:38,J1549-5722,4.1442770366553185,-1.0012275179537915,60.0,273,171.0,171.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5944961647308826
21/03/2017 13:57:38,21/03/2017 14:11:51,J2045+0912,5.4357802351257085,0.16071166285288985,253.0,630,600.0,600.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:11:51,21/03/2017 14:27:30,J1724-35,4.558436395948356,-0.6251187604226358,79.0,481,860.0,860.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:27:30,21/03/2017 14:31:00,J1739+0612,4.622065719044209,0.10834810070908354,37.0,288,incomplete,173.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:31:00,21/03/2017 14:36:02,J1909+1859,5.014811197412215,0.33137373865960806,22.0,280,280.0,280.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:36:02,21/03/2017 14:50:29,J1535-4415,4.083773743693892,-0.7722674696582776,81.0,1150,786.0,786.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:50:29,21/03/2017 14:52:05,B1727-47,4.588914426177464,-0.8329362780104352,16.0,1238,incomplete,80.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-9  (PRN 26)
21/03/2017 14:52:05,21/03/2017 15:09:57,J1539-6322,4.098956653745199,-1.1056990484687232,22.0,1643,incomplete,1050.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 36 [-]
21/03/2017 15:09:57,21/03/2017 15:15:15,J1619-42,4.2721296765691195,-0.7336200622549498,18.0,192,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:15:15,21/03/2017 15:23:17,B1943-29,5.178663434809965,-0.5096986825472073,32.0,326,incomplete,450.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 6 [+]
21/03/2017 15:23:17,21/03/2017 15:38:56,J1804-28,4.733332931408621,-0.49072840801907236,22.0,1150,917.0,917.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:38:56,21/03/2017 15:42:09,J1730-2304,4.583064899920645,-0.4024380674062206,12.0,399,incomplete,181.0,0,1800,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 15:42:09,21/03/2017 15:44:46,J1844-0302,4.904878289260954,-0.05288735484487706,26.0,192,131.0,131.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4650394284278632
21/03/2017 15:44:46,21/03/2017 15:48:51,J1601-50,4.194898857168371,-0.8793550547964764,58.0,187,187.0,187.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:48:51,21/03/2017 15:54:41,J0244+14,0.719293817978163,0.2522000769131806,172.0,178,178.0,178.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:54:41,21/03/2017 15:59:41,J1135-6055,3.0325095753401476,-1.0631964026732124,133.0,187,167.0,167.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1213110184410042
21/03/2017 15:59:41,21/03/2017 16:51:40,J2241-5236,5.941538451459661,-0.9178675579448986,55.0,1039,3064.0,3064.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:51:40,21/03/2017 16:58:05,J0647+0913,1.7770127956822,0.1611496435324042,144.0,276,241.0,241.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:58:05,21/03/2017 17:07:20,J1028-5819,2.742203143091757,-1.0177926318099422,81.0,370,474.0,474.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:07:20,21/03/2017 17:18:03,B0021-72M,0.10431888935150277,-1.257942465905536,38.0,1181,605.0,605.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9507589364901798
21/03/2017 17:18:03,21/03/2017 17:38:55,J1305-6203,3.4267285479291503,-1.0828720811073618,43.0,768,1209.0,1209.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:38:55,21/03/2017 17:44:46,J1337-6306,3.566314890960005,-1.1011897964207236,1.0,284,350.0,350.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
