Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 11:31:03,1490308263000
Duration,  2 days, 22 hours, 31 minutes, 3 seconds,253863000
Slew time, 0 day, 6 hours, 28 minutes, 56 seconds,2.3336E7
Integration time, 2 days, 12 hours, 39 minutes, 7 seconds,2.18347E8
Waiting time, 0 day, 3 hours, 23 minutes, 0 second,1.218E7
Relative slew time, 0.09192359658555993
Relative integration time, 0.8600977692692515
Relative waiting time, 0.04797863414518855
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:13,J1913+3732,5.03293956874242,0.6551398779979815,79.0,613,234.0,234.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.6243280875700523
21/03/2017 13:05:13,21/03/2017 13:14:12,J1822-1617,4.8110437163536695,-0.2840280950780217,53.0,486,486.0,486.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:14:12,21/03/2017 13:21:13,J1811-0154,4.761831249211602,-0.033011448360429414,12.0,257,409.0,409.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:21:13,21/03/2017 13:32:35,J1934+19,5.122541354603357,0.33161255787892263,328.0,354,354.0,354.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:32:35,21/03/2017 13:39:45,J0955-61,2.596177262341565,-1.0786134777324956,141.0,311,289.0,289.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:39:45,21/03/2017 13:54:47,J1012-5830,2.6743461962152613,-1.020893500114319,3.0,598,899.0,899.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:54:47,21/03/2017 14:03:04,J1824-2452F,4.8194947460359305,-0.43395090819697235,82.0,415,415.0,415.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:03:04,21/03/2017 14:04:33,J1803-2149,4.726179408581115,-0.3807096393648853,7.0,82,82.0,82.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:33,21/03/2017 14:07:28,J0919-6040,2.441124393255954,-1.0585887334479473,91.0,82,84.0,84.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:07:28,21/03/2017 14:15:43,J1739+0612,4.622065719044209,0.10834810070908354,112.0,288,383.0,383.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:15:43,21/03/2017 14:18:58,J1715-3247,4.517745498879152,-0.5720316623411414,38.0,367,157.0,157.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.340343140746259
21/03/2017 14:18:58,21/03/2017 14:21:57,J1823-1126,4.8141896723303885,-0.19952991859744063,27.0,192,152.0,152.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:21:57,21/03/2017 14:27:54,J1731-3123,4.585891152302748,-0.5475340270346767,25.0,298,332.0,332.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:27:54,21/03/2017 14:30:13,J1759-1956,4.710601472342439,-0.34786351246971425,13.0,133,126.0,126.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:30:13,21/03/2017 14:47:49,B0021-72M,0.10431888935150277,-1.257942465905536,86.0,1181,970.0,970.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.217890122650376
21/03/2017 14:47:49,21/03/2017 14:50:06,J1834-0812,4.862909083958767,-0.143116998663535,98.0,47,39.0,39.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2097423151730156
21/03/2017 14:50:06,21/03/2017 14:56:00,B0940-55,2.540605251737544,-0.9748037178922785,106.0,370,248.0,248.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:56:00,21/03/2017 15:19:18,J1918-0642,5.05622126147214,-0.11676791954099563,113.0,892,1285.0,1285.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:19:18,21/03/2017 15:22:48,B2028+22,5.3698287660044866,0.3922231401079789,31.0,179,179.0,179.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:22:48,21/03/2017 15:28:39,J1909-3744,5.016907823256286,-0.6585007676844632,67.0,543,284.0,284.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9135209869386864
21/03/2017 15:28:39,21/03/2017 15:43:26,J2241-5236,5.941538451459661,-0.9178675579448986,33.0,1039,854.0,854.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:43:26,21/03/2017 15:52:57,J1808-3249,4.7476213602182815,-0.5725940462112286,51.0,400,520.0,520.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:52:57,21/03/2017 15:55:28,J1622-4944,4.28751039060232,-0.8678649705541804,26.0,216,125.0,125.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:55:28,21/03/2017 16:08:25,J1801-2154,4.717358078209222,-0.3820719658088031,33.0,532,744.0,744.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:08:25,21/03/2017 16:28:57,J2050+13,5.454153912482279,0.22718369096792856,51.0,1181,1181.0,1181.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:28:57,21/03/2017 16:33:50,J1337-6306,3.566314890960005,-1.1011897964207236,114.0,284,179.0,179.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:33:50,21/03/2017 16:39:05,J1658-47,4.443608275577563,-0.8237954069413236,31.0,284,284.0,284.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:39:05,21/03/2017 16:41:00,J1743-35,4.638648819487928,-0.6201736608753184,13.0,1874,incomplete,102.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:41:00,21/03/2017 16:48:39,B1943-29,5.178663434809965,-0.5096986825472073,19.0,326,440.0,440.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:48:39,21/03/2017 16:51:03,J1211-6324,3.1913476272410213,-1.1063196099805435,76.0,128,68.0,68.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8702690512000189
21/03/2017 16:51:03,21/03/2017 17:05:05,J1237-6725,3.3049191105503795,-1.1764784522149478,3.0,640,839.0,839.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:05:05,21/03/2017 17:08:29,J0749-4247,2.050011015904719,-0.7465057311596877,46.0,170,158.0,158.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:08:29,21/03/2017 17:26:51,J1700-4939,4.452230202082415,-0.8664832515630181,80.0,3073,incomplete,1022.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 17:26:51,21/03/2017 17:41:56,J1305-6203,3.4267285479291503,-1.0828720811073618,35.0,768,870.0,870.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:41:56,21/03/2017 17:48:54,B0626+24,1.6977492494792945,0.42345226793254537,118.0,170,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:48:54,21/03/2017 17:53:06,B2043-04,5.436712037324527,-0.07579577090466484,145.0,153,107.0,107.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:53:06,21/03/2017 17:55:51,J1148-6415,3.0919816696018545,-1.1212140558915904,105.0,178,60.0,60.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.9733511994547808
21/03/2017 17:55:51,21/03/2017 17:56:42,J1454-5846,3.901604130352358,-1.025503399482517,19.0,50,32.0,32.0,0,60,1,0,1,0,Completed: Shortened interval; scintillation of 1.5400139940215978
21/03/2017 17:56:42,21/03/2017 18:32:14,J1539-6322,4.098956653745199,-1.1056990484687232,5.0,1643,2127.0,2127.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:32:14,21/03/2017 19:01:40,J1216-50,3.212860264712895,-0.8805137594943283,33.0,1410,1733.0,1733.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:01:40,21/03/2017 19:10:00,J1028-5819,2.742203143091757,-1.0177926318099422,20.0,370,480.0,480.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:10:00,21/03/2017 19:17:40,J1425-5723,3.776933225664942,-1.0013787798222977,21.0,367,439.0,439.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:17:40,21/03/2017 20:01:14,J1012-4235,2.670862809916489,-0.7432193731409187,39.0,2072,2575.0,2575.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:01:14,21/03/2017 20:10:36,J1322-62,3.503312141065618,-1.096939434878436,30.0,532,532.0,532.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:10:36,21/03/2017 20:14:05,B1112-60,2.942517490225233,-1.0644850374376016,12.0,318,197.0,197.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:14:05,21/03/2017 20:51:01,J1248-6344,3.3544035581675486,-1.112309967824333,8.0,1961,2208.0,2208.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:51:01,21/03/2017 21:03:50,J0628+0909,1.6956006764480376,0.1597650156591554,137.0,322,632.0,632.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
