Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 05:51:42,1490158302000
Duration,  0 day, 16 hours, 51 minutes, 42 seconds,60702000
Slew time, 0 day, 0 hour, 25 minutes, 57 seconds,1557000.0
Integration time, 0 day, 13 hours, 40 minutes, 45 seconds,4.9245E7
Waiting time, 0 day, 2 hours, 45 minutes, 0 second,9900000.0
Relative slew time, 0.025649896214292773
Relative integration time, 0.8112582781456954
Relative waiting time, 0.16309182564001187
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:41:42,J1142+0119,3.0630528372500483,0.022980168484592004,43.0,1106,2459.0,2459.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:42,21/03/2017 13:44:20,B1257+12,3.4036521463529263,0.22134882305275824,14.0,352,144.0,144.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4366192899470067
21/03/2017 13:44:20,21/03/2017 13:48:40,J1342+2822B,3.587457889512921,0.4952863402087923,18.0,647,242.0,242.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.6687441958271396
21/03/2017 13:48:40,21/03/2017 13:55:22,J1518+0204E,4.008003183100644,0.03635132980959301,0.0,402,402.0,402.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:55:22,21/03/2017 13:59:33,B1541+09,4.117437145251993,0.16559460443815205,31.0,512,220.0,220.0,6240,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.331888197729821Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 16:05:33,21/03/2017 17:08:49,J1851+0118,4.938713096696012,0.02297532034778091,89.0,1703,2387.0,2387.0,1320,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:46:49,21/03/2017 16:50:01,J1848+0351,4.9249002701075195,0.0673682546859378,81.0,189,111.0,111.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.695224524067761
21/03/2017 16:50:01,21/03/2017 16:56:48,J1851+0232,4.934918460013967,0.04421500771718968,0.0,432,407.0,407.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:56:48,21/03/2017 16:57:40,J1853+0853,4.945250081965251,0.15512583354461823,5.0,47,47.0,47.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:57:40,21/03/2017 17:15:02,J1859+1526,4.9730531042274695,0.26941581072938026,4.0,598,1038.0,1038.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:15:02,21/03/2017 17:20:02,J1918+1541,5.053288144325266,0.27379949603397263,0.0,692,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:20:02,21/03/2017 17:26:02,J1924+1628,5.078908123303498,0.2873975501617329,0.0,1410,incomplete,360.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 40 [+]
21/03/2017 17:26:02,21/03/2017 17:29:53,J1922+1733,5.0740515992157205,0.3064190694959612,1.0,512,incomplete,230.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 42 [-]
21/03/2017 17:29:53,21/03/2017 17:30:03,J1924+17,5.078908123303498,0.29670597283903605,0.0,659,incomplete,10.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 42 [-]
21/03/2017 17:30:03,21/03/2017 17:35:13,J1922+1733,5.0740515992157205,0.3064190694959612,0.0,512,incomplete,310.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 15 [+]
21/03/2017 17:35:13,21/03/2017 17:41:57,J1925+1721,5.083271446433485,0.3028146252210162,0.0,243,404.0,404.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:41:57,21/03/2017 17:43:08,J1922+1733,5.0740515992157205,0.3064190694959612,1.0,512,610.0,70.0,0,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:43:08,21/03/2017 18:00:45,J1924+1628,5.078908123303498,0.2873975501617329,0.0,1410,1417.0,1057.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:00:45,21/03/2017 18:02:08,J1924+1639,5.079134397968815,0.29079491112092887,3.0,80,80.0,80.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:02:08,21/03/2017 18:12:57,J1924+17,5.078908123303498,0.29670597283903605,0.0,659,659.0,649.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:12:57,21/03/2017 18:15:46,B1925+18,5.092756001921134,0.32932666137249117,2.0,123,167.0,167.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:15:46,21/03/2017 18:20:41,J1929+1955,5.1020025599486605,0.3476497581177131,0.0,327,295.0,295.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:20:41,21/03/2017 18:24:58,J1931+1952,5.113513929935625,0.34679449830286774,0.0,257,257.0,257.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:24:58,21/03/2017 19:14:08,J1926+2016,5.0889484207138045,0.353725540132114,1.0,1244,2949.0,2949.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:14:08,21/03/2017 19:16:27,J1940+2246,5.1487212933832724,0.39735329303737565,7.0,165,132.0,132.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:16:27,21/03/2017 19:19:36,J1941+2525,5.154597235198319,0.44363021334032426,2.0,612,187.0,187.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.2660289840867684
21/03/2017 19:19:36,21/03/2017 19:32:48,J1946+2535,5.178471884924559,0.446763079347654,0.0,910,792.0,792.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1495375704141029
21/03/2017 19:32:48,21/03/2017 19:38:00,J1952+2630,5.203760258617119,0.46264835352319517,1.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:38:00,21/03/2017 19:38:41,J1946+2611,5.17823262937293,0.4572239041449545,1.0,1728,incomplete,40.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 75 [+]
21/03/2017 19:38:41,21/03/2017 19:46:18,J1953+2732,5.206011726079986,0.4807810009100669,1.0,456,456.0,456.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:46:18,21/03/2017 20:26:23,J1954+2836,5.211200444502061,0.49919325489124483,1.0,1358,2404.0,2404.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:26:23,21/03/2017 20:43:48,J2038+35,5.40179403492245,0.6108652381980153,5.0,1643,1588.0,1040.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:43:48,21/03/2017 20:46:16,B2035+36,5.39942620490391,0.6345440231970861,3.0,179,145.0,145.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.2312515330730565
21/03/2017 20:46:16,21/03/2017 20:51:18,B2027+37,5.364260147581895,0.6586105136969403,2.0,47,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:51:18,21/03/2017 20:58:19,J2021+3651,5.32801460411752,0.6431771004166037,2.0,575,419.0,419.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:58:19,21/03/2017 21:32:12,J2018+3431,5.318396094609779,0.602431952696483,2.0,1368,2031.0,2031.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:32:12,21/03/2017 22:11:29,J2006+3102,5.262967637336735,0.5416483889460069,7.0,3754,3690.0,2350.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 22:11:29,21/03/2017 22:18:19,J2021+4026,5.329798476057163,0.7059134451932209,8.0,402,402.0,402.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:18:19,21/03/2017 22:35:11,B2011+38,5.293464866187613,0.6765250579530913,2.0,881,1010.0,1010.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:35:11,21/03/2017 22:35:34,B2027+37,5.364260147581895,0.6586105136969403,1.0,47,322.0,22.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 2.10272140908115
21/03/2017 22:35:34,21/03/2017 22:42:13,J2005+3552,5.2612586691108225,0.6261092347731424,4.0,402,395.0,395.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0178010744977382
21/03/2017 22:42:13,21/03/2017 22:45:16,B2000+32,5.245036124601745,0.5635392295705138,3.0,192,180.0,180.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0666927298930413
21/03/2017 22:45:16,21/03/2017 22:55:28,J2002+30,5.248932281268614,0.5337798629015991,1.0,427,611.0,611.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:55:28,21/03/2017 23:02:41,B1952+29,5.211447990367635,0.5129197361631309,4.0,768,429.0,429.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 23:02:41,21/03/2017 23:17:38,J1946+2611,5.17823262937293,0.4572239041449545,3.0,1728,934.0,894.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.888348166844898
21/03/2017 23:17:38,21/03/2017 23:27:13,J2215+5135,5.827413546061112,0.9004751871121236,339.0,825,236.0,236.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.491729396313419
21/03/2017 23:27:13,21/03/2017 23:30:04,J2213+53,5.816309732271103,0.9250245035569946,2.0,364,169.0,169.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.158410801344218
21/03/2017 23:30:04,21/03/2017 23:36:17,J2138+4911,5.6635934227216,0.8584111037725444,5.0,581,368.0,368.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5799212754543421
