Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:06:04,1490195164000
Duration,  1 day, 3 hours, 6 minutes, 4 seconds,97564000
Slew time, 0 day, 0 hour, 25 minutes, 10 seconds,1510000.0
Integration time, 0 day, 2 hours, 5 minutes, 54 seconds,7554000.0
Waiting time, 1 day, 0 hour, 35 minutes, 0 second,8.85E7
Relative slew time, 0.015477020212373417
Relative integration time, 0.07742609979090648
Relative waiting time, 0.9070968799967201
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:18,B0626+24,1.6977492494792945,0.42345226793254537,74.0,609,304.0,304.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.005234236503071
21/03/2017 13:06:18,21/03/2017 13:13:15,J0625+10,1.6831518973920316,0.17918713653808452,12.0,402,405.0,405.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:13:15,21/03/2017 13:26:50,J0943+41,2.543817384781735,0.7182029871956666,305.0,450,510.0,510.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:50,21/03/2017 13:52:00,J0627+0649,1.6925060331513266,0.11923570698986471,60.0,1709,incomplete,1450.0,0,1800,2,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 95 [+]
21/03/2017 13:52:00,21/03/2017 13:58:11,B1541+09,4.117437145251993,0.16559460443815205,221.0,512,150.0,150.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 3.418846567185785
21/03/2017 13:58:11,21/03/2017 14:15:24,J0557+1550,1.5599934063134906,0.2763731100675954,141.0,4182,5695.0,892.0,6660,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
21/03/2017 16:28:24,21/03/2017 17:04:03,J1857+0809,4.961775441099551,0.14226518102582555,89.0,792,incomplete,730.0,1320,20,1,0,3,2,Waited for more observables to rise above the horizon. Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 44 [-]
21/03/2017 16:42:03,21/03/2017 16:48:31,B1852+10,4.950141367193965,0.18811740454412218,88.0,581,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:48:31,21/03/2017 16:51:59,B1855+09,4.963744815940518,0.16967128429110123,1.0,243,207.0,207.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:51:59,21/03/2017 16:52:40,J1857+0809,4.961775441099551,0.14226518102582555,1.0,792,770.0,40.0,300,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. 
21/03/2017 17:09:40,21/03/2017 17:32:29,J1918+1541,5.053288144325266,0.27379949603397263,89.0,692,560.0,560.0,720,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.235316903262229
21/03/2017 17:20:29,21/03/2017 17:24:07,J1917+1737,5.050108445316341,0.3076220376828983,88.0,231,130.0,130.0,660,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.772775463762159Waited for more observables to rise above the horizon. 
21/03/2017 17:41:07,21/03/2017 17:50:42,J1900+30,4.975497365122835,0.5390158506575821,89.0,234,126.0,126.0,37260,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.863800039089915Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 04:00:42,22/03/2017 04:29:36,B1853+01,4.957509565519468,0.021338104546674008,89.0,1106,1585.0,1585.0,60,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 07:21:36,22/03/2017 10:17:17,J0636+5129,1.728228403264108,0.8985534947632836,89.0,231,72.0,72.0,11100,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.219842450032685Waited for more observables to rise above the horizon. 
22/03/2017 07:55:17,22/03/2017 08:17:04,J0622+3749,1.6675537444228539,0.6600912801231532,74.0,154,393.0,93.0,30420,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.663243560401468Waited for more observables to rise above the horizon. 
