Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:04:35,1490195075000
Duration,  1 day, 3 hours, 4 minutes, 35 seconds,97475000
Slew time, 0 day, 0 hour, 16 minutes, 2 seconds,962000.0
Integration time, 0 day, 14 hours, 21 minutes, 33 seconds,5.1693E7
Waiting time, 0 day, 12 hours, 27 minutes, 0 second,4.482E7
Relative slew time, 0.009869197230058989
Relative integration time, 0.5303205950243652
Relative waiting time, 0.4598102077455758
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:27,J0843+0719,2.2844774567868544,0.12764077633515641,43.0,284,284.0,284.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:27,21/03/2017 13:13:17,J0711+0931,1.8832233528712716,0.16621837056840444,25.0,659,445.0,445.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:13:17,21/03/2017 13:17:51,J0633+0632,1.7180010320107069,0.11419737777167009,11.0,263,263.0,263.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:17:51,21/03/2017 13:22:27,J0533+0402,1.4548642856722165,0.07039737056551017,12.0,170,264.0,264.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:22:27,21/03/2017 13:30:59,B1541+09,4.117437145251993,0.16559460443815205,0.0,512,512.0,512.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:30:59,21/03/2017 13:32:02,B0523+11,1.4221850534626992,0.19644204329971776,8.0,118,55.0,55.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.142451673903967
21/03/2017 14:58:02,21/03/2017 16:32:05,J1738+0333,4.620320378054876,0.06201187154863972,202.0,613,281.0,281.0,5160,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1806644803514756
21/03/2017 15:06:05,21/03/2017 15:11:05,J1736+05,4.611596216082018,0.10122909661567112,89.0,186,211.0,211.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:11:05,21/03/2017 15:24:05,J1739+0612,4.622065719044209,0.10834810070908354,0.0,366,incomplete,780.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 50 [+]
21/03/2017 15:24:05,21/03/2017 15:34:25,J1802+03,4.724315396939985,0.06341362948912731,3.0,644,617.0,617.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:34:25,21/03/2017 15:45:03,B1810+02,4.768616725733095,0.04274660403984512,0.0,613,638.0,638.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:45:03,21/03/2017 15:47:51,J1807+04,4.744750293598751,0.07126761112310179,3.0,165,165.0,165.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:47:51,21/03/2017 15:57:35,J1806+1023,4.742358756191207,0.1813120749023876,5.0,647,579.0,579.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:57:35,21/03/2017 15:59:39,J1822+0705,4.809723083886327,0.12371960328234248,3.0,352,121.0,121.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.899795424598521
21/03/2017 15:59:39,21/03/2017 16:00:55,J1828+0625,4.836600427146518,0.11199438440470835,1.0,135,75.0,75.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7919781898406102
21/03/2017 16:00:55,21/03/2017 16:21:56,J1842+0257,4.897897844917602,0.05177228337832513,4.0,1039,1257.0,1257.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:21:56,21/03/2017 16:28:23,J1900+0227,4.976995439397463,0.04291570705181613,0.0,322,387.0,387.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:28:23,21/03/2017 16:32:56,J1902+0248,4.986570024785696,0.04914071471726257,0.0,273,273.0,273.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:32:56,21/03/2017 16:48:46,J1905+0154A,4.997124903437131,0.033321244302658405,0.0,785,950.0,950.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:48:46,21/03/2017 16:51:14,J1919+0134,5.06026364356907,0.027617411344404718,0.0,240,148.0,148.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6192231735505602
21/03/2017 16:51:14,21/03/2017 17:00:51,J1910+0225,5.01857492722209,0.04229320628527147,2.0,575,575.0,575.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:00:51,21/03/2017 17:05:46,J1907+0249,5.007788137946295,0.049358880873761855,2.0,402,293.0,293.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.372662306681501
21/03/2017 17:05:46,21/03/2017 17:13:44,J1906+0414,5.004571132524609,0.07402833414881194,1.0,477,477.0,477.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:13:44,21/03/2017 17:16:17,J1904+0451,4.995960245227275,0.08491488838390511,1.0,211,152.0,152.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3868537217482986
21/03/2017 17:16:17,21/03/2017 17:19:29,J1907+0534,5.006428962791304,0.09741361294533905,0.0,450,192.0,192.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.338786893705363
21/03/2017 17:19:29,21/03/2017 17:29:12,J1907+0602,5.008712435229331,0.10538346504909872,0.0,545,583.0,583.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:29:12,21/03/2017 17:35:45,J1913+0617,5.0309115688736545,0.10966485466697704,0.0,399,393.0,393.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0158547237384392
21/03/2017 17:35:45,21/03/2017 17:46:20,J1914+0631,5.03652862018299,0.11401023969076181,0.0,635,635.0,635.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:46:20,21/03/2017 17:54:50,J1926+0737,5.090088411603566,0.13297081794527466,0.0,2800,incomplete,510.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 77 [+]
21/03/2017 17:54:50,21/03/2017 17:56:12,J1933+0758,5.119589348339765,0.1390785491812607,0.0,104,82.0,82.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2678022924234265
21/03/2017 17:56:12,21/03/2017 18:43:11,J1926+0737,5.090088411603566,0.13297081794527466,1.0,2800,3328.0,2818.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:43:11,21/03/2017 18:47:53,J2007+0809,5.267512765597136,0.142404322552304,1.0,284,281.0,281.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:47:53,21/03/2017 22:50:56,J1956+0838,5.222334917909262,0.1507615407872702,2.0,6023,14581.0,14581.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 22:50:56,21/03/2017 22:55:11,J2234+2114,5.912058495035511,0.3706827228121779,24.0,542,261.0,231.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.9908863213000039
21/03/2017 22:55:11,21/03/2017 22:55:34,J2215+1538,5.82792002606563,0.27302224274041786,7.0,389,594.0,16.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:55:34,21/03/2017 22:58:39,J2205+1444,5.7826573844649305,0.25729692314268515,2.0,548,386.0,183.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.3516262290374035
21/03/2017 22:58:39,21/03/2017 23:08:23,B2127+11A,5.628559320435904,0.21235437444198796,8.0,456,576.0,576.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 23:08:23,21/03/2017 23:35:54,B2127+11C,5.628774409576931,0.2125336347853919,2.0,1436,1649.0,1649.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 23:35:54,21/03/2017 23:41:00,J2143+0654,5.68565583890785,0.12051270622590723,6.0,354,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 23:41:00,21/03/2017 23:47:53,B2127+11E,5.628554992601135,0.21239023174665653,8.0,543,405.0,405.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3411637896620472
21/03/2017 23:47:53,21/03/2017 23:50:29,B2127+11G,5.6285377574747715,0.21233530235658682,2.0,154,154.0,154.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:50:29,21/03/2017 23:55:16,B2127+11H,5.628554774434979,0.21234562888799444,0.0,384,287.0,287.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3361729657226193
21/03/2017 23:55:16,22/03/2017 00:11:38,J2047+1053,5.441063943092322,0.1899500002587162,16.0,1096,10216.0,966.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:11:38,22/03/2017 00:15:47,J2143+0654,5.68565583890785,0.12051270622590723,15.0,354,534.0,234.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.5132353879525786
22/03/2017 00:15:47,22/03/2017 00:22:22,J2227+30,5.879577917655897,0.5340707511102649,25.0,5293,incomplete,370.0,0,5400,2,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 55 [+]
22/03/2017 00:22:22,22/03/2017 00:22:46,J2225+35,5.867796945204935,0.619591884457987,4.0,234,incomplete,20.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 55 [+]
22/03/2017 00:22:46,22/03/2017 01:04:00,J2227+30,5.879577917655897,0.5340707511102649,4.0,5293,5293.0,2470.0,0,5400,3,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:04:00,22/03/2017 01:06:08,J2225+35,5.867796945204935,0.619591884457987,10.0,234,138.0,118.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 01:06:08,22/03/2017 01:11:48,J2138+4911,5.6635934227216,0.8584111037725444,13.0,581,327.0,327.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.778269194084991
22/03/2017 01:11:48,22/03/2017 01:30:01,J1849+2423,4.928713545451534,0.4257923472159776,42.0,1096,1051.0,1051.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 01:30:01,22/03/2017 01:57:29,B1919+20,5.0695703936391725,0.35003935627053384,5.0,1643,1643.0,1643.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:57:29,22/03/2017 02:02:27,J1929+1955,5.1020025599486605,0.3476497581177131,3.0,327,295.0,295.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:02:27,22/03/2017 02:06:44,J1931+1952,5.113513929935625,0.34679449830286774,0.0,257,257.0,257.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:06:44,22/03/2017 02:31:04,J1926+2016,5.0889484207138045,0.353725540132114,1.0,1244,1459.0,1459.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 02:31:04,22/03/2017 02:41:27,J1932+1916,5.115247332771065,0.33645584655320687,3.0,620,620.0,620.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:41:27,22/03/2017 02:47:29,J1934+19,5.122541354603357,0.33161255787892263,1.0,532,361.0,361.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.475056248349834
22/03/2017 02:47:29,22/03/2017 02:48:38,B1925+18,5.092756001921134,0.32932666137249117,2.0,123,67.0,67.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 02:48:38,22/03/2017 03:30:06,J1928+1746,5.09945595730928,0.3102304322500038,0.0,2072,2488.0,2488.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 03:30:06,22/03/2017 03:40:47,J1932+17,5.113814708343386,0.29670597283903605,6.0,635,635.0,635.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:40:47,22/03/2017 03:46:10,J1935+1726,5.127191784395295,0.3044070442379886,1.0,322,322.0,322.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:46:10,22/03/2017 03:49:43,J1933+1726,5.118178031473371,0.3042690662643448,1.0,640,incomplete,212.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:49:43,22/03/2017 03:57:59,B1933+15,5.131378538382623,0.2724458962363148,1.0,575,incomplete,495.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 03:57:59,22/03/2017 04:03:00,J1937+1505,5.136817420664149,0.2633459434418889,1.0,202,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 04:03:00,22/03/2017 04:08:24,J1941+1341,5.153438554741152,0.23896660267361475,1.0,609,incomplete,323.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 04:08:24,22/03/2017 04:08:26,J1935+12,5.127995508515839,0.21031217486531673,2.0,1709,incomplete,0.0,0,5400,1,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 04:08:26,22/03/2017 04:14:33,J1939+10,5.145157912827116,0.18762289458939044,1.0,658,incomplete,366.0,0,20,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
22/03/2017 04:14:33,22/03/2017 04:17:44,J1941+1026,5.155436011348008,0.18222013092710576,0.0,193,incomplete,191.0,0,600,1,0,1,1,Aborted: High scintillation; observed until object set.
22/03/2017 04:17:44,22/03/2017 04:20:26,J1947+10,5.181882549171165,0.1873320063807247,0.0,204,162.0,162.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2571687368248448
22/03/2017 04:20:26,22/03/2017 04:20:27,J1941+1026,5.155436011348008,0.18222013092710576,1.0,193,incomplete,0.0,0,600,2,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 04:20:27,22/03/2017 04:23:53,J1944+0907,5.166853006291774,0.15922764478131782,1.0,570,incomplete,205.0,0,5400,1,0,2,1,Aborted: Normal scintillation; observed until object set.
22/03/2017 04:23:53,22/03/2017 04:38:02,J1941+0121,5.154251005507956,0.023753446305961715,7.0,842,842.0,842.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 04:38:02,22/03/2017 04:46:42,J2017+0603,5.311815405568848,0.1056194170803032,6.0,518,514.0,514.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 04:46:42,22/03/2017 05:00:08,B0331+45,0.9393250842215719,0.8016562932307203,261.0,545,545.0,545.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 05:00:08,22/03/2017 05:03:35,J0006+1834,0.02652900463031381,0.3243355045254685,50.0,524,677.0,157.0,39660,5400,3,0,1,0,Completed: Shortened interval; scintillation of 1.8551601296439206Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
