Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 11:16:29,1490177789000
Duration,  0 day, 22 hours, 16 minutes, 29 seconds,80189000
Slew time, 0 day, 1 hour, 2 minutes, 39 seconds,3759000.0
Integration time, 0 day, 21 hours, 13 minutes, 50 seconds,7.643E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04687675366945591
Relative integration time, 0.9531232463305441
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 14:12:14,J0834-4159,2.243933458263026,-0.7325001426515868,126.0,3754,4208.0,4208.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:12:14,21/03/2017 14:17:21,J0343-3000,0.9750529121243688,-0.5234654518359938,71.0,2597,incomplete,236.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:17:21,21/03/2017 14:21:39,J0255-5304,0.767670054242368,-0.9260845001893726,23.0,447,235.0,235.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:21:39,21/03/2017 14:41:32,J1418-3921,3.7473879284769214,-0.6866973216473953,97.0,1096,1096.0,1096.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:41:32,21/03/2017 14:58:26,J0624-0424,1.6769725591753457,-0.07654989858563074,160.0,1039,854.0,854.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:58:26,21/03/2017 15:05:12,J0448-2749,1.2596598989783194,-0.4852658183485387,34.0,450,372.0,372.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:05:12,21/03/2017 15:08:51,J0729-1448,1.9603283631217727,-0.2581303178605125,30.0,276,189.0,189.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:08:51,21/03/2017 15:34:58,J0820-1350,2.1835800963565513,-0.24116640111841794,9.0,1238,1558.0,1558.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:34:58,21/03/2017 16:03:11,J0837-4135,2.25737844216725,-0.725696412895,35.0,751,1658.0,1658.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:03:11,21/03/2017 16:12:33,J1356-5521,3.651414818181579,-0.9659769091257897,83.0,507,479.0,479.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:12:33,21/03/2017 16:23:05,J1001-5507,2.6251191846627617,-0.961934823540907,62.0,1436,incomplete,570.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite COSMOS 2464 (736)
21/03/2017 16:23:05,21/03/2017 16:30:05,J1136-5525,3.0370307053233345,-0.9671630542779921,11.0,364,409.0,409.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:30:05,21/03/2017 16:38:47,J1328-4357,3.5260328372680796,-0.7668583064554023,36.0,532,486.0,486.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:38:47,21/03/2017 16:44:28,J1549-4848,4.142332012648075,-0.8515391607310254,41.0,613,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:44:28,21/03/2017 17:01:55,J1708-3426,4.489698057799603,-0.6007617210836926,24.0,692,1023.0,1023.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:01:55,21/03/2017 17:09:55,J1722-3207,4.54679759510938,-0.5603219575013029,3.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:09:55,21/03/2017 17:15:09,J1705-3423,4.475486932531396,-0.5998833841376264,5.0,255,309.0,309.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:15:09,21/03/2017 17:20:55,J1557-4258,4.175718997685893,-0.7498484245282018,17.0,329,329.0,329.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:20:55,21/03/2017 17:25:16,J1559-4438,4.187446746757646,-0.778776084707186,4.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:25:16,21/03/2017 17:27:10,J1828-1101,4.835932765985578,-0.19203033576435724,42.0,72,72.0,72.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
