Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 13:05:02,1490184302000
Duration,  1 day, 0 hour, 5 minutes, 2 seconds,86702000
Slew time, 0 day, 0 hour, 24 minutes, 39 seconds,1479000.0
Integration time, 0 day, 23 hours, 40 minutes, 23 seconds,8.5223E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.017058430024682245
Relative integration time, 0.9829415699753178
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:01,J0627+0706,1.6918185479589658,0.12407981984740686,62.0,475,239.0,239.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9846523738625454
21/03/2017 13:05:01,21/03/2017 13:08:41,J0525+1115,1.4221850534626992,0.19644204329971776,15.0,354,205.0,205.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7296842997414716
21/03/2017 13:08:41,21/03/2017 13:15:02,J0659+1414,1.831732794723039,0.24852276514196478,18.0,384,363.0,363.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:15:02,21/03/2017 13:18:34,J0631+1036,1.708060945588286,0.1853079092620924,9.0,287,203.0,203.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:18:34,21/03/2017 13:30:25,J0448-2749,1.2596598989783194,-0.4852658183485387,50.0,450,661.0,661.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:30:25,21/03/2017 14:13:10,J0343-3000,0.9750529121243688,-0.5234654518359938,13.0,2597,2552.0,2552.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:13:10,21/03/2017 14:15:21,J0835-4510,2.2486103217937075,-0.7881379662280048,50.0,89,81.0,81.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0933627581851095
21/03/2017 14:15:21,21/03/2017 14:37:50,J0809-4753,2.1368567814326522,-0.8354544972328544,5.0,547,1344.0,1344.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:37:50,21/03/2017 14:41:06,J0738-4042,2.0007530247579957,-0.710150522840646,10.0,374,186.0,186.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0101774639965493
21/03/2017 14:41:06,21/03/2017 15:05:36,J1001-5507,2.6251191846627617,-0.961934823540907,34.0,1436,1436.0,1436.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:05:36,21/03/2017 15:22:19,J1328-4357,3.5260328372680796,-0.7668583064554023,80.0,532,923.0,923.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
