Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 19:58:33,1490122713000
Duration,  0 day, 6 hours, 58 minutes, 33 seconds,25113000
Slew time, 0 day, 0 hour, 17 minutes, 31 seconds,1051000.0
Integration time, 0 day, 6 hours, 41 minutes, 2 seconds,2.4062E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04185083422928364
Relative integration time, 0.9581491657707164
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:26,J0543+2329,1.4973223286090653,0.40988572669405726,81.0,245,245.0,245.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:05:26,21/03/2017 13:17:42,J0601-0527,1.579448949277968,-0.09487532243652198,21.0,395,715.0,715.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:17:42,21/03/2017 13:20:38,J0742-2822,2.0194228844886313,-0.4948795766822046,29.0,166,147.0,147.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:20:38,21/03/2017 13:26:47,J0857-4424,2.3471157964778353,-0.7748761551135918,43.0,326,326.0,326.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:26:47,21/03/2017 13:36:37,J0940-5428,2.5349612932689074,-0.9504258315650477,31.0,311,559.0,559.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:37,21/03/2017 13:46:05,J0905-5127,2.3817869802348595,-0.8977357474070141,18.0,346,560.0,550.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:05,21/03/2017 13:56:52,J1356-5521,3.651414818181579,-0.9659769091257897,74.0,507,573.0,573.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:56:52,21/03/2017 14:12:24,J1649-3805,4.406099840955266,-0.6643930319156381,29.0,262,903.0,903.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:12:24,21/03/2017 14:22:36,J1717-3425,4.5262382710193565,-0.600104313732108,3.0,656,609.0,609.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.077212546310761
21/03/2017 14:22:36,21/03/2017 14:30:51,J1806-2125,4.739993544166545,-0.37359742266300844,14.0,481,481.0,481.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:30:51,21/03/2017 14:36:25,J1739-3131,4.62252663141084,-0.5499954260936698,12.0,529,322.0,322.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6418664048351248
21/03/2017 14:36:25,21/03/2017 14:42:32,J1745-3040,4.651033748582133,-0.535120372729867,0.0,367,367.0,367.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:42:32,21/03/2017 14:47:56,J1723-3659,4.551497257730635,-0.645413545927562,8.0,202,316.0,316.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:47:56,21/03/2017 15:20:19,J1632-4621,4.332039048530504,-0.8087244888503525,12.0,1709,1931.0,1931.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:20:19,21/03/2017 15:29:15,J1820-0427,4.803481131982726,-0.07748234073850871,33.0,598,503.0,503.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:29:15,21/03/2017 15:32:06,J1835-1106,4.866435158102161,-0.19365834010552305,6.0,165,165.0,165.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:32:06,21/03/2017 15:36:59,J1702-4310,4.461275370930876,-0.753206534971775,32.0,261,261.0,261.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:36:59,21/03/2017 15:43:53,J1837-0559,4.87555275811458,-0.10429166463924004,34.0,542,380.0,380.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.425108963171756
21/03/2017 15:43:53,21/03/2017 15:47:29,J1841-0425,4.891697053695527,-0.07699083662859986,1.0,186,215.0,215.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:47:29,21/03/2017 16:05:03,J1852-0635,4.943454574497262,-0.1146244986247276,2.0,524,1052.0,1052.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:05:03,21/03/2017 16:17:20,J1847-0402,4.919125986449196,-0.07032615143575517,5.0,597,732.0,732.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:17:20,21/03/2017 16:33:38,J1913-0440,5.034851176966692,-0.08121753926324903,2.0,825,976.0,976.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:33:38,21/03/2017 16:37:48,J1524-5625,4.035336493627919,-0.9845431399320879,57.0,196,193.0,193.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:37:48,21/03/2017 16:53:59,J0924-5814,2.463168628929164,-1.0163323730024403,71.0,739,900.0,900.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:53:59,21/03/2017 16:59:33,J1600-5751,4.190239555286068,-1.0096017046675965,71.0,194,263.0,263.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:59:33,21/03/2017 17:05:52,J1038-5831,2.785232781358634,-1.021176728266823,68.0,661,311.0,311.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1282594694297567
21/03/2017 17:05:52,21/03/2017 18:35:28,J1509-5850,3.9682336744323896,-1.0265633961148948,56.0,6023,incomplete,5320.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-5  (PRN 28)
21/03/2017 18:35:28,21/03/2017 18:47:21,J1115-6052,2.949146832500725,-1.0622374412119777,55.0,938,658.0,658.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4263354804409052
