Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 19:19:12,1490120352000
Duration,  0 day, 6 hours, 19 minutes, 12 seconds,22752000
Slew time, 0 day, 0 hour, 19 minutes, 10 seconds,1150000.0
Integration time, 0 day, 6 hours, 0 minute, 2 seconds,2.1602E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05054500703234881
Relative integration time, 0.9494549929676512
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:44:26,J0343-3000,0.9750529121243688,-0.5234654518359938,116.0,2597,2550.0,2550.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:44:26,21/03/2017 14:03:19,J0624-0424,1.6769725591753457,-0.07654989858563074,38.0,1039,1095.0,1095.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:03:19,21/03/2017 14:05:56,J0820-3826,2.1860199430233505,-0.6705803210766942,33.0,124,124.0,124.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:05:56,21/03/2017 14:17:06,J0901-4624,2.363475422055248,-0.8095976382900308,19.0,640,651.0,651.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:17:06,21/03/2017 14:28:36,J0942-5552,2.540605251737544,-0.9748037178922785,23.0,664,667.0,667.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:28:36,21/03/2017 14:38:52,J1709-1640,4.491782366353361,-0.29060832572761713,103.0,653,513.0,513.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2730797587070581
21/03/2017 14:38:52,21/03/2017 15:06:49,J1700-3312,4.4544424796313695,-0.5792238733004015,13.0,1358,1664.0,1664.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:06:49,21/03/2017 15:18:53,J1708-3426,4.489698057799603,-0.6007617210836926,4.0,692,720.0,720.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:18:53,21/03/2017 15:23:35,J1801-2304,4.7181943090870835,-0.40237499314630826,13.0,415,269.0,269.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5406495861610392
21/03/2017 15:23:35,21/03/2017 15:24:46,J1801-2451,4.71675346706751,-0.4335809953582858,1.0,187,70.0,70.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.6615286966636393
21/03/2017 15:24:46,21/03/2017 15:35:06,J1752-2806,4.681750423497631,-0.49025668430735275,3.0,562,617.0,617.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:35:06,21/03/2017 15:42:20,J1722-3632,4.547296613831346,-0.6373685477032304,11.0,399,423.0,423.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:42:20,21/03/2017 15:45:26,J1722-3712,4.550885665271917,-0.6492445436356896,1.0,236,185.0,185.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:45:26,21/03/2017 16:06:14,J1643-4505,4.379101633644374,-0.7866295901474666,9.0,1728,1239.0,1239.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:06:14,21/03/2017 16:23:32,J1832-0827,4.854707490915438,-0.14746267457552845,31.0,647,1007.0,1007.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:23:32,21/03/2017 17:06:00,J1715-4034,4.51902031645363,-0.7079152408825223,32.0,2072,2516.0,2516.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:06:00,21/03/2017 17:15:52,J1816-2650,4.784776656555258,-0.467782176492158,15.0,592,577.0,577.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:15:52,21/03/2017 17:17:52,J1845-0743,4.912896768176928,-0.13449507215868303,16.0,104,104.0,104.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:17:52,21/03/2017 17:53:06,J1534-5334,4.075952486983392,-0.934821133611175,64.0,1368,incomplete,2050.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 17:53:06,21/03/2017 17:54:23,J1709-4429,4.49296676860038,-0.7763406802814875,26.0,102,51.0,51.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:54:23,21/03/2017 18:02:44,J1536-5433,4.084420969958173,-0.9520043849107402,38.0,881,463.0,463.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9042011951258655
21/03/2017 18:02:44,21/03/2017 18:10:45,J1900-2600,4.977648628870023,-0.4535732571261997,61.0,612,420.0,420.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.458734392587044
21/03/2017 18:10:45,21/03/2017 18:21:59,J1822-4209,4.809207920868779,-0.7356030471734241,18.0,456,656.0,656.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:21:59,21/03/2017 18:25:24,J1015-5719,2.6862042540415194,-1.0003024934502345,101.0,167,104.0,104.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6081261238344233
21/03/2017 18:25:24,21/03/2017 18:38:55,J1646-6831,4.393488237224458,-1.1955941708474156,53.0,1785,758.0,758.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.35346057130268
