Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 01:14:43,1490141683000
Duration,  0 day, 12 hours, 14 minutes, 43 seconds,44083000
Slew time, 0 day, 0 hour, 50 minutes, 51 seconds,3051000.0
Integration time, 0 day, 11 hours, 23 minutes, 52 seconds,4.1032E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.06921035319737767
Relative integration time, 0.9307896468026223
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:27,J0857-4424,2.3471157964778353,-0.7748761551135918,217.0,326,290.0,290.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1226563086281507
21/03/2017 13:08:27,21/03/2017 13:10:07,J0809-4753,2.1368567814326522,-0.8354544972328544,10.0,547,incomplete,90.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU M6
21/03/2017 13:10:07,21/03/2017 13:19:09,J1001-5507,2.6251191846627617,-0.961934823540907,46.0,1436,496.0,496.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.894140012710436
21/03/2017 13:19:09,21/03/2017 13:27:17,J1328-4357,3.5260328372680796,-0.7668583064554023,58.0,532,430.0,430.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:27:17,21/03/2017 13:31:14,J0820-3826,2.1860199430233505,-0.6705803210766942,127.0,124,110.0,110.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1289546548700733
21/03/2017 13:31:14,21/03/2017 13:38:20,J1727-2739,4.570652973491796,-0.48258111410802657,126.0,1293,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:38:20,21/03/2017 13:42:48,J1703-3241,4.465318717031329,-0.5701990666265474,8.0,1211,incomplete,260.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 13:42:48,21/03/2017 13:52:01,J0809-4753,2.1368567814326522,-0.8354544972328544,108.0,547,535.0,445.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:52:01,21/03/2017 13:58:44,J1559-4438,4.187446746757646,-0.778776084707186,103.0,257,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:58:44,21/03/2017 14:03:40,J1721-3532,4.544603061741155,-0.6199331932894881,16.0,280,280.0,280.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:03:40,21/03/2017 14:18:42,J1708-3426,4.489698057799603,-0.6007617210836926,2.0,692,900.0,900.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:18:42,21/03/2017 14:24:11,J1549-4848,4.142332012648075,-0.8515391607310254,21.0,613,308.0,308.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9906952342394586
21/03/2017 14:24:11,21/03/2017 14:31:34,J1730-3350,4.5838570437816015,-0.5903120470010577,21.0,139,422.0,422.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:31:34,21/03/2017 14:39:04,J1613-4714,4.247624526650597,-0.8242521014289287,19.0,382,431.0,431.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:39:04,21/03/2017 14:44:39,J0940-5428,2.5349612932689074,-0.9504258315650477,85.0,311,250.0,250.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:44:39,21/03/2017 14:53:27,J1623-4256,4.29266202077779,-0.7490759224087218,90.0,364,438.0,438.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:53:27,21/03/2017 15:32:14,J1741-3016,4.62999780416221,-0.5281026946958064,17.0,1893,incomplete,2310.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-4  (PRN 27)
21/03/2017 15:32:14,21/03/2017 15:40:30,J1636-4440,4.347071932988192,-0.7794591958038565,24.0,938,472.0,472.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9862979871868296
21/03/2017 15:40:30,21/03/2017 15:51:51,J1727-2739,4.570652973491796,-0.48258111410802657,16.0,1293,965.0,665.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.944303495479204
