Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 16:18:16,1490195896000
Duration,  1 day, 3 hours, 18 minutes, 16 seconds,98296000
Slew time, 0 day, 2 hours, 10 minutes, 32 seconds,7832000.0
Integration time, 1 day, 1 hour, 7 minutes, 44 seconds,9.0464E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.07967770814682185
Relative integration time, 0.9203222918531782
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:43,J0729-1836,1.9614847164732712,-0.324423983022271,74.0,510,269.0,269.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8968774266814379
21/03/2017 13:05:43,21/03/2017 13:09:24,J0908-4913,2.3936848897457046,-0.8589613673006038,81.0,106,140.0,140.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:09:24,21/03/2017 13:11:06,J0820-3826,2.1860199430233505,-0.6705803210766942,42.0,124,60.0,60.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0520909063490027
21/03/2017 13:11:06,21/03/2017 13:32:43,J1034-3224,2.767765671648779,-0.5653606260890742,160.0,1150,1137.0,1137.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:32:43,21/03/2017 13:39:14,J0729-1448,1.9603283631217727,-0.2581303178605125,163.0,276,228.0,228.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:39:14,21/03/2017 13:53:33,J0255-5304,0.767670054242368,-0.9260845001893726,69.0,447,790.0,790.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:53:33,21/03/2017 14:05:57,J0837-4135,2.25737844216725,-0.725696412895,50.0,751,694.0,694.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:05:57,21/03/2017 14:13:40,J0809-4753,2.1368567814326522,-0.8354544972328544,9.0,547,454.0,454.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:13:40,21/03/2017 14:21:19,J0820-4114,2.1827851206988833,-0.7194809560590714,11.0,545,448.0,448.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2170474096073782
21/03/2017 14:21:19,21/03/2017 14:26:58,J0940-5428,2.5349612932689074,-0.9504258315650477,33.0,311,306.0,306.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
