Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 15:50:00,1490194200000
Duration,  1 day, 2 hours, 50 minutes, 0 second,96600000
Slew time, 0 day, 1 hour, 29 minutes, 6 seconds,5346000.0
Integration time, 0 day, 20 hours, 29 minutes, 54 seconds,7.3794E7
Waiting time, 0 day, 4 hours, 51 minutes, 0 second,1.746E7
Relative slew time, 0.0553416149068323
Relative integration time, 0.7639130434782608
Relative waiting time, 0.18074534161490682
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:23,J1721-3532,4.544603061741155,-0.6199331932894881,131.0,280,132.0,132.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.1256692523704124
21/03/2017 13:04:23,21/03/2017 13:07:18,J1539-5626,4.098175618904932,-0.9848243318671315,26.0,243,149.0,149.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6264670329838722
21/03/2017 13:07:18,21/03/2017 13:15:02,J1632-4818,4.331306519299032,-0.8427390167169976,10.0,890,454.0,454.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9622718439360303
21/03/2017 13:15:02,21/03/2017 13:25:26,J0659+1414,1.831732794723039,0.24852276514196478,173.0,384,451.0,451.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:25:26,21/03/2017 13:29:10,J1327-6301,3.521744999628243,-1.0997737041395705,159.0,196,65.0,65.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.9989979115206973
21/03/2017 13:29:10,21/03/2017 13:39:05,J1306-6617,3.4323492353410936,-1.1567567164810928,6.0,473,589.0,589.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:39:05,21/03/2017 13:43:46,J1716-4005,4.523461452179434,-0.6994552421471609,35.0,311,246.0,246.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2661867530346227
21/03/2017 13:43:46,21/03/2017 13:47:28,J1015-5719,2.6862042540415194,-1.0003024934502345,55.0,167,167.0,167.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:47:28,21/03/2017 13:51:08,J0452-1759,1.2765705904504334,-0.3137550713449015,70.0,548,incomplete,150.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-6  (PRN 06)
21/03/2017 13:51:08,21/03/2017 14:01:07,J0907-5157,2.3878940327316918,-0.9064112943049969,51.0,253,548.0,548.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:01:07,21/03/2017 14:07:55,J1653-4249,4.422971211613773,-0.7472758092107622,86.0,612,322.0,322.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.902353027425819
21/03/2017 14:07:55,21/03/2017 16:23:27,J1650-4921,4.409508905316724,-0.8613011750883746,5.0,5293,8127.0,8127.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:23:27,21/03/2017 16:39:37,J1731-4744,4.588914426177464,-0.8329362780104352,14.0,829,956.0,956.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
