Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 23:29:44,1490135384000
Duration,  0 day, 10 hours, 29 minutes, 44 seconds,37784000
Slew time, 0 day, 1 hour, 0 minute, 53 seconds,3653000.0
Integration time, 0 day, 9 hours, 28 minutes, 51 seconds,3.4131E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.09668113487190345
Relative integration time, 0.9033188651280966
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:30:37,J1643-4505,4.379101633644374,-0.7866295901474666,134.0,1728,1703.0,1703.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:30:37,21/03/2017 13:34:14,J1524-5625,4.035336493627919,-0.9845431399320879,20.0,196,197.0,197.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:34:14,21/03/2017 13:55:46,J1703-4851,4.467635641613352,-0.8523228135651708,16.0,1396,1276.0,1276.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0939933329878635
21/03/2017 13:55:46,21/03/2017 13:57:56,J0835-4510,2.2486103217937075,-0.7881379662280048,97.0,89,33.0,33.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.680766801285855
21/03/2017 13:57:56,21/03/2017 14:03:43,J1721-3532,4.544603061741155,-0.6199331932894881,109.0,280,238.0,238.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1753551462329257
21/03/2017 14:03:43,21/03/2017 14:55:11,J1515-5720,3.9931169790221768,-1.0004178791063387,27.0,3388,3061.0,3061.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:55:11,21/03/2017 15:24:13,J1718-3718,4.529856629446949,-0.6507508597428968,19.0,4182,1723.0,1723.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.427161820762493
21/03/2017 15:24:13,21/03/2017 15:33:13,J1016-5857,2.6893458466951095,-1.028812931595243,88.0,640,452.0,452.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4154677043163764
21/03/2017 15:33:13,21/03/2017 15:36:29,J1611-5209,4.237019469783167,-0.910074788886301,75.0,182,121.0,121.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4997961114744118
21/03/2017 15:36:29,21/03/2017 15:44:55,J1328-4357,3.5260328372680796,-0.7668583064554023,28.0,532,478.0,478.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:44:55,21/03/2017 15:54:28,J1717-3425,4.5262382710193565,-0.600104313732108,41.0,656,532.0,532.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2333915256368202
21/03/2017 15:54:28,21/03/2017 15:58:59,J1539-5626,4.098175618904932,-0.9848243318671315,28.0,243,243.0,243.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:58:59,21/03/2017 16:03:43,J1456-6843,3.9095490145515406,-1.1991417949589347,21.0,263,263.0,263.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:03:43,21/03/2017 16:21:19,J1605-5257,4.211792189886633,-0.9239870022794202,27.0,658,1029.0,1029.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:21:19,21/03/2017 16:42:11,J1741-2733,4.629583288464862,-0.4805909539470719,31.0,892,1221.0,1221.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:42:11,21/03/2017 16:53:10,J0729-1836,1.9614847164732712,-0.324423983022271,149.0,510,510.0,510.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:53:10,21/03/2017 16:56:52,J1833-0827,4.8593093423765295,-0.14732881751817412,166.0,85,56.0,56.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
