Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 02:14:29,1490145269000
Duration,  0 day, 13 hours, 14 minutes, 29 seconds,47669000
Slew time, 0 day, 0 hour, 46 minutes, 19 seconds,2779000.0
Integration time, 0 day, 7 hours, 27 minutes, 10 seconds,2.683E7
Waiting time, 0 day, 5 hours, 1 minute, 0 second,1.806E7
Relative slew time, 0.058297845560007555
Relative integration time, 0.562839581279238
Relative waiting time, 0.3788625731607544
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:31,J1707-4729,4.482263464240472,-0.8285732457686581,139.0,266,252.0,252.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:06:31,21/03/2017 13:11:53,J0543+2329,1.4973223286090653,0.40988572669405726,165.0,245,157.0,157.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5647963743126454
21/03/2017 13:11:53,21/03/2017 13:23:17,J1602-5100,4.198884025627092,-0.8901082222434858,168.0,864,516.0,516.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:23:17,21/03/2017 13:37:36,J1708-3426,4.489698057799603,-0.6007617210836926,16.0,692,843.0,843.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:37:36,21/03/2017 13:48:19,J1349-6130,3.6198601379701474,-1.073294586837043,39.0,402,604.0,604.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:48:19,21/03/2017 14:00:46,J1424-5822,3.7722462894028164,-1.0184190110859357,5.0,366,742.0,742.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:00:46,21/03/2017 14:06:58,J1822-4209,4.809207920868779,-0.7356030471734241,37.0,456,335.0,335.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:06:58,21/03/2017 14:19:02,J1536-5433,4.084420969958173,-0.9520043849107402,30.0,881,694.0,694.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2701705327805066
21/03/2017 14:19:02,21/03/2017 14:23:28,J1549-4848,4.142332012648075,-0.8515391607310254,7.0,613,259.0,259.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3650335323886633
21/03/2017 14:23:28,21/03/2017 14:26:27,J1548-5607,4.1396322791834494,-0.9792562467395884,9.0,170,170.0,170.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:26:27,21/03/2017 14:28:35,J1702-4310,4.461275370930876,-0.753206534971775,14.0,261,114.0,114.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.285863352936105
21/03/2017 14:28:35,21/03/2017 14:32:34,J1015-5719,2.6862042540415194,-1.0003024934502345,72.0,167,167.0,167.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:32:34,21/03/2017 14:33:45,J1047-6709,2.825126790180199,-1.171741017759797,13.0,198,58.0,58.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.3939301954292187
21/03/2017 14:33:45,21/03/2017 14:40:54,J1626-4537,4.305798532281135,-0.796036914815716,59.0,370,370.0,370.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:40:54,21/03/2017 14:47:08,J1623-4256,4.29266202077779,-0.7490759224087218,3.0,364,371.0,371.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:47:08,21/03/2017 14:52:28,J1604-4909,4.20791603178411,-0.8575464870536535,6.0,327,314.0,314.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:52:28,21/03/2017 15:00:06,J1649-3805,4.406099840955266,-0.6643930319156381,10.0,262,448.0,448.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:00:06,21/03/2017 15:02:14,J1739-3023,4.62365353233121,-0.5302310267558773,11.0,135,117.0,117.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:14,21/03/2017 15:09:37,J1630-4733,4.322414793980642,-0.8298798186392482,18.0,575,425.0,425.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:09:37,21/03/2017 15:11:24,J1359-6038,3.6650619839352356,-1.0582125180314064,26.0,127,81.0,81.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5693011477174688
21/03/2017 15:11:24,21/03/2017 15:33:52,J1326-6408,3.5192091816691997,-1.1191245089260087,9.0,792,1339.0,1339.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:33:52,21/03/2017 15:38:36,J1738-3211,4.62033631592164,-0.5614452708004336,50.0,768,614.0,234.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.6609537040620252
21/03/2017 15:38:36,21/03/2017 16:34:02,J1055-6022,2.8615036696707863,-1.0533449886730666,88.0,5293,3238.0,3238.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:34:02,21/03/2017 16:37:47,J1224-6407,3.2479257474367653,-1.1187855756815446,9.0,216,216.0,216.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:37:47,21/03/2017 16:45:43,J1705-1906,4.475031401596625,-0.3331707490500087,104.0,298,372.0,372.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:45:43,21/03/2017 16:49:43,J1534-5405,4.07778653713903,-0.9437397660888661,56.0,289,184.0,184.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5683962204086797
21/03/2017 16:49:43,21/03/2017 16:54:07,J1243-6423,3.3304633131502555,-1.123585522012738,47.0,388,217.0,217.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7895833847739495
21/03/2017 16:54:07,21/03/2017 17:01:13,J1328-4357,3.5260328372680796,-0.7668583064554023,21.0,532,405.0,405.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:01:13,21/03/2017 17:06:38,J1456-6843,3.9095490145515406,-1.1991417949589347,25.0,263,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:06:38,21/03/2017 17:14:37,J1801-2304,4.7181943090870835,-0.40237499314630826,74.0,415,415.0,405.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:14:37,21/03/2017 17:18:35,J1524-5625,4.035336493627919,-0.9845431399320879,59.0,196,179.0,179.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:18:35,21/03/2017 17:25:47,J1648-4611,4.399831054614415,-0.8059736560237369,30.0,402,402.0,402.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:25:47,21/03/2017 17:43:58,J1913-0440,5.034851176966692,-0.08121753926324903,41.0,825,1050.0,1050.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:43:58,21/03/2017 17:56:05,J0905-5127,2.3817869802348595,-0.8977357474070141,139.0,346,588.0,588.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:56:05,21/03/2017 18:00:14,J1420-6048,3.753056903331503,-1.061080530324746,38.0,167,211.0,211.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:00:14,21/03/2017 18:04:45,J1835-1106,4.866435158102161,-0.19365834010552305,106.0,165,165.0,165.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:04:45,21/03/2017 18:35:30,J1509-5850,3.9682336744323896,-1.0265633961148948,95.0,6023,incomplete,1750.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-5  (PRN 28)
21/03/2017 18:35:30,21/03/2017 18:41:52,J1745-3040,4.651033748582133,-0.535120372729867,80.0,367,302.0,302.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.215971765236393
21/03/2017 18:41:52,21/03/2017 18:45:08,J1801-2451,4.71675346706751,-0.4335809953582858,9.0,187,187.0,187.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:45:08,21/03/2017 18:50:47,J1613-4714,4.247624526650597,-0.8242521014289287,70.0,382,269.0,269.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:50:47,21/03/2017 18:55:54,J1757-2421,4.701432399661496,-0.4252426848568829,73.0,234,234.0,234.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:55:54,21/03/2017 18:58:35,J1823-3106,4.816147953567742,-0.5425562025638845,14.0,284,147.0,147.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9306202532018593
21/03/2017 18:58:35,21/03/2017 19:01:43,J1600-5044,4.192646727934829,-0.885362090230896,76.0,192,112.0,112.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.719919910821062
21/03/2017 19:01:43,21/03/2017 19:16:26,J1649-4653,4.4043747284337735,-0.818224897745375,27.0,1410,856.0,856.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6469300019973123
21/03/2017 19:16:26,21/03/2017 19:22:35,J1056-6258,2.8641980217035528,-1.098744881026888,66.0,422,303.0,303.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:22:35,21/03/2017 19:28:44,J1557-4258,4.175718997685893,-0.7498484245282018,45.0,329,324.0,324.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0163035866639396
21/03/2017 19:28:44,21/03/2017 20:17:25,J1509-5850,3.9682336744323896,-1.0265633961148948,17.0,6023,6444.0,2904.0,0,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:17:25,21/03/2017 20:28:27,J1531-5610,4.064283506492767,-0.9800266156788715,9.0,376,653.0,653.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:28:27,21/03/2017 20:39:23,J1837-0559,4.87555275811458,-0.10429166463924004,170.0,542,786.0,486.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.1146713617026793
21/03/2017 20:39:23,21/03/2017 20:47:27,J0907-5157,2.3878940327316918,-0.9064112943049969,172.0,253,312.0,312.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:47:27,21/03/2017 21:13:29,J2346-0609,6.22576790177979,-0.1070492848573911,113.0,1181,1449.0,1449.0,18060,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.Waited for more observables to rise above the horizon. 
