Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 17:47:43,1490071663000
Duration,  0 day, 4 hours, 47 minutes, 43 seconds,17263000
Slew time, 0 day, 0 hour, 8 minutes, 43 seconds,523000.0
Integration time, 0 day, 4 hours, 39 minutes, 0 second,1.674E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03029600880495858
Relative integration time, 0.9697039911950415
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:41,J1853-0004,4.945319022470706,0.0013201476536612666,60.0,179,161.0,161.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:03:41,21/03/2017 13:26:19,J1847-0402,4.919125986449196,-0.07032615143575517,5.0,597,1353.0,1353.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:26:19,21/03/2017 13:30:34,J1841-0425,4.891697053695527,-0.07699083662859986,5.0,186,250.0,250.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:30:34,21/03/2017 13:36:48,J1837-0559,4.87555275811458,-0.10429166463924004,2.0,542,372.0,372.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4575609504021616
21/03/2017 13:36:48,21/03/2017 13:39:24,J1841-0345,4.8940981176919065,-0.06611598094763187,1.0,204,455.0,155.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.3202998093640859
21/03/2017 13:39:24,21/03/2017 13:51:26,J1820-0427,4.803481131982726,-0.07748234073850871,4.0,598,718.0,718.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:51:26,21/03/2017 13:53:00,J1807-0847,4.745697672861144,-0.15308830708701918,7.0,163,87.0,87.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8800301628438987
21/03/2017 13:53:00,21/03/2017 13:54:32,J1809-1917,4.754796626939387,-0.3363729434137372,10.0,82,82.0,82.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:54:32,21/03/2017 14:00:08,J1801-2304,4.7181943090870835,-0.40237499314630826,5.0,415,331.0,331.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2523359670086789
21/03/2017 14:00:08,21/03/2017 14:11:16,J1816-2650,4.784776656555258,-0.467782176492158,3.0,592,665.0,665.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
