Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 01:53:09,1490143989000
Duration,  0 day, 12 hours, 53 minutes, 9 seconds,46389000
Slew time, 0 day, 0 hour, 18 minutes, 12 seconds,1092000.0
Integration time, 0 day, 12 hours, 34 minutes, 57 seconds,4.5297E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.023540063377093707
Relative integration time, 0.9764599366229063
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:22:52,J0820-1350,2.1835800963565513,-0.24116640111841794,52.0,1238,1320.0,1320.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:22:52,21/03/2017 13:32:55,J0729-1448,1.9603283631217727,-0.2581303178605125,21.0,276,582.0,582.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:32:55,21/03/2017 13:38:58,J0729-1836,1.9614847164732712,-0.324423983022271,6.0,510,357.0,357.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4277039065592017
21/03/2017 13:38:58,21/03/2017 13:41:32,J0742-2822,2.0194228844886313,-0.4948795766822046,13.0,166,141.0,141.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:41:32,21/03/2017 13:46:49,J0820-3826,2.1860199430233505,-0.6705803210766942,17.0,124,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:46:49,21/03/2017 13:51:54,J0820-4114,2.1827851206988833,-0.7194809560590714,5.0,545,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:51:54,21/03/2017 14:03:24,J0837-4135,2.25737844216725,-0.725696412895,2.0,751,688.0,688.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:03:24,21/03/2017 14:12:34,J0820-4114,2.1827851206988833,-0.7194809560590714,5.0,545,845.0,545.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:12:34,21/03/2017 14:15:58,J0857-4424,2.3471157964778353,-0.7748761551135918,8.0,326,326.0,196.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:15:58,21/03/2017 14:29:46,J0942-5552,2.540605251737544,-0.9748037178922785,29.0,664,799.0,799.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:29:46,21/03/2017 14:36:29,J1356-5521,3.651414818181579,-0.9659769091257897,64.0,507,339.0,339.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:36:29,21/03/2017 14:41:42,J1557-4258,4.175718997685893,-0.7498484245282018,19.0,329,294.0,294.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.119582666212952
21/03/2017 14:41:42,21/03/2017 14:48:40,J1613-4714,4.247624526650597,-0.8242521014289287,5.0,382,413.0,413.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:48:40,21/03/2017 14:54:51,J1626-4537,4.305798532281135,-0.796036914815716,1.0,370,370.0,370.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:54:51,21/03/2017 15:07:48,J1633-4453,4.33620129518625,-0.7833241304696617,0.0,436,777.0,777.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:07:48,21/03/2017 15:13:30,J1636-4440,4.347071932988192,-0.7794591958038565,1.0,938,341.0,341.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.753372843477193
21/03/2017 15:13:30,21/03/2017 16:08:11,J1638-4417,4.357957769699036,-0.7728725171323023,0.0,3073,3281.0,3281.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:08:11,21/03/2017 16:28:38,J1703-3241,4.465318717031329,-0.5701990666265474,16.0,1211,1211.0,1211.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:28:38,21/03/2017 16:39:30,J1727-2739,4.570652973491796,-0.48258111410802657,5.0,1293,647.0,647.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9987902730146063
21/03/2017 16:39:30,21/03/2017 16:42:10,J1757-2421,4.701432399661496,-0.4252426848568829,5.0,234,155.0,155.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5073638345843452
21/03/2017 16:42:10,21/03/2017 16:53:42,J1740-3015,4.627581977589243,-0.527751204777002,6.0,606,686.0,686.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:53:42,21/03/2017 16:57:28,J1745-3040,4.651033748582133,-0.535120372729867,1.0,367,225.0,225.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6302420365529509
21/03/2017 16:57:28,21/03/2017 17:01:20,J1749-3002,4.665373446438571,-0.524010867227242,0.0,609,232.0,232.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.6214182885357946
21/03/2017 17:01:20,21/03/2017 17:34:22,J1741-3016,4.62999780416221,-0.5281026946958064,2.0,1893,1980.0,1980.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:34:22,21/03/2017 17:45:03,J1752-2806,4.681750423497631,-0.49025668430735275,4.0,562,637.0,637.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:45:03,21/03/2017 17:46:55,J1801-2451,4.71675346706751,-0.4335809953582858,4.0,187,108.0,108.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.7309365499306735
21/03/2017 17:46:55,21/03/2017 17:50:10,J1824-1945,4.8171418603991105,-0.34445187859574644,6.0,189,189.0,189.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:50:10,21/03/2017 17:55:42,J1829-1751,4.842062362318582,-0.3115223637474246,1.0,307,331.0,331.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:55:42,21/03/2017 18:15:31,J1750-3157,4.6721968111492425,-0.557418893178819,14.0,910,1175.0,1175.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:15:31,21/03/2017 18:21:16,J1733-3716,4.596524861658733,-0.6501613263066677,8.0,337,337.0,337.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:21:16,21/03/2017 18:26:30,J1722-3712,4.550885665271917,-0.6492445436356896,3.0,236,311.0,311.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:26:30,21/03/2017 18:30:44,J1715-3903,4.517079364881308,-0.6815413766301635,4.0,640,incomplete,250.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GPS BIIF-5  (PRN 30)
21/03/2017 18:30:44,21/03/2017 18:34:30,J1705-3950,4.474576234272115,-0.69493677863922,2.0,318,224.0,224.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:34:30,21/03/2017 18:41:02,J1715-3903,4.517079364881308,-0.6815413766301635,2.0,640,640.0,390.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:41:02,21/03/2017 18:52:19,J1741-3927,4.63080072834018,-0.6883481607129415,3.0,512,674.0,674.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:52:19,21/03/2017 18:55:39,J1823-3106,4.816147953567742,-0.5425562025638845,15.0,284,185.0,185.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.532556479713703
21/03/2017 18:55:39,21/03/2017 19:15:15,J1852-2610,4.943606345420133,-0.45663291626768204,6.0,336,1170.0,1170.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:15:15,21/03/2017 19:22:30,J1900-2600,4.977648628870023,-0.4535732571261997,2.0,612,433.0,433.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.411803154890027
21/03/2017 19:22:30,21/03/2017 19:28:41,J1817-3618,4.786985588889814,-0.6335351259266973,14.0,387,357.0,357.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0848818763364136
21/03/2017 19:28:41,21/03/2017 19:37:12,J1822-4209,4.809207920868779,-0.7356030471734241,13.0,456,498.0,498.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:37:12,21/03/2017 19:41:19,J1941-2602,5.15311421438849,-0.45433950514919336,26.0,402,221.0,221.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8224531329031435
21/03/2017 19:41:19,21/03/2017 20:28:42,J2048-1616,5.448019126485467,-0.2836908901943311,17.0,1961,2826.0,2826.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:28:42,21/03/2017 20:32:11,J1739-2903,4.623251961159148,-0.5070011792255139,53.0,322,456.0,156.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 2.0699670391506744
21/03/2017 20:32:11,21/03/2017 20:36:12,J1548-5607,4.1396322791834494,-0.9792562467395884,159.0,170,82.0,82.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.0854458828969027
21/03/2017 20:36:12,21/03/2017 21:10:34,J1541-5535,4.109494079104115,-0.9701073277633705,2.0,2800,2060.0,2060.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3589782285745133
21/03/2017 21:10:34,21/03/2017 21:14:41,J1539-5626,4.098175618904932,-0.9848243318671315,4.0,243,243.0,243.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:14:41,21/03/2017 21:22:37,J1531-5610,4.064283506492767,-0.9800266156788715,1.0,376,475.0,475.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:22:37,21/03/2017 21:27:57,J1301-6305,3.4110831256260643,-1.1008475179618602,20.0,640,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 21:27:57,21/03/2017 21:29:46,J1047-6709,2.825126790180199,-1.171741017759797,12.0,198,97.0,97.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0400908024152056
21/03/2017 21:29:46,21/03/2017 21:47:41,J1326-5859,3.5210759567483114,-1.029312289686786,15.0,477,1060.0,1060.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:47:41,21/03/2017 21:55:33,J1522-5829,4.026057886992005,-1.0207136342386272,12.0,395,460.0,460.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:55:33,21/03/2017 22:06:07,J1306-6617,3.4323492353410936,-1.1567567164810928,16.0,473,618.0,618.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:06:07,21/03/2017 22:10:45,J1157-6224,3.129610968274852,-1.0888388285248813,9.0,400,269.0,269.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4862247863163938
21/03/2017 22:10:45,21/03/2017 22:34:38,J1028-5819,2.742203143091757,-1.0177926318099422,11.0,1045,1422.0,1422.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:34:38,21/03/2017 22:45:33,J1301-6305,3.4110831256260643,-1.1008475179618602,15.0,640,940.0,640.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:45:33,21/03/2017 22:47:04,J1224-6407,3.2479257474367653,-1.1187855756815446,4.0,216,87.0,87.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.489921801390662
21/03/2017 22:47:04,21/03/2017 22:54:22,J1123-6259,2.9841893350561106,-1.0992144715584107,6.0,432,432.0,432.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:54:22,21/03/2017 22:56:26,J1043-6116,2.809637574845167,-1.069058769705189,4.0,288,incomplete,120.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 76 [+]
21/03/2017 22:56:26,22/03/2017 00:05:07,J1055-6022,2.8615036696707863,-1.0533449886730666,1.0,5293,4120.0,4120.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
22/03/2017 00:05:07,22/03/2017 00:08:10,J1105-6107,2.9035130175457686,-1.0664378669451107,6.0,240,177.0,177.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:08:10,22/03/2017 00:19:14,J1038-5831,2.785232781358634,-1.021176728266823,3.0,661,661.0,661.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:19:14,22/03/2017 00:45:40,J1049-5833,2.8354575394668577,-1.0216740501409052,0.0,2202,1586.0,1586.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3887011009223227
22/03/2017 00:45:40,22/03/2017 00:54:59,J1016-5857,2.6893458466951095,-1.028812931595243,7.0,640,552.0,552.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1592301058398091
22/03/2017 00:54:59,22/03/2017 01:11:21,J0924-5814,2.463168628929164,-1.0163323730024403,7.0,739,975.0,975.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:11:21,22/03/2017 01:22:50,J0206-4028,0.5498709259403609,-0.70625557820798,59.0,630,630.0,630.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:22:50,22/03/2017 01:45:47,J2346-0609,6.22576790177979,-0.1070492848573911,73.0,1181,1304.0,1304.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:45:47,22/03/2017 01:48:43,J0134-2937,0.4115100222105625,-0.5168263648055116,53.0,136,423.0,123.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.1012931918983055
22/03/2017 01:48:43,22/03/2017 01:53:09,J1513-5908,3.987758818218554,-1.0320277311146804,113.0,153,453.0,153.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
