Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 21:31:14,1490214674000
Duration,  1 day, 8 hours, 31 minutes, 14 seconds,117074000
Slew time, 0 day, 0 hour, 31 minutes, 42 seconds,1902000.0
Integration time, 1 day, 2 hours, 1 minute, 32 seconds,9.3692E7
Waiting time, 0 day, 5 hours, 58 minutes, 0 second,2.148E7
Relative slew time, 0.01624613492321096
Relative integration time, 0.8002801646821668
Relative waiting time, 0.1834737003946222
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:01,J0627+0706,1.6918185479589658,0.12407981984740686,62.0,475,299.0,299.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5893363278355537
21/03/2017 13:06:01,21/03/2017 13:11:54,J0631+1036,1.708060945588286,0.1853079092620924,2.0,287,351.0,351.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:11:54,21/03/2017 13:20:02,J0659+1414,1.831732794723039,0.24852276514196478,7.0,384,481.0,481.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:20:02,21/03/2017 13:25:19,J0614+2229,1.633130761029874,0.3928736146239236,14.0,334,303.0,303.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:19,21/03/2017 13:27:26,J0543+2329,1.4973223286090653,0.40988572669405726,6.0,245,121.0,121.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0205925947142362
21/03/2017 13:27:26,21/03/2017 13:32:06,J0525+1115,1.4221850534626992,0.19644204329971776,12.0,354,268.0,268.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.321822172929449
21/03/2017 13:32:06,21/03/2017 13:38:47,J0601-0527,1.579448949277968,-0.09487532243652198,16.0,395,385.0,385.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:38:47,21/03/2017 13:43:40,J0624-0424,1.6769725591753457,-0.07654989858563074,3.0,1039,incomplete,290.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 55 [+]
21/03/2017 13:43:40,21/03/2017 13:51:05,J0452-1759,1.2765705904504334,-0.3137550713449015,25.0,548,incomplete,420.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIF-6  (PRN 06)
21/03/2017 13:51:05,21/03/2017 14:05:22,J0809-4753,2.1368567814326522,-0.8354544972328544,44.0,547,813.0,813.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:05:22,21/03/2017 14:20:06,J0842-4851,2.2780451912727337,-0.8524924983535592,3.0,644,881.0,881.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:20:06,21/03/2017 14:31:04,J0901-4624,2.363475422055248,-0.8095976382900308,4.0,640,654.0,654.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:31:04,21/03/2017 14:34:16,J0857-4424,2.3471157964778353,-0.7748761551135918,5.0,326,187.0,187.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7393003995056406
21/03/2017 14:34:16,21/03/2017 14:35:49,J0835-4510,2.2486103217937075,-0.7881379662280048,4.0,89,89.0,89.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:35:49,21/03/2017 14:52:05,J0837-4135,2.25737844216725,-0.725696412895,6.0,751,970.0,970.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:52:05,21/03/2017 15:14:26,J1034-3224,2.767765671648779,-0.5653606260890742,24.0,1150,1317.0,1317.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:14:26,21/03/2017 15:29:07,J0942-5552,2.540605251737544,-0.9748037178922785,51.0,664,830.0,830.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:29:07,21/03/2017 15:36:58,J1136-5525,3.0370307053233345,-0.9671630542779921,20.0,364,451.0,451.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:36:58,21/03/2017 15:45:34,J1328-4357,3.5260328372680796,-0.7668583064554023,58.0,532,458.0,458.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:45:34,21/03/2017 15:51:27,J1557-4258,4.175718997685893,-0.7498484245282018,24.0,329,329.0,329.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:51:27,21/03/2017 15:58:10,J1623-4256,4.29266202077779,-0.7490759224087218,3.0,364,400.0,400.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:58:10,21/03/2017 16:02:26,J1649-3805,4.406099840955266,-0.6643930319156381,5.0,262,251.0,251.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:02:26,21/03/2017 16:15:15,J1708-3426,4.489698057799603,-0.6007617210836926,3.0,692,766.0,766.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:15:15,21/03/2017 16:23:14,J1722-3207,4.54679759510938,-0.5603219575013029,2.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:23:14,21/03/2017 16:36:41,J1720-2933,4.540337113439018,-0.5156662541479846,3.0,620,804.0,804.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:36:41,21/03/2017 16:47:52,J1727-2739,4.570652973491796,-0.48258111410802657,2.0,1293,669.0,669.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9325554048504803
21/03/2017 16:47:52,21/03/2017 17:12:07,J1741-2733,4.629583288464862,-0.4805909539470719,0.0,892,1455.0,1455.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:12:07,21/03/2017 17:15:30,J1739-2903,4.623251961159148,-0.5070011792255139,5.0,322,198.0,198.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6229803398229183
21/03/2017 17:15:30,21/03/2017 17:19:23,J1806-2125,4.739993544166545,-0.37359742266300844,7.0,481,226.0,226.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1283291892908234
21/03/2017 17:19:23,21/03/2017 17:20:28,J1809-1917,4.754796626939387,-0.3363729434137372,2.0,82,63.0,63.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.309897659313156
21/03/2017 17:20:28,21/03/2017 17:23:41,J1825-1446,4.8216849160810265,-0.2574719408815657,5.0,279,188.0,188.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4856153879498002
21/03/2017 17:23:41,21/03/2017 17:24:56,J1828-1101,4.835932765985578,-0.19203033576435724,3.0,72,72.0,72.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:24:56,21/03/2017 17:43:00,J1825-0935,4.823699462370141,-0.1671526065319025,1.0,769,1083.0,1083.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:43:00,21/03/2017 17:48:44,J1842-0905,4.897258472634954,-0.15841480955726533,0.0,344,344.0,344.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:48:44,21/03/2017 17:54:58,J1833-0827,4.8593093423765295,-0.14732881751817412,2.0,85,372.0,372.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:54:58,21/03/2017 18:14:02,J1832-0827,4.854707490915438,-0.14746267457552845,1.0,647,1143.0,1143.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:14:02,21/03/2017 18:18:08,J1835-0643,4.86550969726629,-0.1171969200166948,4.0,305,242.0,242.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:18:08,21/03/2017 18:23:04,J1841-0425,4.891697053695527,-0.07699083662859986,1.0,186,295.0,295.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:23:04,21/03/2017 18:27:00,J1845-0434,4.911262630942696,-0.07955889469743707,0.0,486,236.0,236.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.055545034922556
21/03/2017 18:27:00,21/03/2017 18:31:16,J1844-0538,4.904746662346532,-0.09815445673144253,1.0,255,255.0,255.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:31:16,21/03/2017 18:36:23,J1837-0559,4.87555275811458,-0.10429166463924004,2.0,542,305.0,305.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7799634422052337
21/03/2017 18:36:23,21/03/2017 18:45:43,J1820-0427,4.803481131982726,-0.07748234073850871,5.0,598,555.0,555.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:45:43,21/03/2017 18:47:15,J1807-0847,4.745697672861144,-0.15308830708701918,7.0,163,85.0,85.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9078477552057225
21/03/2017 18:47:15,21/03/2017 18:51:47,J1829-1751,4.842062362318582,-0.3115223637474246,15.0,307,257.0,257.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:51:47,21/03/2017 18:54:43,J1824-1945,4.8171418603991105,-0.34445187859574644,3.0,189,173.0,173.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0931925374523437
21/03/2017 18:54:43,21/03/2017 18:59:57,J1749-3002,4.665373446438571,-0.524010867227242,11.0,609,303.0,303.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.010028203503947
21/03/2017 18:59:57,21/03/2017 19:01:58,J1745-3040,4.651033748582133,-0.535120372729867,1.0,367,incomplete,120.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite BEIDOU M3
21/03/2017 19:01:58,21/03/2017 19:47:13,J1741-3016,4.62999780416221,-0.5281026946958064,1.0,1893,2714.0,2714.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:47:13,21/03/2017 20:37:41,J1743-3150,4.640880295658656,-0.5554912739827275,9.0,2414,3019.0,3019.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:37:41,21/03/2017 20:45:00,J1738-3211,4.62033631592164,-0.5614452708004336,19.0,768,incomplete,420.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite COSMOS 2432 (719)
21/03/2017 20:45:00,21/03/2017 21:05:19,J1913-0440,5.034851176966692,-0.08121753926324903,34.0,825,1185.0,1185.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:05:19,21/03/2017 21:07:18,J1803-2137,4.72921762683755,-0.37724636798574257,35.0,133,384.0,84.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.5861319006798922
21/03/2017 21:07:18,21/03/2017 21:40:24,J1652-2404,4.419938702038434,-0.4195044301272704,70.0,1703,1916.0,1916.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:40:24,21/03/2017 21:49:07,J1555-3134,4.1682790954169535,-0.5508448196629737,36.0,518,487.0,487.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:49:07,21/03/2017 22:18:38,J1701-3726,4.456301182562691,-0.6532137132429333,12.0,2454,1759.0,1759.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 22:18:38,21/03/2017 22:21:35,J1723-3659,4.551497257730635,-0.645413545927562,1.0,202,176.0,176.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:21:35,21/03/2017 22:30:56,J1718-3718,4.529856629446949,-0.6507508597428968,1.0,4182,incomplete,560.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite COSMOS 2443 (725)
21/03/2017 22:30:56,21/03/2017 22:32:05,J1718-3825,4.530115883562922,-0.6704097636236798,2.0,80,67.0,67.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:32:05,21/03/2017 22:37:52,J1715-3903,4.517079364881308,-0.6815413766301635,1.0,640,346.0,346.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8476628031138314
21/03/2017 22:37:52,21/03/2017 22:41:22,J1716-4005,4.523461452179434,-0.6994552421471609,2.0,311,208.0,208.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4953878915467094
21/03/2017 22:41:22,21/03/2017 22:45:53,J1705-3950,4.474576234272115,-0.69493677863922,2.0,318,269.0,269.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:45:53,21/03/2017 22:52:06,J1707-4053,4.482712959244913,-0.7132767953819126,2.0,581,371.0,371.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5651521469151308
21/03/2017 22:52:06,21/03/2017 23:02:21,J1653-4249,4.422971211613773,-0.7472758092107622,3.0,612,612.0,612.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:02:21,21/03/2017 23:05:00,J1646-4346,4.393233710041876,-0.7636882067573633,3.0,231,156.0,156.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4833736748734365
21/03/2017 23:05:00,21/03/2017 23:14:21,J1633-4453,4.33620129518625,-0.7833241304696617,2.0,436,559.0,559.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:14:21,21/03/2017 23:44:47,J1643-4505,4.379101633644374,-0.7866295901474666,0.0,1728,1826.0,1826.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 23:44:47,21/03/2017 23:47:18,J1701-4533,4.457073054424386,-0.7947613700207168,2.0,322,149.0,149.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1625361202451847
21/03/2017 23:47:18,21/03/2017 23:51:50,J1648-4611,4.399831054614415,-0.8059736560237369,2.0,402,270.0,270.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4884997115379384
21/03/2017 23:51:50,22/03/2017 00:08:08,J1649-4653,4.4043747284337735,-0.818224897745375,1.0,1410,977.0,977.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4434027049715727
22/03/2017 00:08:08,22/03/2017 00:13:12,J1707-4729,4.482263464240472,-0.8285732457686581,0.0,266,304.0,304.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 00:13:12,22/03/2017 00:36:29,J1703-4851,4.467635641613352,-0.8523228135651708,1.0,1396,1396.0,1396.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:36:29,22/03/2017 00:47:25,J1731-4744,4.588914426177464,-0.8329362780104352,1.0,829,655.0,655.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:47:25,22/03/2017 00:59:48,J1751-4657,4.676190342643962,-0.8193118500184227,1.0,742,742.0,742.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:59:48,22/03/2017 01:06:21,J1822-4209,4.809207920868779,-0.7356030471734241,7.0,456,386.0,386.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 01:06:21,22/03/2017 01:12:55,J1817-3618,4.786985588889814,-0.6335351259266973,7.0,387,387.0,387.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:12:55,22/03/2017 01:17:46,J1823-3106,4.816147953567742,-0.5425562025638845,7.0,284,284.0,284.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:17:46,22/03/2017 01:23:39,J1852-2610,4.943606345420133,-0.45663291626768204,9.0,336,344.0,344.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:23:39,22/03/2017 01:27:58,J1900-2600,4.977648628870023,-0.4535732571261997,0.0,612,259.0,259.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.360943593872411
22/03/2017 01:27:58,22/03/2017 01:32:07,J1941-2602,5.15311421438849,-0.45433950514919336,7.0,402,242.0,242.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6598133551987104
22/03/2017 01:32:07,22/03/2017 02:08:58,J2048-1616,5.448019126485467,-0.2836908901943311,31.0,1961,2180.0,2180.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:08:58,22/03/2017 02:23:58,J1531-5610,4.064283506492767,-0.9800266156788715,89.0,376,811.0,811.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 02:23:58,22/03/2017 02:26:19,J1539-5626,4.098175618904932,-0.9848243318671315,0.0,243,141.0,141.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7203831093111135
22/03/2017 02:26:19,22/03/2017 02:31:36,J1123-6259,2.9841893350561106,-1.0992144715584107,30.0,432,287.0,287.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5047969308997986
22/03/2017 02:31:36,22/03/2017 02:38:24,J1119-6127,2.963736330606354,-1.0722648425783663,1.0,407,407.0,407.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:38:24,22/03/2017 02:43:04,J1456-6843,3.9095490145515406,-1.1991417949589347,17.0,263,263.0,263.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:43:04,22/03/2017 03:45:56,J1156-5707,3.1246811403584895,-0.9968646796374868,18.0,3754,3754.0,3754.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 03:45:56,22/03/2017 03:50:08,J1413-6141,3.7226323965327905,-1.0765142344932912,8.0,364,244.0,244.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 03:50:08,22/03/2017 03:51:38,J1112-6103,2.933230156943058,-1.065372731287713,21.0,69,69.0,69.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
