Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 21:45:25,1490215525000
Duration,  1 day, 8 hours, 45 minutes, 25 seconds,117925000
Slew time, 0 day, 0 hour, 24 minutes, 11 seconds,1451000.0
Integration time, 1 day, 8 hours, 21 minutes, 14 seconds,1.16474E8
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.012304430782276872
Relative integration time, 0.9876955692177232
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:56,J0627+0706,1.6918185479589658,0.12407981984740686,62.0,475,294.0,294.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6132028853567935
21/03/2017 13:05:56,21/03/2017 13:28:19,J0631+1036,1.708060945588286,0.1853079092620924,2.0,287,1341.0,1341.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:28:19,21/03/2017 13:35:23,J0659+1414,1.831732794723039,0.24852276514196478,3.0,384,421.0,421.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:35:23,21/03/2017 13:42:19,J0614+2229,1.633130761029874,0.3928736146239236,14.0,334,402.0,402.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:42:19,21/03/2017 13:43:44,J0543+2329,1.4973223286090653,0.40988572669405726,7.0,245,incomplete,78.0,0,600,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 13:43:44,21/03/2017 13:49:35,J0525+1115,1.4221850534626992,0.19644204329971776,12.0,354,339.0,339.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0427518622949246
21/03/2017 13:49:35,21/03/2017 13:57:51,J0601-0527,1.579448949277968,-0.09487532243652198,15.0,395,481.0,481.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:57:51,21/03/2017 14:23:20,J0624-0424,1.6769725591753457,-0.07654989858563074,3.0,1039,1526.0,1526.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:23:20,21/03/2017 14:36:15,J0452-1759,1.2765705904504334,-0.3137550713449015,27.0,548,748.0,748.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:36:15,21/03/2017 14:41:39,J0255-5304,0.767670054242368,-0.9260845001893726,43.0,447,281.0,281.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:41:39,21/03/2017 14:53:01,J0809-4753,2.1368567814326522,-0.8354544972328544,42.0,547,640.0,640.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:53:01,21/03/2017 15:05:32,J0842-4851,2.2780451912727337,-0.8524924983535592,3.0,644,748.0,748.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:05:32,21/03/2017 15:08:38,J0908-4913,2.3936848897457046,-0.8589613673006038,2.0,106,184.0,184.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:08:38,21/03/2017 15:16:54,J0907-5157,2.3878940327316918,-0.9064112943049969,4.0,253,492.0,492.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:16:54,21/03/2017 15:41:55,J0954-5430,2.5922531804066646,-0.950945067017516,8.0,1045,1493.0,1493.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:41:55,21/03/2017 16:01:01,J1001-5507,2.6251191846627617,-0.961934823540907,2.0,1436,1144.0,1144.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.255673891747816
21/03/2017 16:01:01,21/03/2017 16:02:47,J0835-4510,2.2486103217937075,-0.7881379662280048,17.0,89,89.0,89.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:02:47,21/03/2017 16:26:51,J0837-4135,2.25737844216725,-0.725696412895,4.0,751,1440.0,1440.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:26:51,21/03/2017 16:28:19,J1034-3224,2.767765671648779,-0.5653606260890742,18.0,1150,incomplete,70.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0207 (PRN E07)
21/03/2017 16:28:19,21/03/2017 16:34:53,J1559-4438,4.187446746757646,-0.778776084707186,137.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
