Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 04:02:44,1490151764000
Duration,  0 day, 15 hours, 2 minutes, 44 seconds,54164000
Slew time, 0 day, 0 hour, 18 minutes, 0 second,1080000.0
Integration time, 0 day, 14 hours, 44 minutes, 44 seconds,5.3084E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.01993944317258696
Relative integration time, 0.980060556827413
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:44,J0659+1414,1.831732794723039,0.24852276514196478,62.0,384,402.0,402.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:07:44,21/03/2017 13:13:57,J0614+2229,1.633130761029874,0.3928736146239236,14.0,334,359.0,359.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:13:57,21/03/2017 13:16:32,J0543+2329,1.4973223286090653,0.40988572669405726,7.0,245,148.0,148.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6509044460752125
21/03/2017 13:16:32,21/03/2017 13:20:01,J0525+1115,1.4221850534626992,0.19644204329971776,12.0,354,197.0,197.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7970055128283886
21/03/2017 13:20:01,21/03/2017 13:26:26,J0452-1759,1.2765705904504334,-0.3137550713449015,30.0,548,355.0,355.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:26:26,21/03/2017 14:17:29,J0343-3000,0.9750529121243688,-0.5234654518359938,19.0,2597,incomplete,3044.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:17:29,21/03/2017 14:22:37,J0809-4753,2.1368567814326522,-0.8354544972328544,43.0,547,265.0,265.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:22:37,21/03/2017 14:23:38,J0835-4510,2.2486103217937075,-0.7881379662280048,3.0,89,58.0,58.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5314065261741057
21/03/2017 14:23:38,21/03/2017 14:26:02,J0857-4424,2.3471157964778353,-0.7748761551135918,3.0,326,141.0,141.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3088198644976154
21/03/2017 14:26:02,21/03/2017 14:27:53,J0908-4913,2.3936848897457046,-0.8589613673006038,10.0,106,101.0,101.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:27:53,21/03/2017 14:33:29,J0940-5428,2.5349612932689074,-0.9504258315650477,14.0,311,322.0,322.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:33:29,21/03/2017 14:46:21,J0942-5552,2.540605251737544,-0.9748037178922785,1.0,664,771.0,771.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:46:21,21/03/2017 15:18:42,J1034-3224,2.767765671648779,-0.5653606260890742,58.0,1150,1883.0,1883.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:18:42,21/03/2017 15:26:27,J1549-4848,4.142332012648075,-0.8515391607310254,140.0,613,325.0,325.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8850231167169356
21/03/2017 15:26:27,21/03/2017 15:31:35,J1623-4256,4.29266202077779,-0.7490759224087218,7.0,364,301.0,301.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:31:35,21/03/2017 15:36:40,J1653-3838,4.4229405229077585,-0.6741780264414718,5.0,305,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:36:40,21/03/2017 15:47:47,J1708-3426,4.489698057799603,-0.6007617210836926,4.0,692,663.0,663.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:47:47,21/03/2017 15:55:19,J1722-3207,4.54679759510938,-0.5603219575013029,2.0,477,450.0,450.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0588648179863807
21/03/2017 15:55:19,21/03/2017 15:58:31,J1739-2903,4.623251961159148,-0.5070011792255139,3.0,322,189.0,189.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.703283305030863
21/03/2017 15:58:31,21/03/2017 16:20:07,J1727-2739,4.570652973491796,-0.48258111410802657,3.0,1293,1293.0,1293.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:20:07,21/03/2017 16:28:14,J1806-2125,4.739993544166545,-0.37359742266300844,6.0,481,481.0,481.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:28:14,21/03/2017 16:30:50,J1825-1446,4.8216849160810265,-0.2574719408815657,5.0,279,151.0,151.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8421246680717562
21/03/2017 16:30:50,21/03/2017 16:36:48,J1830-1059,4.846747771417612,-0.19156006649368096,2.0,405,356.0,356.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1390687560087247
21/03/2017 16:36:48,21/03/2017 16:39:08,J1835-1106,4.866435158102161,-0.19365834010552305,0.0,165,140.0,140.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1814885404356537
21/03/2017 16:39:08,21/03/2017 16:40:37,J1833-0827,4.8593093423765295,-0.14732881751817412,2.0,85,87.0,87.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:40:37,21/03/2017 16:52:10,J1832-0827,4.854707490915438,-0.14746267457552845,0.0,647,693.0,693.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:52:10,21/03/2017 16:57:54,J1842-0905,4.897258472634954,-0.15841480955726533,0.0,344,344.0,344.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:57:54,21/03/2017 17:02:06,J1835-0643,4.86550969726629,-0.1171969200166948,3.0,305,249.0,249.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:02:06,21/03/2017 17:04:43,J1841-0425,4.891697053695527,-0.07699083662859986,1.0,186,156.0,156.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:04:43,21/03/2017 17:06:12,J1841-0345,4.8940981176919065,-0.06611598094763187,0.0,204,89.0,89.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.287278112377702
21/03/2017 17:06:12,21/03/2017 17:16:30,J1847-0402,4.919125986449196,-0.07032615143575517,0.0,597,618.0,618.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:16:30,21/03/2017 17:18:53,J1853-0004,4.945319022470706,0.0013201476536612666,4.0,179,139.0,139.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:18:53,21/03/2017 17:20:07,J1807-0847,4.745697672861144,-0.15308830708701918,14.0,163,60.0,60.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.7389006555278175
21/03/2017 17:20:07,21/03/2017 17:35:15,J1733-2228,4.596501299713831,-0.39193792421938217,14.0,871,894.0,894.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:35:15,21/03/2017 18:00:15,J1652-2404,4.419938702038434,-0.4195044301272704,12.0,1703,1488.0,1488.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:00:15,21/03/2017 18:15:23,J1750-3157,4.6721968111492425,-0.557418893178819,16.0,910,892.0,892.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:15:23,21/03/2017 18:20:12,J1721-3532,4.544603061741155,-0.6199331932894881,9.0,280,280.0,280.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:20:12,21/03/2017 19:29:57,J1718-3718,4.529856629446949,-0.6507508597428968,3.0,4182,4182.0,4182.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:29:57,21/03/2017 19:33:10,J1723-3659,4.551497257730635,-0.645413545927562,12.0,202,181.0,181.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:33:10,21/03/2017 19:38:23,J1718-3825,4.530115883562922,-0.6704097636236798,8.0,80,305.0,305.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:38:23,21/03/2017 19:43:43,J1716-4005,4.523461452179434,-0.6994552421471609,9.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:43:43,21/03/2017 19:46:38,J1702-4128,4.463135601025293,-0.7234961829660205,18.0,182,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:46:38,21/03/2017 19:53:48,J1653-4249,4.422971211613773,-0.7472758092107622,14.0,612,416.0,416.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.470816557383982
21/03/2017 19:53:48,21/03/2017 20:08:43,J1650-4502,4.409305283570657,-0.7857991043117258,11.0,1106,884.0,884.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2508099877736034
21/03/2017 20:08:43,21/03/2017 20:30:23,J1649-4653,4.4043747284337735,-0.818224897745375,12.0,1410,1288.0,1288.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0949641093066504
21/03/2017 20:30:23,21/03/2017 20:36:31,J1633-5015,4.3327873584472965,-0.8769886792189808,16.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:36:31,21/03/2017 20:43:52,J1644-4559,4.384360237958581,-0.8025145104090204,5.0,455,436.0,436.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:43:52,21/03/2017 20:58:45,J1632-4818,4.331306519299032,-0.8427390167169976,3.0,890,890.0,890.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:58:45,21/03/2017 21:02:15,J1614-5048,4.250697760575152,-0.8866102915342805,5.0,231,205.0,205.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:02:15,21/03/2017 21:03:23,J1611-5209,4.237019469783167,-0.910074788886301,1.0,182,67.0,67.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.6997749786074383
21/03/2017 21:03:23,21/03/2017 21:15:37,J1605-5257,4.211792189886633,-0.9239870022794202,1.0,658,733.0,733.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:15:37,21/03/2017 21:16:51,J1544-5308,4.123329013196465,-0.9271261708646045,4.0,178,70.0,70.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.5583980306978162
21/03/2017 21:16:51,21/03/2017 22:01:03,J1534-5334,4.075952486983392,-0.934821133611175,1.0,1368,2651.0,2651.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 22:01:03,21/03/2017 22:03:10,J1548-5607,4.1396322791834494,-0.9792562467395884,4.0,170,123.0,123.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.3819585103844296
21/03/2017 22:03:10,21/03/2017 22:43:18,J1541-5535,4.109494079104115,-0.9701073277633705,1.0,2800,2407.0,2407.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1631775904030535
