Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 02:17:40,1490145460000
Duration,  0 day, 13 hours, 17 minutes, 40 seconds,47860000
Slew time, 0 day, 0 hour, 16 minutes, 16 seconds,976000.0
Integration time, 0 day, 13 hours, 1 minute, 24 seconds,4.6884E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.020392812369410783
Relative integration time, 0.9796071876305892
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:12,J0627+0706,1.6918185479589658,0.12407981984740686,62.0,475,incomplete,250.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 13:05:12,21/03/2017 13:28:06,J0624-0424,1.6769725591753457,-0.07654989858563074,11.0,1039,1363.0,1363.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:28:06,21/03/2017 13:35:50,J0601-0527,1.579448949277968,-0.09487532243652198,8.0,395,456.0,456.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:50,21/03/2017 13:48:54,J0452-1759,1.2765705904504334,-0.3137550713449015,21.0,548,763.0,763.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:48:54,21/03/2017 14:17:25,J0343-3000,0.9750529121243688,-0.5234654518359938,20.0,2597,incomplete,1691.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 14:17:25,21/03/2017 14:33:39,J0809-4753,2.1368567814326522,-0.8354544972328544,48.0,547,926.0,926.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:33:39,21/03/2017 14:44:43,J0842-4851,2.2780451912727337,-0.8524924983535592,2.0,644,662.0,662.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:44:43,21/03/2017 14:48:27,J0908-4913,2.3936848897457046,-0.8589613673006038,2.0,106,222.0,222.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:48:27,21/03/2017 15:09:00,J0954-5430,2.5922531804066646,-0.950945067017516,15.0,1045,1218.0,1218.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:09:00,21/03/2017 15:34:03,J1034-3224,2.767765671648779,-0.5653606260890742,53.0,1150,1450.0,1450.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:34:03,21/03/2017 15:40:43,J1559-4438,4.187446746757646,-0.778776084707186,143.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:40:43,21/03/2017 15:45:50,J1613-4714,4.247624526650597,-0.8242521014289287,3.0,382,304.0,304.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:45:50,21/03/2017 16:39:47,J1701-3726,4.456301182562691,-0.6532137132429333,11.0,2454,3226.0,3226.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:39:47,21/03/2017 16:50:49,J1717-3425,4.5262382710193565,-0.600104313732108,6.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:50:49,21/03/2017 16:54:35,J1730-3350,4.5838570437816015,-0.5903120470010577,0.0,139,226.0,226.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:54:35,21/03/2017 17:03:26,J1739-3131,4.62252663141084,-0.5499954260936698,2.0,529,529.0,529.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:03:26,21/03/2017 17:13:36,J1749-3002,4.665373446438571,-0.524010867227242,1.0,609,609.0,609.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:13:36,21/03/2017 17:53:53,J1741-3016,4.62999780416221,-0.5281026946958064,3.0,1893,2414.0,2414.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:53:53,21/03/2017 18:11:12,J1741-2733,4.629583288464862,-0.4805909539470719,8.0,892,1031.0,1031.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:11:12,21/03/2017 18:13:32,J1803-2137,4.72921762683755,-0.37724636798574257,7.0,133,133.0,133.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:13:32,21/03/2017 18:21:33,J1806-2125,4.739993544166545,-0.37359742266300844,0.0,481,481.0,481.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:21:33,21/03/2017 18:26:37,J1801-2451,4.71675346706751,-0.4335809953582858,4.0,187,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:26:37,21/03/2017 18:31:35,J1829-1751,4.842062362318582,-0.3115223637474246,8.0,307,290.0,290.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:31:35,21/03/2017 18:34:47,J1830-1059,4.846747771417612,-0.19156006649368096,8.0,405,184.0,184.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.205810564057666
21/03/2017 18:34:47,21/03/2017 18:50:25,J1832-0827,4.854707490915438,-0.14746267457552845,2.0,647,936.0,936.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
