Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 12:14:44,1490181284000
Duration,  0 day, 23 hours, 14 minutes, 44 seconds,83684000
Slew time, 0 day, 0 hour, 20 minutes, 48 seconds,1248000.0
Integration time, 0 day, 17 hours, 0 minute, 56 seconds,6.1256E7
Waiting time, 0 day, 5 hours, 53 minutes, 0 second,2.118E7
Relative slew time, 0.014913245064767459
Relative integration time, 0.7319917785956694
Relative waiting time, 0.2530949763395631
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:41:02,J0820-1350,2.1835800963565513,-0.24116640111841794,52.0,1238,2410.0,2410.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:02,21/03/2017 13:45:49,J0729-1448,1.9603283631217727,-0.2581303178605125,25.0,276,262.0,262.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:49,21/03/2017 13:50:59,J0729-1836,1.9614847164732712,-0.324423983022271,5.0,510,305.0,305.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6712638239352584
21/03/2017 13:50:59,21/03/2017 13:53:51,J0742-2822,2.0194228844886313,-0.4948795766822046,12.0,166,160.0,160.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:53:51,21/03/2017 14:06:12,J0630-2834,1.705288809539468,-0.49837499212955094,15.0,1244,726.0,726.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:06:12,21/03/2017 14:10:14,J0738-4042,2.0007530247579957,-0.710150522840646,13.0,374,229.0,229.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.636018996176078
21/03/2017 14:10:14,21/03/2017 14:11:16,J0820-3826,2.1860199430233505,-0.6705803210766942,7.0,124,55.0,55.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.2510801075631903
21/03/2017 14:11:16,21/03/2017 14:20:08,J0820-4114,2.1827851206988833,-0.7194809560590714,5.0,545,527.0,527.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.034033303641041
21/03/2017 14:20:08,21/03/2017 16:27:56,J0834-4159,2.243933458263026,-0.7325001426515868,1.0,3754,7667.0,7667.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:27:56,21/03/2017 17:04:34,J0905-5127,2.3817869802348595,-0.8977357474070141,16.0,346,2182.0,2182.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:04:34,21/03/2017 17:11:54,J0940-5428,2.5349612932689074,-0.9504258315650477,4.0,311,436.0,436.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:11:54,21/03/2017 17:30:52,J0954-5430,2.5922531804066646,-0.950945067017516,0.0,1045,1138.0,1138.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:30:52,21/03/2017 17:40:14,J1001-5507,2.6251191846627617,-0.961934823540907,1.0,1436,561.0,561.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.558313878067702
21/03/2017 17:40:14,21/03/2017 17:42:47,J1015-5719,2.6862042540415194,-1.0003024934502345,2.0,167,151.0,151.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1042154328078617
21/03/2017 17:42:47,21/03/2017 17:45:46,J1019-5749,2.7046887452611825,-1.0090625918542027,0.0,211,179.0,179.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1776806832901652
21/03/2017 17:45:46,21/03/2017 17:52:26,J1016-5819,2.6886869849024815,-1.0178122667640273,0.0,1410,incomplete,400.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2501 (702K)
