Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 21:58:29,1490129909000
Duration,  0 day, 8 hours, 58 minutes, 29 seconds,32309000
Slew time, 0 day, 0 hour, 10 minutes, 30 seconds,630000.0
Integration time, 0 day, 8 hours, 47 minutes, 59 seconds,3.1679E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.0194992107462317
Relative integration time, 0.9805007892537683
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:23:55,J0624-0424,1.6769725591753457,-0.07654989858563074,70.0,1039,1365.0,1365.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:23:55,21/03/2017 13:31:07,J0452-1759,1.2765705904504334,-0.3137550713449015,29.0,548,403.0,403.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:31:07,21/03/2017 14:07:51,J0809-4753,2.1368567814326522,-0.8354544972328544,43.0,547,2161.0,2161.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:07:51,21/03/2017 14:16:23,J0842-4851,2.2780451912727337,-0.8524924983535592,1.0,644,511.0,511.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:16:23,21/03/2017 14:21:34,J0907-5157,2.3878940327316918,-0.9064112943049969,8.0,253,303.0,303.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:21:34,21/03/2017 14:35:24,J1001-5507,2.6251191846627617,-0.961934823540907,15.0,1436,815.0,815.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7616775639425972
21/03/2017 14:35:24,21/03/2017 14:47:51,J1028-5819,2.742203143091757,-1.0177926318099422,7.0,1045,incomplete,740.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2425 (716)
21/03/2017 14:47:51,21/03/2017 14:48:33,J1112-6103,2.933230156943058,-1.065372731287713,9.0,69,33.0,33.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0719071980136987
21/03/2017 14:48:33,21/03/2017 14:54:59,J1136-5525,3.0370307053233345,-0.9671630542779921,5.0,364,381.0,381.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:54:59,21/03/2017 15:02:30,J1326-6700,3.5170711533355066,-1.1691233438588349,17.0,543,434.0,434.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:30,21/03/2017 15:05:49,J1327-6301,3.521744999628243,-1.0997737041395705,3.0,196,196.0,196.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:05:49,21/03/2017 15:10:23,J1341-6220,3.5853884308022166,-1.0878215439778092,2.0,193,272.0,272.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:10:23,21/03/2017 15:15:27,J1359-6038,3.6650619839352356,-1.0582125180314064,4.0,127,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:15:27,21/03/2017 15:23:02,J1435-5954,3.8179339186763754,-1.0452136936134975,4.0,472,451.0,451.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:23:02,21/03/2017 15:25:15,J1512-5759,3.9824796335635835,-1.011710159366742,5.0,128,128.0,128.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:25:15,21/03/2017 15:32:35,J1531-5610,4.064283506492767,-0.9800266156788715,3.0,376,437.0,437.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:32:35,21/03/2017 15:37:26,J1534-5405,4.07778653713903,-0.9437397660888661,2.0,289,289.0,289.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:37:26,21/03/2017 15:50:52,J1602-5100,4.198884025627092,-0.8901082222434858,5.0,864,801.0,801.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:50:52,21/03/2017 16:05:45,J1632-4818,4.331306519299032,-0.8427390167169976,3.0,890,890.0,890.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:05:45,21/03/2017 16:26:22,J1649-4653,4.4043747284337735,-0.818224897745375,1.0,1410,1236.0,1236.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.140668360645173
21/03/2017 16:26:22,21/03/2017 16:30:30,J1707-4729,4.482263464240472,-0.8285732457686581,0.0,266,248.0,248.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:30:30,21/03/2017 16:37:15,J1648-4611,4.399831054614415,-0.8059736560237369,3.0,402,402.0,402.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:37:15,21/03/2017 17:38:05,J1638-4417,4.357957769699036,-0.7728725171323023,2.0,3073,3648.0,3648.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 17:38:05,21/03/2017 17:39:13,J1709-4429,4.49296676860038,-0.7763406802814875,5.0,102,63.0,63.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:39:13,21/03/2017 17:41:58,J1702-4128,4.463135601025293,-0.7234961829660205,5.0,182,160.0,160.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:41:58,21/03/2017 17:44:37,J1719-4006,4.533617959429102,-0.699588565909466,2.0,189,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:44:37,21/03/2017 18:54:24,J1718-3718,4.529856629446949,-0.6507508597428968,5.0,4182,4182.0,4182.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:54:24,21/03/2017 19:04:46,J1750-3157,4.6721968111492425,-0.557418893178819,12.0,910,incomplete,610.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU M3
