Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 04:03:11,1490151791000
Duration,  0 day, 15 hours, 3 minutes, 11 seconds,54191000
Slew time, 0 day, 0 hour, 40 minutes, 2 seconds,2402000.0
Integration time, 0 day, 12 hours, 43 minutes, 9 seconds,4.5789E7
Waiting time, 0 day, 1 hour, 40 minutes, 0 second,6000000.0
Relative slew time, 0.04432470336402724
Relative integration time, 0.8449558044693768
Relative waiting time, 0.11071949216659593
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:29,J0729-1448,1.9603283631217727,-0.2581303178605125,68.0,276,321.0,321.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:06:29,21/03/2017 13:23:45,J0624-0424,1.6769725591753457,-0.07654989858563074,20.0,1039,1016.0,1016.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:23:45,21/03/2017 13:25:57,J0835-4510,2.2486103217937075,-0.7881379662280048,58.0,89,74.0,74.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1965940396162513
21/03/2017 13:25:57,21/03/2017 13:36:59,J0842-4851,2.2780451912727337,-0.8524924983535592,9.0,644,653.0,653.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:59,21/03/2017 13:43:55,J1136-5525,3.0370307053233345,-0.9671630542779921,63.0,364,353.0,353.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:43:55,21/03/2017 13:50:27,J1356-5521,3.651414818181579,-0.9659769091257897,18.0,507,374.0,374.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:50:27,21/03/2017 14:04:40,J1733-2228,4.596501299713831,-0.39193792421938217,46.0,871,807.0,807.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:04:40,21/03/2017 14:26:00,J1727-2739,4.570652973491796,-0.48258111410802657,6.0,1293,1274.0,1274.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0150754310305716
21/03/2017 14:26:00,21/03/2017 14:30:35,J1649-3805,4.406099840955266,-0.6643930319156381,15.0,262,260.0,260.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:30:35,21/03/2017 14:41:07,J1623-4256,4.29266202077779,-0.7490759224087218,7.0,364,625.0,625.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:41:07,21/03/2017 14:44:28,J1557-4258,4.175718997685893,-0.7498484245282018,6.0,329,195.0,195.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6872042180479312
21/03/2017 14:44:28,21/03/2017 14:48:35,J1721-3532,4.544603061741155,-0.6199331932894881,17.0,280,230.0,230.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2195984837723126
21/03/2017 14:48:35,21/03/2017 15:06:26,J1418-3921,3.7473879284769214,-0.6866973216473953,36.0,1096,1035.0,1035.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0593955534253383
21/03/2017 15:06:26,21/03/2017 15:13:31,J1633-4453,4.33620129518625,-0.7833241304696617,20.0,436,405.0,405.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:13:31,21/03/2017 15:46:37,J1638-4417,4.357957769699036,-0.7728725171323023,0.0,3073,1986.0,1986.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:46:37,21/03/2017 16:01:36,J1708-3426,4.489698057799603,-0.6007617210836926,11.0,692,888.0,888.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:01:36,21/03/2017 16:06:44,J1705-3423,4.475486932531396,-0.5998833841376264,3.0,255,305.0,305.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:06:44,21/03/2017 16:20:19,J1825-0935,4.823699462370141,-0.1671526065319025,26.0,769,789.0,789.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:20:19,21/03/2017 16:21:54,J1807-0847,4.745697672861144,-0.15308830708701918,6.0,163,89.0,89.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8382015732673664
21/03/2017 16:21:54,21/03/2017 16:24:27,J1825-1446,4.8216849160810265,-0.2574719408815657,7.0,279,146.0,146.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9174321261358533
21/03/2017 16:24:27,21/03/2017 16:25:36,J1833-0827,4.8593093423765295,-0.14732881751817412,4.0,85,65.0,65.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:25:36,21/03/2017 17:42:49,J1843-0702,4.901643830546746,-0.1224901157870487,2.0,4689,4631.0,4631.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 17:42:49,21/03/2017 18:01:10,J1852-0635,4.943454574497262,-0.1146244986247276,13.0,524,1088.0,1088.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:01:10,21/03/2017 18:04:24,J1844-0538,4.904746662346532,-0.09815445673144253,5.0,255,189.0,189.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3519433580041988
21/03/2017 18:04:24,21/03/2017 18:12:10,J1845-0434,4.911262630942696,-0.07955889469743707,1.0,486,465.0,465.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0454613752897663
21/03/2017 18:12:10,21/03/2017 18:28:10,J1913-0440,5.034851176966692,-0.08121753926324903,4.0,825,956.0,956.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:28:10,21/03/2017 18:41:33,J1738-3211,4.62033631592164,-0.5614452708004336,35.0,768,768.0,768.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:41:33,21/03/2017 18:44:02,J1730-3350,4.5838570437816015,-0.5903120470010577,4.0,139,145.0,145.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:44:02,21/03/2017 18:52:55,J1739-3131,4.62252663141084,-0.5499954260936698,4.0,529,529.0,529.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:52:55,21/03/2017 19:00:46,J1743-3150,4.640880295658656,-0.5554912739827275,1.0,2414,incomplete,470.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 98 [+]
21/03/2017 19:00:46,21/03/2017 19:24:51,J1638-4608,4.356267636484636,-0.8051223231997087,53.0,1244,1392.0,1392.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:24:51,21/03/2017 19:45:32,J1750-3157,4.6721968111492425,-0.557418893178819,55.0,910,1186.0,1186.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:45:32,21/03/2017 19:50:54,J1702-4310,4.461275370930876,-0.753206534971775,61.0,261,261.0,261.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:50:54,21/03/2017 20:34:47,J1743-3150,4.640880295658656,-0.5554912739827275,66.0,2414,3037.0,2567.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 20:34:47,21/03/2017 20:41:35,J1817-3618,4.786985588889814,-0.6335351259266973,21.0,387,387.0,387.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:41:35,21/03/2017 20:43:05,J1739-3023,4.62365353233121,-0.5302310267558773,80.0,135,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2432 (719)
21/03/2017 20:43:05,21/03/2017 20:46:32,J1745-3040,4.651033748582133,-0.535120372729867,17.0,367,300.0,190.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.2667082737558397
21/03/2017 20:46:32,21/03/2017 20:52:48,J1739-3023,4.62365353233121,-0.5302310267558773,38.0,135,348.0,338.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 20:52:48,21/03/2017 21:03:21,J1722-3632,4.547296613831346,-0.6373685477032304,139.0,399,494.0,494.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:03:21,21/03/2017 21:06:58,J1015-5719,2.6862042540415194,-1.0003024934502345,68.0,167,149.0,149.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.1217490914053425
21/03/2017 21:06:58,21/03/2017 21:11:30,J0401-7608,1.0553191499825445,-1.3287104328970232,37.0,545,235.0,235.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3186392550720623
21/03/2017 21:11:30,21/03/2017 21:54:19,J1156-5707,3.1246811403584895,-0.9968646796374868,44.0,3754,2525.0,2525.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.486820058506662
21/03/2017 21:54:19,21/03/2017 22:03:14,J0904-7459,2.3744331808756853,-1.3084985505315665,28.0,549,507.0,507.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:03:14,21/03/2017 22:11:45,J1900-2600,4.977648628870023,-0.4535732571261997,177.0,612,334.0,334.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.835058501494431
21/03/2017 22:11:45,21/03/2017 22:19:22,J1733-3716,4.596524861658733,-0.6501613263066677,120.0,337,637.0,337.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:19:22,21/03/2017 22:34:16,J0924-5814,2.463168628929164,-1.0163323730024403,65.0,739,829.0,829.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:34:16,21/03/2017 22:58:11,J2330-2005,6.154240745652506,-0.3503766411484817,104.0,1643,1331.0,1331.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2347049641310872
21/03/2017 22:58:11,21/03/2017 23:05:51,J1822-2256,4.812669054219589,-0.40011188288288896,160.0,1874,incomplete,300.0,0,5400,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 23:05:51,21/03/2017 23:11:44,J1534-5405,4.07778653713903,-0.9437397660888661,67.0,289,286.0,286.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0110977988573826
21/03/2017 23:11:44,21/03/2017 23:22:58,J1016-5857,2.6893458466951095,-1.028812931595243,34.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:22:58,21/03/2017 23:47:04,J0536-7543,1.4683156836614413,-1.3212302426111842,26.0,1245,1420.0,1420.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 23:47:04,21/03/2017 23:58:21,J0206-4028,0.5498709259403609,-0.70625557820798,47.0,630,630.0,630.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:58:21,21/03/2017 23:59:42,J0134-2937,0.4115100222105625,-0.5168263648055116,15.0,136,66.0,66.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0698307844219013
21/03/2017 23:59:42,22/03/2017 00:05:42,J1456-6843,3.9095490145515406,-1.1991417949589347,97.0,263,263.0,263.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:05:42,22/03/2017 00:22:28,J1326-6408,3.5192091816691997,-1.1191245089260087,10.0,792,996.0,996.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 00:22:28,22/03/2017 00:27:52,J1319-6056,3.4877707112971295,-1.0632610283369042,4.0,284,320.0,320.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:27:52,22/03/2017 00:29:34,J1047-6709,2.825126790180199,-1.171741017759797,17.0,198,85.0,85.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3247987851571565
22/03/2017 00:29:34,22/03/2017 00:34:17,J1105-6107,2.9035130175457686,-1.0664378669451107,5.0,240,278.0,278.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:34:17,22/03/2017 00:37:39,J1341-6220,3.5853884308022166,-1.0878215439778092,13.0,193,189.0,189.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 00:37:39,22/03/2017 00:58:17,J1338-6204,3.56987827151616,-1.0831770289127798,0.0,1238,1238.0,1238.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:58:17,22/03/2017 01:06:32,J1327-6222,3.5224671296062557,-1.0882874499253554,2.0,529,493.0,493.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:06:32,22/03/2017 01:17:31,J1349-6130,3.6198601379701474,-1.073294586837043,1.0,402,658.0,658.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
22/03/2017 01:17:31,22/03/2017 01:24:23,J1157-6224,3.129610968274852,-1.0888388285248813,12.0,400,400.0,400.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 01:24:23,22/03/2017 01:26:50,J1453-6413,3.898828256899113,-1.1207166855361403,13.0,179,134.0,134.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.337411632553042
22/03/2017 01:26:50,22/03/2017 01:29:06,J1600-5751,4.190239555286068,-1.0096017046675965,9.0,194,127.0,127.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
22/03/2017 01:29:06,22/03/2017 01:34:12,J1600-5044,4.192646727934829,-0.885362090230896,6.0,192,incomplete,300.0,0,1800,3,0,4,0,Aborted: Scintillation too low within first five minutes.
22/03/2017 01:34:12,22/03/2017 02:06:07,J1822-2256,4.812669054219589,-0.40011188288288896,41.0,1874,2474.0,1874.0,0,5400,3,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 02:06:07,22/03/2017 02:10:03,J1600-5044,4.192646727934829,-0.885362090230896,44.0,192,1092.0,192.0,6000,1800,4,0,2,0,Completed: Nominal time; scintillation good.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
22/03/2017 03:50:03,22/03/2017 03:55:30,J0525+1115,1.4221850534626992,0.19644204329971776,80.0,354,547.0,247.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.4316121700227344
22/03/2017 03:55:30,22/03/2017 04:03:11,J0627+0706,1.6918185479589658,0.12407981984740686,11.0,475,incomplete,450.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 920 [-]
