Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:19:52,1490149192000
Duration,  0 day, 14 hours, 19 minutes, 52 seconds,51592000
Slew time, 0 day, 0 hour, 23 minutes, 31 seconds,1411000.0
Integration time, 0 day, 11 hours, 56 minutes, 21 seconds,4.2981E7
Waiting time, 0 day, 2 hours, 0 minute, 0 second,7200000.0
Relative slew time, 0.027349201426577763
Relative integration time, 0.833094278182664
Relative waiting time, 0.13955652039075825
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:28,J0729-1448,1.9603283631217727,-0.2581303178605125,68.0,276,320.0,320.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:06:28,21/03/2017 13:08:42,J0835-4510,2.2486103217937075,-0.7881379662280048,65.0,89,69.0,69.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2947926945635047
21/03/2017 13:08:42,21/03/2017 13:51:58,J0343-3000,0.9750529121243688,-0.5234654518359938,57.0,2597,2539.0,2539.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:51:58,21/03/2017 18:10:47,J0837-4135,2.25737844216725,-0.725696412895,50.0,751,15479.0,15479.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:10:47,21/03/2017 18:23:05,J0809-4753,2.1368567814326522,-0.8354544972328544,47.0,547,691.0,691.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:23:05,21/03/2017 18:29:43,J1717-3425,4.5262382710193565,-0.600104313732108,121.0,656,277.0,277.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.369987228198973
21/03/2017 18:29:43,21/03/2017 18:35:28,J1557-4258,4.175718997685893,-0.7498484245282018,45.0,329,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:35:28,21/03/2017 18:39:51,J1559-4438,4.187446746757646,-0.778776084707186,6.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:39:51,21/03/2017 18:44:49,J1613-4714,4.247624526650597,-0.8242521014289287,3.0,382,295.0,295.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:44:49,21/03/2017 18:49:56,J1626-4537,4.305798532281135,-0.796036914815716,7.0,370,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:49:56,21/03/2017 18:55:10,J1604-4909,4.20791603178411,-0.8575464870536535,20.0,327,294.0,294.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:55:10,21/03/2017 19:14:43,J1418-3921,3.7473879284769214,-0.6866973216473953,77.0,1096,1096.0,1096.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:14:43,21/03/2017 19:21:21,J1555-3134,4.1682790954169535,-0.5508448196629737,58.0,518,340.0,340.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:21:21,21/03/2017 19:29:16,J1653-3838,4.4229405229077585,-0.6741780264414718,175.0,305,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
