Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 21:01:31,1490126491000
Duration,  0 day, 8 hours, 1 minute, 31 seconds,28891000
Slew time, 0 day, 0 hour, 16 minutes, 15 seconds,975000.0
Integration time, 0 day, 7 hours, 45 minutes, 16 seconds,2.7916E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.03374753383406597
Relative integration time, 0.9662524661659341
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:07:06,J0631+1036,1.708060945588286,0.1853079092620924,64.0,287,362.0,362.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:07:06,21/03/2017 13:12:20,J0614+2229,1.633130761029874,0.3928736146239236,12.0,334,302.0,302.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:20,21/03/2017 13:15:43,J0627+0706,1.6918185479589658,0.12407981984740686,12.0,475,191.0,191.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.4821517742963892
21/03/2017 13:15:43,21/03/2017 13:32:40,J0659+1414,1.831732794723039,0.24852276514196478,11.0,384,1006.0,1006.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:32:40,21/03/2017 13:43:35,J0624-0424,1.6769725591753457,-0.07654989858563074,25.0,1039,incomplete,630.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 55 [+]
21/03/2017 13:43:35,21/03/2017 13:50:48,J0837-4135,2.25737844216725,-0.725696412895,42.0,751,391.0,391.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 13:50:48,21/03/2017 13:56:10,J0905-5127,2.3817869802348595,-0.8977357474070141,25.0,346,297.0,297.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:56:10,21/03/2017 14:00:31,J0907-5157,2.3878940327316918,-0.9064112943049969,0.0,253,261.0,261.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:00:31,21/03/2017 14:06:15,J1549-4848,4.142332012648075,-0.8515391607310254,85.0,613,259.0,259.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.3678359257228423
21/03/2017 14:06:15,21/03/2017 15:01:33,J1638-4417,4.357957769699036,-0.7728725171323023,8.0,3073,3310.0,3310.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 15:01:33,21/03/2017 15:07:41,J1705-3950,4.474576234272115,-0.69493677863922,6.0,318,362.0,362.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:07:41,21/03/2017 15:16:01,J1715-3903,4.517079364881308,-0.6815413766301635,0.0,640,500.0,500.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2806592535213046
21/03/2017 15:16:01,21/03/2017 15:29:39,J1630-4733,4.322414793980642,-0.8298798186392482,11.0,575,807.0,807.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:29:39,21/03/2017 15:35:03,J1806-2125,4.739993544166545,-0.37359742266300844,24.0,481,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:35:03,21/03/2017 15:37:17,J1803-2137,4.72921762683755,-0.37724636798574257,1.0,133,133.0,133.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:37:17,21/03/2017 15:38:44,J1757-2421,4.701432399661496,-0.4252426848568829,3.0,234,124.0,84.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 2.274336070512955
21/03/2017 15:38:44,21/03/2017 15:39:53,J1809-1917,4.754796626939387,-0.3363729434137372,4.0,82,65.0,65.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2697760782917624
21/03/2017 15:39:53,21/03/2017 15:43:20,J1707-4729,4.482263464240472,-0.8285732457686581,23.0,266,184.0,184.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:43:20,21/03/2017 15:46:24,J1534-5405,4.07778653713903,-0.9437397660888661,14.0,289,170.0,170.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.695409242462583
21/03/2017 15:46:24,21/03/2017 15:56:12,J1536-5433,4.084420969958173,-0.9520043849107402,0.0,881,588.0,588.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4993672431935157
21/03/2017 15:56:12,21/03/2017 16:10:54,J1650-4502,4.409305283570657,-0.7857991043117258,14.0,1106,868.0,868.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2738309407279491
21/03/2017 16:10:54,21/03/2017 16:21:11,J1651-5222,4.41444455099726,-0.9136885900652916,9.0,635,608.0,608.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.044820669802114
21/03/2017 16:21:11,21/03/2017 16:23:08,J1701-4533,4.457073054424386,-0.7947613700207168,9.0,322,108.0,108.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.975546487026996
21/03/2017 16:23:08,21/03/2017 16:36:12,J1703-4851,4.467635641613352,-0.8523228135651708,4.0,1396,780.0,780.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7886087912776805
21/03/2017 16:36:12,21/03/2017 17:06:13,J1731-4744,4.588914426177464,-0.8329362780104352,2.0,829,1799.0,1799.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:06:13,21/03/2017 17:08:52,J1048-5832,2.8283205972672447,-1.02157126964051,89.0,123,70.0,70.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:08:52,21/03/2017 17:12:08,J1019-5749,2.7046887452611825,-1.0090625918542027,3.0,211,193.0,193.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0935011875769993
21/03/2017 17:12:08,21/03/2017 17:16:49,J1413-6141,3.7226323965327905,-1.0765142344932912,41.0,364,incomplete,240.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0206 (PRN E30)
21/03/2017 17:16:49,21/03/2017 17:41:21,J1522-5829,4.026057886992005,-1.0207136342386272,18.0,395,1454.0,1454.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:41:21,21/03/2017 17:46:08,J1845-0434,4.911262630942696,-0.07955889469743707,80.0,486,207.0,207.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.353109144946372
21/03/2017 17:46:08,21/03/2017 17:53:00,J1340-6456,3.5779482376450686,-1.1330924758924554,112.0,378,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:53:00,21/03/2017 17:55:51,J1047-6709,2.825126790180199,-1.171741017759797,15.0,198,156.0,156.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2710830896692704
21/03/2017 17:55:51,21/03/2017 18:35:34,J1509-5850,3.9682336744323896,-1.0265633961148948,33.0,6023,incomplete,2350.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-5  (PRN 28)
21/03/2017 18:35:34,21/03/2017 19:15:38,J1515-5720,3.9931169790221768,-1.0004178791063387,10.0,3388,2394.0,2394.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 19:15:38,21/03/2017 19:42:30,J1524-5706,4.0332690056848275,-0.9964133181003738,9.0,1116,1603.0,1603.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:42:30,21/03/2017 19:47:40,J1319-6056,3.4877707112971295,-1.0632610283369042,19.0,284,291.0,291.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:47:40,21/03/2017 19:52:10,J1056-6258,2.8641980217035528,-1.098744881026888,17.0,422,253.0,253.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:52:10,21/03/2017 20:42:52,J1156-5707,3.1246811403584895,-0.9968646796374868,8.0,3754,3334.0,3034.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.2373235612500535
21/03/2017 20:42:52,21/03/2017 21:01:31,J2330-2005,6.154240745652506,-0.3503766411484817,113.0,1643,1006.0,1006.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6338172217297933
