Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 03:52:33,1490151153000
Duration,  0 day, 14 hours, 52 minutes, 33 seconds,53553000
Slew time, 0 day, 0 hour, 43 minutes, 28 seconds,2608000.0
Integration time, 0 day, 14 hours, 9 minutes, 5 seconds,5.0945E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04869941926689448
Relative integration time, 0.9513005807331055
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:24:38,J0820-1350,2.1835800963565513,-0.24116640111841794,52.0,1238,1426.0,1426.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:38,21/03/2017 13:28:19,J0631+1036,1.708060945588286,0.1853079092620924,40.0,287,181.0,181.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:28:19,21/03/2017 13:35:36,J0255-5304,0.767670054242368,-0.9260845001893726,83.0,447,354.0,354.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:35:36,21/03/2017 14:00:24,J1001-5507,2.6251191846627617,-0.961934823540907,52.0,1436,1436.0,1436.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:00:24,21/03/2017 14:06:15,J0820-4114,2.1827851206988833,-0.7194809560590714,54.0,545,597.0,297.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.8350231163972768
21/03/2017 14:06:15,21/03/2017 14:10:17,J0907-5157,2.3878940327316918,-0.9064112943049969,25.0,253,217.0,217.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:10:17,21/03/2017 14:18:26,J0905-5127,2.3817869802348595,-0.8977357474070141,1.0,346,488.0,488.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:18:26,21/03/2017 14:40:04,J0842-4851,2.2780451912727337,-0.8524924983535592,8.0,644,1290.0,1290.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:40:04,21/03/2017 14:45:35,J0729-1448,1.9603283631217727,-0.2581303178605125,44.0,276,287.0,287.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:45:35,21/03/2017 14:51:29,J1557-4258,4.175718997685893,-0.7498484245282018,151.0,329,203.0,203.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6210776973365708
21/03/2017 14:51:29,21/03/2017 15:03:19,J1720-2933,4.540337113439018,-0.5156662541479846,19.0,620,691.0,691.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:19,21/03/2017 15:07:29,J1722-3207,4.54679759510938,-0.5603219575013029,3.0,477,247.0,247.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9316930306239055
21/03/2017 15:07:29,21/03/2017 15:12:05,J1559-4438,4.187446746757646,-0.778776084707186,19.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:12:05,21/03/2017 15:18:40,J1549-4848,4.142332012648075,-0.8515391607310254,5.0,613,390.0,390.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5734843097555404
21/03/2017 15:18:40,21/03/2017 15:26:14,J1328-4357,3.5260328372680796,-0.7668583064554023,25.0,532,429.0,429.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:26:14,21/03/2017 15:56:15,J1034-3224,2.767765671648779,-0.5653606260890742,133.0,1150,1668.0,1668.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:56:15,21/03/2017 16:01:25,J0809-4753,2.1368567814326522,-0.8354544972328544,32.0,547,608.0,278.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:01:25,21/03/2017 16:08:03,J1837-0559,4.87555275811458,-0.10429166463924004,138.0,542,260.0,260.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0818659811431424
21/03/2017 16:08:03,21/03/2017 16:12:06,J1841-0425,4.891697053695527,-0.07699083662859986,1.0,186,242.0,242.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:12:06,21/03/2017 16:13:36,J1841-0345,4.8940981176919065,-0.06611598094763187,1.0,204,89.0,89.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.288455882287974
21/03/2017 16:13:36,21/03/2017 16:26:09,J1847-0402,4.919125986449196,-0.07032615143575517,0.0,597,753.0,753.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:26:09,21/03/2017 16:37:51,J1848-0123,4.923544127462105,-0.023861414312744807,3.0,659,699.0,699.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:37:51,21/03/2017 16:47:30,J1852-0635,4.943454574497262,-0.1146244986247276,4.0,524,575.0,575.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:47:30,21/03/2017 16:51:43,J1835-0643,4.86550969726629,-0.1171969200166948,5.0,305,248.0,248.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:51:43,21/03/2017 17:03:47,J1832-0827,4.854707490915438,-0.14746267457552845,2.0,647,722.0,722.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:03:47,21/03/2017 17:09:04,J1757-2421,4.701432399661496,-0.4252426848568829,17.0,234,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 17:09:04,21/03/2017 17:20:06,J1740-3015,4.627581977589243,-0.527751204777002,6.0,606,656.0,656.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:20:06,21/03/2017 17:30:50,J1752-2806,4.681750423497631,-0.49025668430735275,2.0,562,642.0,642.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:30:50,21/03/2017 17:40:40,J1741-2733,4.629583288464862,-0.4805909539470719,4.0,892,586.0,586.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:40:40,21/03/2017 17:48:18,J1727-2739,4.570652973491796,-0.48258111410802657,4.0,1293,454.0,454.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.8465893449080433
21/03/2017 17:48:18,21/03/2017 17:51:10,J1801-2451,4.71675346706751,-0.4335809953582858,6.0,187,166.0,166.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.128133079582171
21/03/2017 17:51:10,21/03/2017 17:53:22,J1824-1945,4.8171418603991105,-0.34445187859574644,6.0,189,126.0,126.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.504631793311058
21/03/2017 17:53:22,21/03/2017 18:11:00,J1822-2256,4.812669054219589,-0.40011188288288896,3.0,1874,1055.0,1055.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7765481265496657
21/03/2017 18:11:00,21/03/2017 18:21:04,J1715-3903,4.517079364881308,-0.6815413766301635,21.0,640,583.0,583.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.0984080875631277
21/03/2017 18:21:04,21/03/2017 18:30:17,J1633-4453,4.33620129518625,-0.7833241304696617,20.0,436,533.0,533.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:30:17,21/03/2017 19:22:04,J1632-4621,4.332039048530504,-0.8087244888503525,6.0,1709,3101.0,3101.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:22:04,21/03/2017 19:26:09,J1637-4642,4.351234543254198,-0.8149960386291855,23.0,222,222.0,222.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:26:09,21/03/2017 19:30:42,J1807-0847,4.745697672861144,-0.15308830708701918,110.0,163,163.0,163.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:30:42,21/03/2017 19:44:52,J1428-5530,3.789276848633516,-0.9684143583889359,159.0,570,691.0,691.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:44:52,21/03/2017 20:16:38,J1534-5334,4.075952486983392,-0.934821133611175,9.0,1368,1897.0,1897.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 20:16:38,21/03/2017 20:21:10,J1604-4909,4.20791603178411,-0.8575464870536535,7.0,327,265.0,265.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:21:10,21/03/2017 20:26:46,J1530-5327,4.059844552428529,-0.9326055350885045,7.0,389,329.0,329.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1821305918222795
21/03/2017 20:26:46,21/03/2017 20:29:45,J1544-5308,4.123329013196465,-0.9271261708646045,1.0,178,178.0,178.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:29:45,21/03/2017 20:34:36,J1534-5405,4.07778653713903,-0.9437397660888661,2.0,289,289.0,289.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:34:36,21/03/2017 20:39:53,J1829-1751,4.842062362318582,-0.3115223637474246,166.0,307,151.0,151.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:39:53,21/03/2017 20:45:04,J1826-1334,4.826793494801613,-0.2365561090511381,11.0,101,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 20:45:04,21/03/2017 20:48:08,J1825-1446,4.8216849160810265,-0.2574719408815657,1.0,279,183.0,183.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5216447948932634
21/03/2017 20:48:08,21/03/2017 20:55:47,J1640-4715,4.3642823338538985,-0.824496932337889,179.0,517,280.0,280.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.845118512715855
21/03/2017 20:55:47,21/03/2017 21:06:03,J1632-4818,4.331306519299032,-0.8427390167169976,3.0,890,613.0,613.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4525738437459854
21/03/2017 21:06:03,21/03/2017 21:09:09,J1626-4537,4.305798532281135,-0.796036914815716,10.0,370,176.0,176.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0964055512875968
21/03/2017 21:09:09,21/03/2017 21:12:58,J1633-5015,4.3327873584472965,-0.8769886792189808,10.0,352,219.0,219.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6061887714745786
21/03/2017 21:12:58,21/03/2017 21:39:58,J2346-0609,6.22576790177979,-0.1070492848573911,123.0,1181,1497.0,1497.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:39:58,21/03/2017 21:46:26,J1524-5625,4.035336493627919,-0.9845431399320879,126.0,196,262.0,262.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:46:26,21/03/2017 21:58:42,J0924-5814,2.463168628929164,-1.0163323730024403,42.0,739,694.0,694.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:58:42,21/03/2017 22:01:33,J1015-5719,2.6862042540415194,-1.0003024934502345,4.0,167,167.0,167.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:01:33,21/03/2017 22:04:01,J1019-5749,2.7046887452611825,-1.0090625918542027,0.0,211,148.0,148.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4283156720974737
21/03/2017 22:04:01,21/03/2017 22:13:08,J0904-7459,2.3744331808756853,-1.3084985505315665,16.0,549,531.0,531.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:13:08,21/03/2017 22:17:51,J1043-6116,2.809637574845167,-1.069058769705189,15.0,288,268.0,268.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:17:51,21/03/2017 22:32:18,J1708-3426,4.489698057799603,-0.6007617210836926,54.0,692,813.0,813.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 22:32:18,21/03/2017 22:35:52,J1105-6107,2.9035130175457686,-1.0664378669451107,54.0,240,160.0,160.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:35:52,21/03/2017 22:40:25,J1539-5626,4.098175618904932,-0.9848243318671315,30.0,243,243.0,243.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:40:25,21/03/2017 22:46:23,J1600-5751,4.190239555286068,-1.0096017046675965,2.0,194,356.0,356.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:46:23,21/03/2017 22:57:40,J1738-3211,4.62033631592164,-0.5614452708004336,45.0,768,632.0,632.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.214673900812671
21/03/2017 22:57:40,21/03/2017 23:01:59,J1536-5433,4.084420969958173,-0.9520043849107402,39.0,881,incomplete,220.0,0,1800,2,0,1,2,Aborted: High scintillation; interrupted by satellite BEIDOU I1-S
21/03/2017 23:01:59,21/03/2017 23:09:14,J1119-6127,2.963736330606354,-1.0722648425783663,28.0,407,407.0,407.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:09:14,21/03/2017 23:35:10,J1049-5833,2.8354575394668577,-1.0216740501409052,5.0,2202,1551.0,1551.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4201069758930727
21/03/2017 23:35:10,21/03/2017 23:44:59,J1056-6258,2.8641980217035528,-1.098744881026888,4.0,422,585.0,585.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 23:44:59,21/03/2017 23:47:04,J1650-4921,4.409508905316724,-0.8613011750883746,35.0,5293,incomplete,90.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0210 (PRN E01)
21/03/2017 23:47:04,21/03/2017 23:56:10,J1536-5433,4.084420969958173,-0.9520043849107402,11.0,881,765.0,535.0,0,1800,3,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 23:56:10,22/03/2017 00:02:14,J1413-6141,3.7226323965327905,-1.0765142344932912,11.0,364,353.0,353.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
22/03/2017 00:02:14,22/03/2017 00:20:42,J1338-6204,3.56987827151616,-1.0831770289127798,4.0,1238,1104.0,1104.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1209686985574956
22/03/2017 00:20:42,22/03/2017 00:23:57,J1456-6843,3.9095490145515406,-1.1991417949589347,8.0,263,187.0,187.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4044425934507767
22/03/2017 00:23:57,22/03/2017 00:53:51,J1646-6831,4.393488237224458,-1.1955941708474156,9.0,1785,1785.0,1785.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
22/03/2017 00:53:51,22/03/2017 01:22:14,J1650-4921,4.409508905316724,-0.8613011750883746,23.0,5293,incomplete,1680.0,0,180,3,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
