Start time,  21/03/2017 13:00:00,1490097600000
End time,  22/03/2017 13:12:54,1490184774000
Duration,  1 day, 0 hour, 12 minutes, 54 seconds,87174000
Slew time, 0 day, 0 hour, 28 minutes, 57 seconds,1737000.0
Integration time, 0 day, 23 hours, 43 minutes, 57 seconds,8.5437E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.01992566590956019
Relative integration time, 0.9800743340904398
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:12,J0627+0706,1.6918185479589658,0.12407981984740686,62.0,475,incomplete,250.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite GPS BIIRM-6 (PRN 07)
21/03/2017 13:05:12,21/03/2017 13:22:33,J0624-0424,1.6769725591753457,-0.07654989858563074,11.0,1039,1030.0,1030.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:22:33,21/03/2017 13:43:41,J1418-3921,3.7473879284769214,-0.6866973216473953,172.0,1096,1096.0,1096.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:43:41,21/03/2017 13:55:36,J1555-3134,4.1682790954169535,-0.5508448196629737,16.0,518,699.0,699.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:55:36,21/03/2017 14:01:13,J0908-4913,2.3936848897457046,-0.8589613673006038,107.0,106,230.0,230.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:01:13,21/03/2017 14:03:31,J0905-5127,2.3817869802348595,-0.8977357474070141,2.0,346,456.0,136.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:03:31,21/03/2017 14:13:05,J1722-3207,4.54679759510938,-0.5603219575013029,97.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:13:05,21/03/2017 14:24:04,J1717-3425,4.5262382710193565,-0.600104313732108,3.0,656,656.0,656.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:24:04,21/03/2017 14:51:21,J1720-2933,4.540337113439018,-0.5156662541479846,5.0,620,1632.0,1632.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:51:21,21/03/2017 14:54:36,J1739-2903,4.623251961159148,-0.5070011792255139,1.0,322,194.0,194.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6612039648615506
21/03/2017 14:54:36,21/03/2017 14:59:29,J1737-3137,4.61234452599881,-0.5517131209658409,2.0,450,291.0,291.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5480949292107409
21/03/2017 14:59:29,21/03/2017 15:02:43,J1801-2451,4.71675346706751,-0.4335809953582858,7.0,187,187.0,187.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:02:43,21/03/2017 15:18:45,J1636-4440,4.347071932988192,-0.7794591958038565,24.0,938,938.0,938.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:18:45,21/03/2017 16:00:51,J1638-4417,4.357957769699036,-0.7728725171323023,2.0,3073,2524.0,2524.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 16:00:51,21/03/2017 16:05:56,J1623-4256,4.29266202077779,-0.7490759224087218,10.0,364,295.0,295.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:05:56,21/03/2017 16:19:27,J0809-4753,2.1368567814326522,-0.8354544972328544,111.0,547,700.0,700.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
