Start time,  21/03/2017 13:00:00,1490097600000
End time,  21/03/2017 23:23:30,1490135010000
Duration,  0 day, 10 hours, 23 minutes, 30 seconds,37410000
Slew time, 0 day, 0 hour, 24 minutes, 14 seconds,1454000.0
Integration time, 0 day, 9 hours, 41 minutes, 16 seconds,3.4876E7
Waiting time, 0 day, 0 hour, 18 minutes, 0 second,1080000.0
Relative slew time, 0.038866613205025394
Relative integration time, 0.9322641005078856
Relative waiting time, 0.028869286287089013
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:21:37,J1034-3224,2.767765671648779,-0.5653606260890742,89.0,1150,1208.0,1208.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:37,21/03/2017 13:39:28,J0954-5430,2.5922531804066646,-0.950945067017516,97.0,1045,974.0,974.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:28,21/03/2017 13:52:27,J0942-5552,2.540605251737544,-0.9748037178922785,9.0,664,770.0,770.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:52:27,21/03/2017 14:27:31,J1652-2404,4.419938702038434,-0.4195044301272704,84.0,1703,2020.0,2020.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:27:31,21/03/2017 14:31:56,J1705-1906,4.475031401596625,-0.3331707490500087,7.0,298,258.0,258.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:31:56,21/03/2017 14:46:53,J1703-3241,4.465318717031329,-0.5701990666265474,11.0,1211,886.0,886.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3671757485996132
21/03/2017 14:46:53,21/03/2017 14:53:26,J1001-5507,2.6251191846627617,-0.961934823540907,93.0,1436,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:53:26,21/03/2017 15:12:57,J1741-2733,4.629583288464862,-0.4805909539470719,96.0,892,1075.0,1075.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:12:57,21/03/2017 15:21:03,J1727-2739,4.570652973491796,-0.48258111410802657,6.0,1293,480.0,480.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.6952570524665034
21/03/2017 15:21:03,21/03/2017 15:35:36,J1733-2228,4.596501299713831,-0.39193792421938217,5.0,871,868.0,868.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:35:36,21/03/2017 15:43:41,J1806-2125,4.739993544166545,-0.37359742266300844,4.0,481,481.0,481.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:43:41,21/03/2017 15:45:45,J1803-2137,4.72921762683755,-0.37724636798574257,2.0,133,422.0,122.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.0865047788338023
21/03/2017 15:45:45,21/03/2017 15:52:55,J0738-4042,2.0007530247579957,-0.710150522840646,134.0,374,296.0,296.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.263872809628819
21/03/2017 15:52:55,21/03/2017 16:18:50,J0630-2834,1.705288809539468,-0.49837499212955094,19.0,1244,1626.0,1536.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:18:50,21/03/2017 16:22:37,J1809-1917,4.754796626939387,-0.3363729434137372,145.0,82,82.0,82.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:22:37,21/03/2017 16:33:42,J1709-1640,4.491782366353361,-0.29060832572761713,12.0,653,653.0,653.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:33:42,21/03/2017 17:04:30,J1638-4417,4.357957769699036,-0.7728725171323023,33.0,3073,1815.0,1815.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 17:04:30,21/03/2017 18:05:19,J1643-4505,4.379101633644374,-0.7866295901474666,4.0,1728,3645.0,3645.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:05:19,21/03/2017 18:07:48,J1845-0743,4.912896768176928,-0.13449507215868303,45.0,104,104.0,104.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:07:48,21/03/2017 18:11:06,J1835-0643,4.86550969726629,-0.1171969200166948,3.0,305,195.0,195.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:11:06,21/03/2017 18:16:45,J1837-0559,4.87555275811458,-0.10429166463924004,0.0,542,339.0,339.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5995251886374253
21/03/2017 18:16:45,21/03/2017 18:36:23,J1602-5100,4.198884025627092,-0.8901082222434858,81.0,864,1097.0,1097.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:36:23,21/03/2017 18:41:53,J1614-5048,4.250697760575152,-0.8866102915342805,2.0,231,328.0,328.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:41:53,21/03/2017 18:51:43,J1741-3927,4.63080072834018,-0.6883481607129415,44.0,512,546.0,546.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:51:43,21/03/2017 18:57:24,J1733-3716,4.596524861658733,-0.6501613263066677,4.0,337,337.0,337.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 18:57:24,21/03/2017 19:01:59,J1817-3618,4.786985588889814,-0.6335351259266973,7.0,387,268.0,268.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4434808706991564
21/03/2017 19:01:59,21/03/2017 19:10:01,J1536-5433,4.084420969958173,-0.9520043849107402,79.0,881,403.0,403.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.188768406454276
21/03/2017 19:10:01,21/03/2017 19:13:08,J1524-5625,4.035336493627919,-0.9845431399320879,5.0,196,182.0,182.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:13:08,21/03/2017 19:15:12,J1048-5832,2.8283205972672447,-1.02157126964051,32.0,123,92.0,92.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:15:12,21/03/2017 19:51:54,J1049-5833,2.8354575394668577,-1.0216740501409052,0.0,2202,2202.0,2202.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:51:54,21/03/2017 21:14:52,J1055-6022,2.8615036696707863,-1.0533449886730666,3.0,5293,4975.0,4975.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 21:14:52,21/03/2017 21:17:38,J1452-6036,3.895858361010688,-1.057517537619536,18.0,154,148.0,148.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.041061648865231
21/03/2017 21:17:38,21/03/2017 21:24:50,J1119-6127,2.963736330606354,-1.0722648425783663,25.0,407,407.0,407.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 21:24:50,21/03/2017 21:30:59,J1531-5610,4.064283506492767,-0.9800266156788715,30.0,376,339.0,339.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 21:30:59,21/03/2017 21:51:03,J1534-5334,4.075952486983392,-0.934821133611175,4.0,1368,1200.0,1200.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:51:03,21/03/2017 22:03:53,J1543-5459,4.1187043270109935,-0.9595737809139034,1.0,377,769.0,769.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:03:53,21/03/2017 22:05:10,J1548-5607,4.1396322791834494,-0.9792562467395884,1.0,170,76.0,76.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.237369197969544
21/03/2017 22:05:10,21/03/2017 22:20:48,J1638-4725,4.355537507080886,-0.8274218132760228,10.0,1323,928.0,928.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4258102173581746
21/03/2017 22:20:48,21/03/2017 22:29:16,J1115-6052,2.949146832500725,-1.0622374412119777,44.0,938,464.0,464.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0223228052370876
21/03/2017 22:29:16,21/03/2017 22:32:43,J1105-6107,2.9035130175457686,-1.0664378669451107,1.0,240,206.0,206.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:32:43,21/03/2017 22:37:44,J1123-6259,2.9841893350561106,-1.0992144715584107,2.0,432,299.0,299.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4431841960628082
21/03/2017 22:37:44,21/03/2017 22:41:08,J1047-6709,2.825126790180199,-1.171741017759797,6.0,198,198.0,198.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:41:08,21/03/2017 22:51:04,J0904-7459,2.3744331808756853,-1.3084985505315665,11.0,549,585.0,585.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 22:51:04,21/03/2017 22:54:08,J1513-5908,3.987758818218554,-1.0320277311146804,31.0,153,453.0,153.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 22:54:08,21/03/2017 22:56:06,J1512-5759,3.9824796335635835,-1.011710159366742,1.0,128,417.0,117.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 1.0936753766685066
21/03/2017 22:56:06,21/03/2017 23:05:30,J0152-1637,0.4894814866238058,-0.2897586412701045,114.0,832,incomplete,450.0,1080,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 31 [+]Waited for more observables to rise above the horizon. 
