Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 16:04:04,1490151844000
Duration,  1 day, 3 hours, 4 minutes, 4 seconds,97444000
Slew time, 0 day, 0 hour, 44 minutes, 44 seconds,2684000.0
Integration time, 1 day, 1 hour, 38 minutes, 20 seconds,9.23E7
Waiting time, 0 day, 0 hour, 41 minutes, 0 second,2460000.0
Relative slew time, 0.027544025286318295
Relative integration time, 0.9472107056360576
Relative waiting time, 0.02524526907762407
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:30,J1841-0345,4.8940981176919065,-0.06611598094763187,66.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:30,21/03/2017 13:08:06,J1842-0905,4.897258472634954,-0.15841480955726533,6.0,344,210.0,210.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6357288075610386
21/03/2017 13:08:06,21/03/2017 13:12:45,J1341-6220,3.5853884308022166,-1.0878215439778092,83.0,193,196.0,196.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:12:45,21/03/2017 13:13:35,J1410-6132,3.7105699897399442,-1.073959266393844,2.0,50,48.0,48.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0350316878811145
21/03/2017 13:13:35,21/03/2017 13:18:16,J1626-4537,4.305798532281135,-0.796036914815716,25.0,370,256.0,256.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.4449697942160125
21/03/2017 13:18:16,21/03/2017 13:29:53,J1719-4006,4.533617959429102,-0.699588565909466,9.0,189,688.0,688.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:29:53,21/03/2017 13:42:05,J1613-4714,4.247624526650597,-0.8242521014289287,13.0,382,719.0,719.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:42:05,21/03/2017 13:46:30,J1757-2421,4.701432399661496,-0.4252426848568829,31.0,234,234.0,234.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:46:30,21/03/2017 13:53:02,J1543-5459,4.1187043270109935,-0.9595737809139034,42.0,377,350.0,350.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:53:02,21/03/2017 13:57:36,J1420-6048,3.753056903331503,-1.061080530324746,12.0,167,262.0,262.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
