Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 23:31:24,1490092284000
Duration,  0 day, 10 hours, 31 minutes, 24 seconds,37884000
Slew time, 0 day, 0 hour, 32 minutes, 59 seconds,1979000.0
Integration time, 0 day, 8 hours, 30 minutes, 25 seconds,3.0625E7
Waiting time, 0 day, 1 hour, 28 minutes, 0 second,5280000.0
Relative slew time, 0.052238411994509557
Relative integration time, 0.8083887657058388
Relative waiting time, 0.13937282229965156
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:03:05,J0134-2937,0.4115100222105625,-0.5168263648055116,101.0,136,84.0,84.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6207942608842478
21/03/2017 13:03:05,21/03/2017 13:05:46,J1015-5719,2.6862042540415194,-1.0003024934502345,81.0,167,80.0,80.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0755725897388873
21/03/2017 13:05:46,21/03/2017 13:10:46,J1136-5525,3.0370307053233345,-0.9671630542779921,10.0,364,incomplete,290.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:10:46,21/03/2017 13:16:56,J1822-4209,4.809207920868779,-0.7356030471734241,47.0,456,323.0,323.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:16:56,21/03/2017 13:24:05,J1531-5610,4.064283506492767,-0.9800266156788715,24.0,376,405.0,405.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:24:05,21/03/2017 13:27:06,J1327-6301,3.521744999628243,-1.0997737041395705,16.0,196,165.0,165.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.188401433833725
21/03/2017 13:27:06,21/03/2017 13:30:43,J1317-6302,3.4808184831100193,-1.0998861324322198,1.0,261,216.0,216.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2065504946254353
21/03/2017 13:30:43,21/03/2017 13:41:22,J1146-6030,3.0810689984537603,-1.0556362181299903,8.0,273,631.0,631.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:41:22,21/03/2017 13:49:33,J1413-6141,3.7226323965327905,-1.0765142344932912,13.0,364,478.0,478.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:49:33,21/03/2017 13:49:33,J1420-6048,3.753056903331503,-1.061080530324746,0.0,167,262.0,0.0,0,20,2,0,3,0,No integration time available for scintillation checking.
21/03/2017 13:49:33,21/03/2017 13:51:19,J1452-6036,3.895858361010688,-1.057517537619536,2.0,154,104.0,104.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4787786529845006
21/03/2017 13:51:19,21/03/2017 13:56:21,J1513-5908,3.987758818218554,-1.0320277311146804,2.0,153,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:56:21,21/03/2017 14:00:04,J1524-5625,4.035336493627919,-0.9845431399320879,2.0,196,221.0,221.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:00:04,21/03/2017 14:07:20,J1119-6127,2.963736330606354,-1.0722648425783663,29.0,407,407.0,407.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:07:20,21/03/2017 14:16:29,J0255-5304,0.767670054242368,-0.9260845001893726,49.0,447,500.0,500.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:16:29,21/03/2017 14:26:34,J1306-6617,3.4323492353410936,-1.1567567164810928,57.0,473,548.0,548.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:26:34,21/03/2017 14:29:00,J1716-4005,4.523461452179434,-0.6994552421471609,42.0,311,104.0,104.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.002303995024484
21/03/2017 14:29:00,21/03/2017 14:32:07,J1530-5327,4.059844552428529,-0.9326055350885045,21.0,389,166.0,166.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.337247798487988
21/03/2017 14:32:07,21/03/2017 14:42:54,J1352-6803,3.6327901188453393,-1.1875166901064496,19.0,628,628.0,628.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:42:54,21/03/2017 14:43:58,J1513-5908,3.987758818218554,-1.0320277311146804,11.0,153,353.0,53.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 2.8852459118103595
21/03/2017 14:43:58,21/03/2017 15:00:19,J1326-5859,3.5210759567483114,-1.029312289686786,11.0,477,970.0,970.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:00:19,21/03/2017 15:03:00,J1637-4642,4.351234543254198,-0.8149960386291855,27.0,222,134.0,134.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.652616362271641
21/03/2017 15:03:00,21/03/2017 15:07:20,J1749-3002,4.665373446438571,-0.524010867227242,21.0,609,239.0,239.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.5511905208575905
21/03/2017 15:07:20,21/03/2017 15:22:47,J0905-5127,2.3817869802348595,-0.8977357474070141,88.0,346,839.0,839.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:22:47,21/03/2017 15:28:06,J0940-5428,2.5349612932689074,-0.9504258315650477,4.0,311,315.0,315.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:28:06,21/03/2017 15:28:31,J1302-6350,3.4155833552914583,-1.1140598300842457,25.0,47,34.0,0.0,0,180,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:28:31,21/03/2017 15:33:30,J1648-4611,4.399831054614415,-0.8059736560237369,35.0,402,264.0,264.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.520748238024105
21/03/2017 15:33:30,21/03/2017 15:41:16,J1737-3137,4.61234452599881,-0.5517131209658409,16.0,450,450.0,450.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:41:16,21/03/2017 15:42:50,J1828-1101,4.835932765985578,-0.19203033576435724,22.0,72,72.0,72.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:42:50,21/03/2017 15:59:47,J1913-0440,5.034851176966692,-0.08121753926324903,11.0,825,1006.0,1006.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:59:47,21/03/2017 16:09:15,J1852-2610,4.943606345420133,-0.45663291626768204,23.0,336,545.0,545.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:09:15,21/03/2017 16:15:41,J0842-4851,2.2780451912727337,-0.8524924983535592,104.0,644,892.0,282.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:15:41,21/03/2017 16:15:54,J0901-4624,2.363475422055248,-0.8095976382900308,3.0,640,incomplete,10.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0103 (PRN E19)
21/03/2017 16:15:54,21/03/2017 16:20:03,J0742-2822,2.0194228844886313,-0.4948795766822046,23.0,166,226.0,226.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:20:03,21/03/2017 16:22:21,J0034-0721,0.1489980528388499,-0.12802276588263942,138.0,942,1030.0,0.0,0,180,2,0,3,0,No integration time available for scintillation checking.
21/03/2017 16:22:21,21/03/2017 16:24:50,J1453-6413,3.898828256899113,-1.1207166855361403,149.0,179,71.0,0.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:24:50,21/03/2017 16:34:23,J0837-4135,2.25737844216725,-0.725696412895,55.0,751,518.0,518.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:34:23,21/03/2017 16:35:58,J0901-4624,2.363475422055248,-0.8095976382900308,5.0,640,incomplete,90.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 920 [-]
21/03/2017 16:35:58,21/03/2017 16:39:37,J0729-1448,1.9603283631217727,-0.2581303178605125,37.0,276,182.0,182.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:39:37,21/03/2017 16:40:06,J0631+1036,1.708060945588286,0.1853079092620924,29.0,287,380.0,0.0,0,180,2,0,3,0,No integration time available for scintillation checking.
21/03/2017 16:40:06,21/03/2017 17:05:38,J0954-5430,2.5922531804066646,-0.950945067017516,78.0,1045,1454.0,1454.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:05:38,21/03/2017 17:16:43,J1038-5831,2.785232781358634,-1.021176728266823,4.0,661,661.0,661.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:16:43,21/03/2017 17:17:33,J1112-6103,2.933230156943058,-1.065372731287713,3.0,69,47.0,47.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4790841493800675
21/03/2017 17:17:33,21/03/2017 17:58:07,J1515-5720,3.9931169790221768,-1.0004178791063387,28.0,3388,2406.0,2406.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:58:07,21/03/2017 20:06:56,J1509-5850,3.9682336744323896,-1.0265633961148948,6.0,6023,7723.0,7723.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:06:56,21/03/2017 20:07:32,J1156-5707,3.1246811403584895,-0.9968646796374868,36.0,3754,2191.0,0.0,0,5400,2,0,1,0,Completed: Shortened interval; scintillation of 1.1631719714408237
21/03/2017 20:07:32,21/03/2017 20:08:02,J1034-3224,2.767765671648779,-0.5653606260890742,30.0,1150,1296.0,0.0,0,20,3,0,3,0,No integration time available for scintillation checking.
21/03/2017 20:08:02,21/03/2017 20:08:29,J0820-3826,2.1860199430233505,-0.6705803210766942,27.0,124,421.0,0.0,0,5400,5,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 20:08:29,21/03/2017 21:04:19,J0343-3000,0.9750529121243688,-0.5234654518359938,163.0,2597,3187.0,3187.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:04:19,21/03/2017 21:06:36,J1328-4357,3.5260328372680796,-0.7668583064554023,137.0,532,912.0,0.0,0,180,3,0,3,0,No integration time available for scintillation checking.
21/03/2017 21:06:36,21/03/2017 21:58:02,J0834-4159,2.243933458263026,-0.7325001426515868,49.0,3754,3037.0,3037.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 21:58:02,21/03/2017 22:03:24,J1614-5048,4.250697760575152,-0.8866102915342805,57.0,231,265.0,265.0,5280,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
