Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 19:38:28,1490078308000
Duration,  0 day, 6 hours, 38 minutes, 28 seconds,23908000
Slew time, 0 day, 0 hour, 27 minutes, 48 seconds,1668000.0
Integration time, 0 day, 6 hours, 10 minutes, 40 seconds,2.224E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.06976744186046512
Relative integration time, 0.9302325581395349
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:30,J1841-0345,4.8940981176919065,-0.06611598094763187,66.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:30,21/03/2017 13:08:12,J1841-0425,4.891697053695527,-0.07699083662859986,1.0,186,221.0,221.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:08:12,21/03/2017 13:12:13,J1844-0538,4.904746662346532,-0.09815445673144253,1.0,255,240.0,240.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.06200632811802
21/03/2017 13:12:13,21/03/2017 13:27:04,J1105-6107,2.9035130175457686,-1.0664378669451107,102.0,240,789.0,789.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:27:04,21/03/2017 13:28:06,J1555-3134,4.1682790954169535,-0.5508448196629737,52.0,518,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIRM-2 (PRN 31)
21/03/2017 13:28:06,21/03/2017 13:34:27,J1626-4537,4.305798532281135,-0.796036914815716,11.0,370,370.0,370.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0005190631038532
21/03/2017 13:34:27,21/03/2017 13:41:48,J1633-4453,4.33620129518625,-0.7833241304696617,0.0,436,441.0,441.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:41:48,21/03/2017 13:48:02,J1356-5521,3.651414818181579,-0.9659769091257897,24.0,507,350.0,350.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:48:02,21/03/2017 13:50:35,J1420-6048,3.753056903331503,-1.061080530324746,5.0,167,148.0,148.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:50:35,21/03/2017 13:53:38,J1453-6413,3.898828256899113,-1.1207166855361403,4.0,179,179.0,179.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:53:38,21/03/2017 13:56:11,J1452-6036,3.895858361010688,-1.057517537619536,2.0,154,151.0,151.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0176498407752006
21/03/2017 13:56:11,21/03/2017 14:00:01,J1326-5859,3.5210759567483114,-1.029312289686786,8.0,477,222.0,222.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:00:01,21/03/2017 14:06:22,J1530-5327,4.059844552428529,-0.9326055350885045,15.0,389,366.0,366.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0624742308831299
