Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 17:14:15,1490069655000
Duration,  0 day, 4 hours, 14 minutes, 15 seconds,15255000
Slew time, 0 day, 0 hour, 12 minutes, 47 seconds,767000.0
Integration time, 0 day, 4 hours, 1 minute, 28 seconds,1.4488E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.05027859718125205
Relative integration time, 0.949721402818748
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:21:26,J2346-0609,6.22576790177979,-0.1070492848573911,52.0,1181,1234.0,1234.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:21:26,21/03/2017 13:36:18,J0034-0721,0.1489980528388499,-0.12802276588263942,8.0,942,884.0,884.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:18,21/03/2017 13:43:47,J0452-1759,1.2765705904504334,-0.3137550713449015,48.0,548,401.0,401.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:43:47,21/03/2017 13:56:42,J0448-2749,1.2596598989783194,-0.4852658183485387,7.0,450,768.0,768.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:56:42,21/03/2017 14:06:34,J0401-7608,1.0553191499825445,-1.3287104328970232,47.0,545,545.0,545.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:06:34,21/03/2017 14:09:43,J0134-2937,0.4115100222105625,-0.5168263648055116,68.0,136,121.0,121.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.120011518657391
21/03/2017 14:09:43,21/03/2017 14:22:08,J0255-5304,0.767670054242368,-0.9260845001893726,38.0,447,707.0,707.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:22:08,21/03/2017 14:27:42,J0206-4028,0.5498709259403609,-0.70625557820798,19.0,630,315.0,315.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.9987533858701867
21/03/2017 14:27:42,21/03/2017 15:09:06,J0343-3000,0.9750529121243688,-0.5234654518359938,20.0,2597,2464.0,2464.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:09:06,21/03/2017 15:12:42,J0525+1115,1.4221850534626992,0.19644204329971776,33.0,354,183.0,183.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9387889374953355
21/03/2017 15:12:42,21/03/2017 15:19:05,J0601-0527,1.579448949277968,-0.09487532243652198,18.0,395,365.0,365.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:19:05,21/03/2017 15:27:07,J0630-2834,1.705288809539468,-0.49837499212955094,22.0,1244,incomplete,460.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 54 [+]
21/03/2017 15:27:07,21/03/2017 15:33:17,J0738-4042,2.0007530247579957,-0.710150522840646,17.0,374,353.0,353.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0588200989317953
