Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:36:25,1490088985000
Duration,  0 day, 9 hours, 36 minutes, 25 seconds,34585000
Slew time, 0 day, 0 hour, 10 minutes, 7 seconds,607000.0
Integration time, 0 day, 6 hours, 25 minutes, 18 seconds,2.3118E7
Waiting time, 0 day, 3 hours, 1 minute, 0 second,1.086E7
Relative slew time, 0.01755096139945063
Relative integration time, 0.6684400751770999
Relative waiting time, 0.31400896342344947
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:40:15,J2048-1616,5.448019126485467,-0.2836908901943311,42.0,1961,2373.0,2373.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:15,21/03/2017 13:46:52,J1852-0635,4.943454574497262,-0.1146244986247276,34.0,524,363.0,363.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:52,21/03/2017 13:54:47,J1737-3137,4.61234452599881,-0.5517131209658409,36.0,450,439.0,439.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0249486372825785
21/03/2017 13:54:47,21/03/2017 14:00:10,J1623-4256,4.29266202077779,-0.7490759224087218,18.0,364,305.0,305.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:00:10,21/03/2017 14:03:33,J1646-4346,4.393233710041876,-0.7636882067573633,3.0,231,200.0,200.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.157138161064547
21/03/2017 14:03:33,21/03/2017 14:37:44,J1638-4417,4.357957769699036,-0.7728725171323023,1.0,3073,incomplete,2050.0,0,1800,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:37:44,21/03/2017 14:43:12,J1649-3805,4.406099840955266,-0.6643930319156381,6.0,262,322.0,322.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:43:12,21/03/2017 14:47:14,J1653-3838,4.4229405229077585,-0.6741780264414718,0.0,305,242.0,242.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2598893817312002
21/03/2017 14:47:14,21/03/2017 14:50:53,J1702-4310,4.461275370930876,-0.753206534971775,3.0,261,216.0,216.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.2082130450982151
21/03/2017 14:50:53,21/03/2017 14:53:20,J1702-4128,4.463135601025293,-0.7234961829660205,1.0,182,146.0,146.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:53:20,21/03/2017 15:00:43,J1707-4053,4.482712959244913,-0.7132767953819126,0.0,581,443.0,443.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3104962819385528
21/03/2017 15:00:43,21/03/2017 15:02:41,J1709-4429,4.49296676860038,-0.7763406802814875,3.0,102,115.0,115.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:02:41,21/03/2017 15:06:27,J1705-3950,4.474576234272115,-0.69493677863922,3.0,318,223.0,223.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:06:27,21/03/2017 15:10:56,J1719-4006,4.533617959429102,-0.699588565909466,1.0,189,268.0,268.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:10:56,21/03/2017 15:18:48,J1723-3659,4.551497257730635,-0.645413545927562,2.0,202,incomplete,470.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite BEIDOU-3 M2
21/03/2017 15:18:48,21/03/2017 15:21:03,J1733-3716,4.596524861658733,-0.6501613263066677,0.0,337,135.0,135.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.4887263698948208
21/03/2017 15:21:03,21/03/2017 16:20:15,J1718-3718,4.529856629446949,-0.6507508597428968,2.0,4182,incomplete,3550.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2461 (735)
21/03/2017 16:20:15,21/03/2017 16:26:42,J1817-3618,4.786985588889814,-0.6335351259266973,0.0,387,387.0,387.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:26:42,21/03/2017 16:31:30,J1823-3106,4.816147953567742,-0.5425562025638845,4.0,284,284.0,284.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:31:30,21/03/2017 16:40:23,J1816-2650,4.784776656555258,-0.467782176492158,4.0,592,529.0,529.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:40:23,21/03/2017 16:46:56,J1852-2610,4.943606345420133,-0.45663291626768204,4.0,336,389.0,389.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:46:56,21/03/2017 16:53:53,J1900-2600,4.977648628870023,-0.4535732571261997,0.0,612,417.0,417.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4681546112152353
21/03/2017 16:53:53,21/03/2017 17:00:41,J1941-2602,5.15311421438849,-0.45433950514919336,6.0,402,402.0,402.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:00:41,21/03/2017 17:12:33,J1822-4209,4.809207920868779,-0.7356030471734241,23.0,456,689.0,689.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:12:33,21/03/2017 17:27:32,J1731-4744,4.588914426177464,-0.8329362780104352,11.0,829,1957.0,888.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
