Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 09:47:34,1490129254000
Duration,  0 day, 20 hours, 47 minutes, 34 seconds,74854000
Slew time, 0 day, 0 hour, 22 minutes, 40 seconds,1360000.0
Integration time, 0 day, 18 hours, 34 minutes, 54 seconds,6.6894E7
Waiting time, 0 day, 1 hour, 50 minutes, 0 second,6600000.0
Relative slew time, 0.018168701739386006
Relative integration time, 0.8936596574665349
Relative waiting time, 0.08817164079407915
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:41,J0134-2937,0.4115100222105625,-0.5168263648055116,101.0,136,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:06:41,21/03/2017 13:36:50,J0152-1637,0.4894814866238058,-0.2897586412701045,13.0,832,1796.0,1796.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:50,21/03/2017 13:39:21,J0134-2937,0.4115100222105625,-0.5168263648055116,15.0,136,436.0,136.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:39:21,21/03/2017 14:19:01,J0343-3000,0.9750529121243688,-0.5234654518359938,25.0,2597,2355.0,2355.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:19:01,21/03/2017 14:27:10,J0206-4028,0.5498709259403609,-0.70625557820798,29.0,630,460.0,460.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3707642639733504
21/03/2017 14:27:10,21/03/2017 14:39:33,J0034-0721,0.1489980528388499,-0.12802276588263942,0.0,942,743.0,743.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:39:33,21/03/2017 14:53:27,J0924-5814,2.463168628929164,-1.0163323730024403,49.0,739,785.0,785.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:53:27,21/03/2017 14:57:02,J1019-5749,2.7046887452611825,-1.0090625918542027,4.0,211,211.0,211.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:57:02,21/03/2017 15:02:24,J0940-5428,2.5349612932689074,-0.9504258315650477,6.0,311,316.0,316.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:02:24,21/03/2017 15:10:10,J0601-0527,1.579448949277968,-0.09487532243652198,66.0,395,400.0,400.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
