Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 18:51:33,1490075493000
Duration,  0 day, 5 hours, 51 minutes, 33 seconds,21093000
Slew time, 0 day, 0 hour, 8 minutes, 33 seconds,513000.0
Integration time, 0 day, 5 hours, 43 minutes, 0 second,2.058E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.02432086474185749
Relative integration time, 0.9756791352581425
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:17:30,J0034-0721,0.1489980528388499,-0.12802276588263942,65.0,942,985.0,985.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:17:30,21/03/2017 13:27:32,J0152-1637,0.4894814866238058,-0.2897586412701045,20.0,832,582.0,582.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:27:32,21/03/2017 13:38:30,J0452-1759,1.2765705904504334,-0.3137550713449015,34.0,548,624.0,624.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:38:30,21/03/2017 13:45:58,J0448-2749,1.2596598989783194,-0.4852658183485387,8.0,450,440.0,440.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:45:58,21/03/2017 14:38:19,J0343-3000,0.9750529121243688,-0.5234654518359938,15.0,2597,3126.0,3126.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:38:19,21/03/2017 14:51:19,J0630-2834,1.705288809539468,-0.49837499212955094,22.0,1244,758.0,758.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 14:51:19,21/03/2017 14:56:14,J0738-4042,2.0007530247579957,-0.710150522840646,16.0,374,279.0,279.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3389485460410349
21/03/2017 14:56:14,21/03/2017 15:06:21,J0809-4753,2.1368567814326522,-0.8354544972328544,8.0,547,599.0,599.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:06:21,21/03/2017 15:07:32,J0835-4510,2.2486103217937075,-0.7881379662280048,3.0,89,68.0,68.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3006409453907704
21/03/2017 15:07:32,21/03/2017 15:10:56,J0134-2937,0.4115100222105625,-0.5168263648055116,68.0,136,136.0,136.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:10:56,21/03/2017 15:15:09,J0206-4028,0.5498709259403609,-0.70625557820798,28.0,630,225.0,225.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.805510598146859
21/03/2017 15:15:09,21/03/2017 15:22:07,J0255-5304,0.767670054242368,-0.9260845001893726,20.0,447,398.0,398.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:22:07,21/03/2017 15:43:47,J0536-7543,1.4683156836614413,-1.3212302426111842,26.0,1245,1274.0,1274.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:43:47,21/03/2017 15:47:52,J0401-7608,1.0553191499825445,-1.3287104328970232,6.0,545,239.0,239.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.278362305226572
21/03/2017 15:47:52,21/03/2017 15:58:20,J0904-7459,2.3744331808756853,-1.3084985505315665,17.0,549,611.0,611.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:58:20,21/03/2017 16:00:28,J1047-6709,2.825126790180199,-1.171741017759797,10.0,198,118.0,118.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6818215756210673
21/03/2017 16:00:28,21/03/2017 16:04:26,J1056-6258,2.8641980217035528,-1.098744881026888,4.0,422,234.0,234.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:04:26,21/03/2017 16:08:50,J1043-6116,2.809637574845167,-1.069058769705189,2.0,288,262.0,262.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:08:50,21/03/2017 16:14:38,J1038-5831,2.785232781358634,-1.021176728266823,2.0,661,346.0,346.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9110507589569643
21/03/2017 16:14:38,21/03/2017 16:16:31,J1048-5832,2.8283205972672447,-1.02157126964051,0.0,123,113.0,113.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:16:31,21/03/2017 16:40:07,J1049-5833,2.8354575394668577,-1.0216740501409052,0.0,2202,1416.0,1416.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5547462516394368
21/03/2017 16:40:07,21/03/2017 16:47:42,J1136-5525,3.0370307053233345,-0.9671630542779921,4.0,364,451.0,451.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:47:42,21/03/2017 17:05:17,J1028-5819,2.742203143091757,-1.0177926318099422,7.0,1045,1048.0,1048.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 17:05:17,21/03/2017 17:22:05,J1016-5819,2.6886869849024815,-1.0178122667640273,2.0,1410,1006.0,1006.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
