Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 16:42:55,1490067775000
Duration,  0 day, 3 hours, 42 minutes, 55 seconds,13375000
Slew time, 0 day, 0 hour, 5 minutes, 0 second,300000.0
Integration time, 0 day, 3 hours, 37 minutes, 55 seconds,1.3075E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.022429906542056073
Relative integration time, 0.9775700934579439
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:13:25,J1847-0402,4.919125986449196,-0.07032615143575517,65.0,597,740.0,740.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:13:25,21/03/2017 13:18:29,J1844-0538,4.904746662346532,-0.09815445673144253,4.0,255,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:18:29,21/03/2017 13:24:06,J1739-3131,4.62252663141084,-0.5499954260936698,37.0,529,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:24:06,21/03/2017 13:29:30,J1739-2903,4.623251961159148,-0.5070011792255139,2.0,322,322.0,322.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:29:30,21/03/2017 13:32:41,J1739-3023,4.62365353233121,-0.5302310267558773,1.0,135,190.0,190.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:32:41,21/03/2017 13:40:37,J1740-3015,4.627581977589243,-0.527751204777002,0.0,606,476.0,476.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:40:37,21/03/2017 13:46:01,J1745-3040,4.651033748582133,-0.535120372729867,0.0,367,324.0,324.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.131732106111232
21/03/2017 13:46:01,21/03/2017 13:56:10,J1749-3002,4.665373446438571,-0.524010867227242,0.0,609,609.0,609.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:56:10,21/03/2017 14:16:52,J1750-3157,4.6721968111492425,-0.557418893178819,2.0,910,1240.0,1240.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:16:52,21/03/2017 14:23:53,J1705-1906,4.475031401596625,-0.3331707490500087,19.0,298,402.0,402.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:23:53,21/03/2017 14:31:06,J1709-1640,4.491782366353361,-0.29060832572761713,1.0,653,432.0,432.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5130036468630474
21/03/2017 14:31:06,21/03/2017 14:45:07,J1733-2228,4.596501299713831,-0.39193792421938217,6.0,871,835.0,835.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:45:07,21/03/2017 14:49:03,J1757-2421,4.701432399661496,-0.4252426848568829,2.0,234,234.0,234.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:49:03,21/03/2017 14:54:03,J1801-2451,4.71675346706751,-0.4335809953582858,0.0,187,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:54:03,21/03/2017 15:01:42,J1816-2650,4.784776656555258,-0.467782176492158,3.0,592,456.0,456.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:01:42,21/03/2017 15:04:42,J1823-3106,4.816147953567742,-0.5425562025638845,4.0,284,176.0,176.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6109265784383757
21/03/2017 15:04:42,21/03/2017 15:11:02,J1817-3618,4.786985588889814,-0.6335351259266973,6.0,387,374.0,374.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0335215249434833
21/03/2017 15:11:02,21/03/2017 15:18:12,J1822-4209,4.809207920868779,-0.7356030471734241,5.0,456,425.0,425.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:18:12,21/03/2017 15:19:36,J1751-4657,4.676190342643962,-0.8193118500184227,7.0,742,617.0,77.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.073773139560457
21/03/2017 15:19:36,21/03/2017 15:29:43,J1650-4921,4.409508905316724,-0.8613011750883746,7.0,5293,incomplete,600.0,0,180,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-8  (PRN 16)
21/03/2017 15:29:43,21/03/2017 15:31:32,J1649-4653,4.4043747284337735,-0.818224897745375,2.0,1410,637.0,107.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.0069678049686066
21/03/2017 15:31:32,21/03/2017 15:36:33,J1637-4642,4.351234543254198,-0.8149960386291855,1.0,222,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:36:33,21/03/2017 15:51:51,J1638-4608,4.356267636484636,-0.8051223231997087,0.0,1244,918.0,918.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:51:51,21/03/2017 15:56:02,J1644-4559,4.384360237958581,-0.8025145104090204,1.0,455,incomplete,250.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 37 [+]
21/03/2017 15:56:02,21/03/2017 16:05:02,J1650-4502,4.409305283570657,-0.7857991043117258,0.0,1106,incomplete,540.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 16:05:02,21/03/2017 16:05:23,J1702-4310,4.461275370930876,-0.753206534971775,1.0,261,incomplete,20.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 16:05:23,21/03/2017 16:09:34,J1651-4246,4.414867793340869,-0.7463658139313195,1.0,844,incomplete,250.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 16:09:34,21/03/2017 16:09:44,J1653-4249,4.422971211613773,-0.7472758092107622,0.0,612,incomplete,10.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 4 [-]
21/03/2017 16:09:44,21/03/2017 16:13:44,J1651-4246,4.414867793340869,-0.7463658139313195,0.0,844,incomplete,240.0,0,5400,2,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 19 [+]
21/03/2017 16:13:44,21/03/2017 16:18:14,J1653-4249,4.422971211613773,-0.7472758092107622,0.0,612,incomplete,270.0,0,600,2,0,2,2,Aborted: Normal scintillation; interrupted by satellite COSMOS 2424 (715)
21/03/2017 16:18:14,21/03/2017 16:19:08,J1651-4246,4.414867793340869,-0.7463658139313195,0.0,844,544.0,54.0,0,5400,3,0,1,0,Completed: Shortened interval; scintillation of 2.273987075306811
21/03/2017 16:19:08,21/03/2017 16:24:08,J1653-4249,4.422971211613773,-0.7472758092107622,0.0,612,incomplete,300.0,0,600,3,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:24:08,21/03/2017 16:27:13,J1702-4128,4.463135601025293,-0.7234961829660205,1.0,182,184.0,184.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:27:13,21/03/2017 16:31:28,J1707-4053,4.482712959244913,-0.7132767953819126,0.0,581,incomplete,255.0,0,600,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:31:28,21/03/2017 16:31:33,J1646-4346,4.393233710041876,-0.7636882067573633,5.0,231,incomplete,0.0,0,600,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:31:33,21/03/2017 16:33:23,J1643-4505,4.379101633644374,-0.7866295901474666,1.0,1728,incomplete,109.0,0,600,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:33:23,21/03/2017 16:33:24,J1637-4553,4.354502672278558,-0.8006828843217886,1.0,118,incomplete,0.0,0,180,1,0,2,1,Aborted: Normal scintillation; observed until object set.
21/03/2017 16:33:24,21/03/2017 16:33:25,J1643-4505,4.379101633644374,-0.7866295901474666,1.0,1728,incomplete,0.0,0,600,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:33:25,21/03/2017 16:33:33,J1715-3903,4.517079364881308,-0.6815413766301635,8.0,640,incomplete,0.0,0,5400,3,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:33:33,21/03/2017 16:35:46,J1600-5044,4.192646727934829,-0.885362090230896,17.0,192,116.0,116.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6483634915600136
21/03/2017 16:35:46,21/03/2017 16:36:24,J1822-2256,4.812669054219589,-0.40011188288288896,38.0,1874,incomplete,0.0,0,5400,3,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:36:24,21/03/2017 16:42:43,J1602-5100,4.198884025627092,-0.8901082222434858,39.0,864,incomplete,340.0,0,180,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:42:43,21/03/2017 16:42:55,J1702-4310,4.461275370930876,-0.753206534971775,12.0,261,incomplete,0.0,0,600,4,0,1,1,Aborted: High scintillation; observed until object set.
