Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:44:20,1490089460000
Duration,  0 day, 9 hours, 44 minutes, 20 seconds,35060000
Slew time, 0 day, 0 hour, 10 minutes, 19 seconds,619000.0
Integration time, 0 day, 5 hours, 26 minutes, 1 second,1.9561E7
Waiting time, 0 day, 4 hours, 8 minutes, 0 second,1.488E7
Relative slew time, 0.017655447803764976
Relative integration time, 0.5579292641186537
Relative waiting time, 0.4244152880775813
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:10:11,J1136-5525,3.0370307053233345,-0.9671630542779921,194.0,364,417.0,417.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:11,21/03/2017 13:13:41,J1326-5859,3.5210759567483114,-1.029312289686786,10.0,477,incomplete,200.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:13:41,21/03/2017 13:14:10,J1302-6350,3.4155833552914583,-1.1140598300842457,5.0,47,24.0,24.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.9352150861186357
21/03/2017 13:14:10,21/03/2017 13:18:03,J1146-6030,3.0810689984537603,-1.0556362181299903,7.0,273,226.0,226.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:18:03,21/03/2017 13:24:45,J1157-6224,3.129610968274852,-1.0888388285248813,2.0,400,400.0,400.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:24:45,21/03/2017 13:25:53,J1326-5859,3.5210759567483114,-1.029312289686786,10.0,477,258.0,58.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:25:53,21/03/2017 13:32:58,J1356-5521,3.651414818181579,-0.9659769091257897,5.0,507,420.0,420.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:32:58,21/03/2017 13:34:13,J1359-6038,3.6650619839352356,-1.0582125180314064,4.0,127,71.0,71.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7912965954403282
21/03/2017 13:34:13,21/03/2017 13:37:23,J1119-6127,2.963736330606354,-1.0722648425783663,17.0,407,173.0,173.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.352645757176047
21/03/2017 13:37:23,21/03/2017 13:40:51,J1243-6423,3.3304633131502555,-1.123585522012738,7.0,388,201.0,201.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.926560005767176
21/03/2017 13:40:51,21/03/2017 13:44:45,J1123-6259,2.9841893350561106,-1.0992144715584107,8.0,432,226.0,226.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.9115805750289672
21/03/2017 13:44:45,21/03/2017 13:46:34,J1105-6107,2.9035130175457686,-1.0664378669451107,2.0,240,107.0,107.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:46:34,21/03/2017 14:10:46,J1056-6258,2.8641980217035528,-1.098744881026888,1.0,422,1451.0,1451.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:10:46,21/03/2017 14:15:19,J1317-6302,3.4808184831100193,-1.0998861324322198,12.0,261,261.0,261.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:15:19,21/03/2017 14:30:57,J1326-6700,3.5170711533355066,-1.1691233438588349,3.0,543,935.0,935.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:30:57,21/03/2017 14:48:32,J0924-5814,2.463168628929164,-1.0163323730024403,28.0,739,1027.0,1027.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:48:32,21/03/2017 15:06:53,J1028-5819,2.742203143091757,-1.0177926318099422,5.0,1045,1096.0,1096.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:06:53,21/03/2017 15:08:58,J0908-4913,2.3936848897457046,-0.8589613673006038,16.0,106,109.0,109.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:08:58,21/03/2017 15:19:50,J1016-5857,2.6893458466951095,-1.028812931595243,12.0,640,940.0,640.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:19:50,21/03/2017 15:37:49,J1016-5819,2.6886869849024815,-1.0178122667640273,1.0,1410,1078.0,1078.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:37:49,21/03/2017 15:38:55,J0954-5430,2.5922531804066646,-0.950945067017516,6.0,1045,incomplete,60.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 90 [S]
21/03/2017 15:38:55,21/03/2017 15:46:56,J0809-4753,2.1368567814326522,-0.8354544972328544,16.0,547,465.0,465.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:46:56,21/03/2017 15:55:59,J0842-4851,2.2780451912727337,-0.8524924983535592,3.0,644,540.0,540.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:55:59,21/03/2017 15:59:33,J0742-2822,2.0194228844886313,-0.4948795766822046,24.0,166,190.0,190.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:59:33,21/03/2017 16:04:45,J0738-4042,2.0007530247579957,-0.710150522840646,9.0,374,303.0,303.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2357442862687678
21/03/2017 16:04:45,21/03/2017 16:13:55,J0820-4114,2.1827851206988833,-0.7194809560590714,5.0,545,545.0,545.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:13:55,21/03/2017 16:36:36,J0834-4159,2.243933458263026,-0.7325001426515868,1.0,3754,incomplete,1360.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 920 [-]
21/03/2017 16:36:36,21/03/2017 16:46:04,J0837-4135,2.25737844216725,-0.725696412895,2.0,751,566.0,566.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:46:04,21/03/2017 17:09:59,J0834-4159,2.243933458263026,-0.7325001426515868,2.0,3754,2793.0,1433.0,0,600,2,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:09:59,21/03/2017 17:15:27,J0857-4424,2.3471157964778353,-0.7748761551135918,2.0,326,326.0,326.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:15:27,21/03/2017 17:26:56,J0901-4624,2.363475422055248,-0.8095976382900308,1.0,640,688.0,688.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
