Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 04:33:01,1490110381000
Duration,  0 day, 15 hours, 33 minutes, 1 second,55981000
Slew time, 0 day, 0 hour, 13 minutes, 3 seconds,783000.0
Integration time, 0 day, 15 hours, 19 minutes, 58 seconds,5.5198E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.013986888408567192
Relative integration time, 0.9860131115914328
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:23:05,J2346-0609,6.22576790177979,-0.1070492848573911,52.0,1181,1333.0,1333.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:23:05,21/03/2017 13:45:05,J0034-0721,0.1489980528388499,-0.12802276588263942,7.0,942,1313.0,1313.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:05,21/03/2017 13:59:37,J0152-1637,0.4894814866238058,-0.2897586412701045,22.0,832,850.0,850.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:59:37,21/03/2017 14:01:49,J0134-2937,0.4115100222105625,-0.5168263648055116,13.0,136,119.0,119.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1474894264295812
21/03/2017 14:01:49,21/03/2017 14:12:38,J0206-4028,0.5498709259403609,-0.70625557820798,19.0,630,630.0,630.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:12:38,21/03/2017 14:20:59,J0255-5304,0.767670054242368,-0.9260845001893726,18.0,447,483.0,483.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:20:59,21/03/2017 14:29:09,J0448-2749,1.2596598989783194,-0.4852658183485387,25.0,450,465.0,465.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:29:09,21/03/2017 14:38:08,J0452-1759,1.2765705904504334,-0.3137550713449015,9.0,548,incomplete,530.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 914 [-]
21/03/2017 14:38:08,21/03/2017 15:12:41,J0630-2834,1.705288809539468,-0.49837499212955094,20.0,1244,2053.0,2053.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 15:12:41,21/03/2017 15:15:54,J0738-4042,2.0007530247579957,-0.710150522840646,13.0,374,incomplete,180.0,0,1800,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite IRIDIUM 10 [+]
21/03/2017 15:15:54,21/03/2017 15:25:04,J0820-4114,2.1827851206988833,-0.7194809560590714,5.0,545,545.0,545.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:25:04,21/03/2017 16:23:00,J0834-4159,2.243933458263026,-0.7325001426515868,1.0,3754,3475.0,3475.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:23:00,21/03/2017 16:26:54,J0857-4424,2.3471157964778353,-0.7748761551135918,6.0,326,228.0,228.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4291263148236222
21/03/2017 16:26:54,21/03/2017 16:35:55,J0901-4624,2.363475422055248,-0.8095976382900308,1.0,640,incomplete,540.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 920 [-]
21/03/2017 16:35:55,21/03/2017 17:04:27,J0855-4644,2.337008958389797,-0.8155855720654147,2.0,3388,incomplete,1710.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-2  (PRN 13)
21/03/2017 17:04:27,21/03/2017 17:06:29,J0901-4624,2.363475422055248,-0.8095976382900308,2.0,640,incomplete,120.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-2  (PRN 13)
21/03/2017 17:06:29,21/03/2017 17:57:31,J0855-4644,2.337008958389797,-0.8155855720654147,1.0,3388,4771.0,3061.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:57:31,21/03/2017 17:59:48,J0901-4624,2.363475422055248,-0.8095976382900308,6.0,640,791.0,131.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:59:48,21/03/2017 18:01:51,J0908-4913,2.3936848897457046,-0.8589613673006038,3.0,106,120.0,120.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:01:51,21/03/2017 18:08:12,J0905-5127,2.3817869802348595,-0.8977357474070141,1.0,346,incomplete,380.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0213 (PRN E04)
21/03/2017 18:08:12,21/03/2017 18:12:00,J0907-5157,2.3878940327316918,-0.9064112943049969,0.0,253,228.0,228.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:12:00,21/03/2017 18:16:16,J0742-2822,2.0194228844886313,-0.4948795766822046,31.0,166,225.0,225.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:16:16,21/03/2017 18:26:28,J0729-1448,1.9603283631217727,-0.2581303178605125,16.0,276,596.0,596.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:26:28,21/03/2017 18:31:31,J0729-1836,1.9614847164732712,-0.324423983022271,3.0,510,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 18:31:31,21/03/2017 18:57:02,J0820-1350,2.1835800963565513,-0.24116640111841794,11.0,1238,1520.0,1520.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:57:02,21/03/2017 19:02:10,J0543+2329,1.4973223286090653,0.40988572669405726,63.0,245,245.0,245.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:02:10,21/03/2017 19:07:34,J0614+2229,1.633130761029874,0.3928736146239236,6.0,334,318.0,318.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:07:34,21/03/2017 19:09:43,J0631+1036,1.708060945588286,0.1853079092620924,10.0,287,119.0,119.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:09:43,21/03/2017 19:15:45,J0627+0706,1.6918185479589658,0.12407981984740686,3.0,475,359.0,359.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.32338115622801
21/03/2017 19:15:45,21/03/2017 19:22:47,J0659+1414,1.831732794723039,0.24852276514196478,9.0,384,413.0,413.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:22:47,21/03/2017 19:42:03,J0624-0424,1.6769725591753457,-0.07654989858563074,20.0,1039,1136.0,1136.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 19:42:03,21/03/2017 19:51:01,J0601-0527,1.579448949277968,-0.09487532243652198,11.0,395,527.0,527.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:51:01,21/03/2017 19:54:38,J0525+1115,1.4221850534626992,0.19644204329971776,26.0,354,191.0,191.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8549630014131084
21/03/2017 19:54:38,21/03/2017 20:05:39,J0452-1759,1.2765705904504334,-0.3137550713449015,30.0,548,1161.0,631.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:05:39,21/03/2017 20:09:58,J0729-1836,1.9614847164732712,-0.324423983022271,69.0,510,490.0,190.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 2.688939139561061
21/03/2017 20:09:58,21/03/2017 20:11:37,J0820-3826,2.1860199430233505,-0.6705803210766942,35.0,124,64.0,64.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.947528856686324
21/03/2017 20:11:37,21/03/2017 20:47:20,J0837-4135,2.25737844216725,-0.725696412895,5.0,751,2138.0,2138.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 20:47:20,21/03/2017 20:48:15,J0835-4510,2.2486103217937075,-0.7881379662280048,6.0,89,49.0,49.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8023222776935146
21/03/2017 20:48:15,21/03/2017 21:01:31,J0809-4753,2.1368567814326522,-0.8354544972328544,5.0,547,791.0,791.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:01:31,21/03/2017 21:16:17,J0842-4851,2.2780451912727337,-0.8524924983535592,3.0,644,883.0,883.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:16:17,21/03/2017 21:16:34,J0905-5127,2.3817869802348595,-0.8977357474070141,3.0,346,394.0,14.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:16:34,21/03/2017 21:23:58,J0940-5428,2.5349612932689074,-0.9504258315650477,5.0,311,439.0,439.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 21:23:58,21/03/2017 21:50:23,J0954-5430,2.5922531804066646,-0.950945067017516,0.0,1045,1585.0,1585.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
