Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 20:37:56,1490081876000
Duration,  0 day, 7 hours, 37 minutes, 56 seconds,27476000
Slew time, 0 day, 0 hour, 8 minutes, 4 seconds,484000.0
Integration time, 0 day, 7 hours, 29 minutes, 52 seconds,2.6992E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.017615373416800115
Relative integration time, 0.9823846265831999
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:14:07,J1913-0440,5.034851176966692,-0.08121753926324903,60.0,825,787.0,787.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:14:07,21/03/2017 13:25:39,J1847-0402,4.919125986449196,-0.07032615143575517,8.0,597,684.0,684.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:25:39,21/03/2017 13:27:23,J1844-0538,4.904746662346532,-0.09815445673144253,4.0,255,100.0,100.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.548703207649819
21/03/2017 13:27:23,21/03/2017 13:28:30,J1833-0827,4.8593093423765295,-0.14732881751817412,4.0,85,63.0,63.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:28:30,21/03/2017 13:40:33,J1832-0827,4.854707490915438,-0.14746267457552845,0.0,647,723.0,723.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:33,21/03/2017 13:44:24,J1830-1059,4.846747771417612,-0.19156006649368096,4.0,405,227.0,227.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7806153741522104
21/03/2017 13:44:24,21/03/2017 13:55:27,J1820-0427,4.803481131982726,-0.07748234073850871,6.0,598,657.0,657.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:55:27,21/03/2017 14:01:26,J1900-2600,4.977648628870023,-0.4535732571261997,18.0,612,341.0,341.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7953204062146182
21/03/2017 14:01:26,21/03/2017 14:08:11,J1852-2610,4.943606345420133,-0.45663291626768204,2.0,336,403.0,403.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:08:11,21/03/2017 14:18:49,J1816-2650,4.784776656555258,-0.467782176492158,8.0,592,630.0,630.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:18:49,21/03/2017 14:26:34,J1749-3002,4.665373446438571,-0.524010867227242,7.0,609,458.0,458.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3286199182704321
