Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:25:33,1490088333000
Duration,  0 day, 9 hours, 25 minutes, 33 seconds,33933000
Slew time, 0 day, 0 hour, 6 minutes, 22 seconds,382000.0
Integration time, 0 day, 7 hours, 52 minutes, 11 seconds,2.8331E7
Waiting time, 0 day, 1 hour, 27 minutes, 0 second,5220000.0
Relative slew time, 0.011257477971296379
Relative integration time, 0.8349099696460672
Relative waiting time, 0.15383255238263638
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:36:51,J2346-0609,6.22576790177979,-0.1070492848573911,52.0,1181,2159.0,2159.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:36:51,21/03/2017 14:04:33,J2330-2005,6.154240745652506,-0.3503766411484817,19.0,1643,1643.0,1643.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:33,21/03/2017 14:06:35,J0134-2937,0.4115100222105625,-0.5168263648055116,42.0,136,80.0,80.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.6944234338720272
21/03/2017 14:06:35,21/03/2017 14:12:32,J0206-4028,0.5498709259403609,-0.70625557820798,19.0,630,338.0,338.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8652311953088643
21/03/2017 14:12:32,21/03/2017 14:19:14,J0255-5304,0.767670054242368,-0.9260845001893726,18.0,447,384.0,384.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:19:14,21/03/2017 14:23:28,J0401-7608,1.0553191499825445,-1.3287104328970232,29.0,545,225.0,225.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.4250075296435165
21/03/2017 14:23:28,21/03/2017 14:26:43,J0536-7543,1.4683156836614413,-1.3212302426111842,5.0,1245,incomplete,190.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 61 [+]
21/03/2017 14:26:43,21/03/2017 14:36:14,J0904-7459,2.3744331808756853,-1.3084985505315665,10.0,549,561.0,561.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:36:14,21/03/2017 14:41:23,J1047-6709,2.825126790180199,-1.171741017759797,9.0,198,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:41:23,21/03/2017 15:25:51,J1056-6258,2.8641980217035528,-1.098744881026888,4.0,422,2664.0,2664.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:25:51,21/03/2017 15:30:40,J1123-6259,2.9841893350561106,-1.0992144715584107,1.0,432,288.0,288.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5000768880783815
21/03/2017 15:30:40,21/03/2017 15:36:44,J1115-6052,2.949146832500725,-1.0622374412119777,1.0,938,363.0,363.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.5850596117564097
21/03/2017 15:36:44,21/03/2017 15:41:07,J1119-6127,2.963736330606354,-1.0722648425783663,0.0,407,263.0,263.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5493310584638753
21/03/2017 15:41:07,21/03/2017 15:41:40,J1112-6103,2.933230156943058,-1.065372731287713,1.0,69,32.0,32.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1272184364973237
21/03/2017 15:41:40,21/03/2017 15:44:17,J1105-6107,2.9035130175457686,-1.0664378669451107,0.0,240,157.0,157.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:44:17,21/03/2017 18:38:10,J1055-6022,2.8615036696707863,-1.0533449886730666,1.0,5293,10432.0,10432.0,0,1800,1,0,3,0,Completed incrementally checking scint every 1800 seconds.
21/03/2017 18:38:10,21/03/2017 18:43:55,J1349-6130,3.6198601379701474,-1.073294586837043,1.0,402,344.0,344.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:43:55,21/03/2017 18:50:04,J1357-62,3.653919511102295,-1.0902490060791246,0.0,455,369.0,369.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 18:50:04,21/03/2017 18:51:17,J1359-6038,3.6650619839352356,-1.0582125180314064,1.0,127,72.0,72.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7695815319106742
21/03/2017 18:51:17,21/03/2017 18:51:48,J1410-6132,3.7105699897399442,-1.073959266393844,1.0,50,30.0,30.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.6603272255192838
21/03/2017 18:51:48,21/03/2017 19:02:01,J1412-6145,3.718110539329081,-1.0776011867663389,0.0,613,613.0,613.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:02:01,21/03/2017 19:04:48,J1420-6048,3.753056903331503,-1.061080530324746,0.0,167,167.0,167.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 19:04:48,21/03/2017 19:10:39,J1413-6141,3.7226323965327905,-1.0765142344932912,1.0,364,350.0,350.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:10:39,21/03/2017 19:21:58,J1401-6357,3.6733712056157724,-1.1159172724999964,2.0,842,677.0,677.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:21:58,21/03/2017 19:33:40,J1357-6429,3.652278174384899,-1.1253000655959817,1.0,700,701.0,701.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
