Start time,  21/03/2017 13:00:00,1490054400000
End time,  22/03/2017 16:28:01,1490153281000
Duration,  1 day, 3 hours, 28 minutes, 1 second,98881000
Slew time, 0 day, 0 hour, 26 minutes, 22 seconds,1582000.0
Integration time, 0 day, 8 hours, 52 minutes, 39 seconds,3.1959E7
Waiting time, 0 day, 18 hours, 9 minutes, 0 second,6.534E7
Relative slew time, 0.0159990291360322
Relative integration time, 0.32320668278031167
Relative waiting time, 0.6607942880836561
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:45,J1853-0004,4.945319022470706,0.0013201476536612666,60.0,179,105.0,105.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:02:45,21/03/2017 13:10:57,J1845-0434,4.911262630942696,-0.07955889469743707,6.0,486,486.0,486.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:10:57,21/03/2017 13:12:42,J1809-1917,4.754796626939387,-0.3363729434137372,23.0,82,82.0,82.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:12:42,21/03/2017 13:16:26,J1806-2125,4.739993544166545,-0.37359742266300844,3.0,481,221.0,221.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.1791210214750434
21/03/2017 13:16:26,21/03/2017 13:18:46,J1941-2602,5.15311421438849,-0.45433950514919336,20.0,402,120.0,120.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.3578157897880505
21/03/2017 13:18:46,21/03/2017 13:23:07,J1829-1751,4.842062362318582,-0.3115223637474246,18.0,307,243.0,243.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:23:07,21/03/2017 13:29:58,J1817-3618,4.786985588889814,-0.6335351259266973,24.0,387,387.0,387.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:29:58,21/03/2017 13:33:05,J1707-4729,4.482263464240472,-0.8285732457686581,17.0,266,170.0,170.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:33:05,21/03/2017 13:38:16,J1544-5308,4.123329013196465,-0.9271261708646045,11.0,178,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:38:16,21/03/2017 13:45:22,J1326-5859,3.5210759567483114,-1.029312289686786,17.0,477,409.0,409.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:45:22,21/03/2017 13:51:37,J1349-6130,3.6198601379701474,-1.073294586837043,3.0,402,372.0,372.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:51:37,21/03/2017 13:54:44,J1341-6220,3.5853884308022166,-1.0878215439778092,1.0,193,186.0,186.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:54:44,21/03/2017 14:04:59,J1412-6145,3.718110539329081,-1.0776011867663389,2.0,613,613.0,613.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:04:59,21/03/2017 14:08:07,J1413-6141,3.7226323965327905,-1.0765142344932912,0.0,364,188.0,188.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:08:07,21/03/2017 14:11:09,J1548-5607,4.1396322791834494,-0.9792562467395884,12.0,170,170.0,170.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:11:09,21/03/2017 14:13:09,J1452-6036,3.895858361010688,-1.057517537619536,8.0,154,112.0,112.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3798362708511263
21/03/2017 14:13:09,21/03/2017 14:16:03,J1524-5625,4.035336493627919,-0.9845431399320879,5.0,196,169.0,169.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:16:03,21/03/2017 14:18:54,J1420-6048,3.753056903331503,-1.061080530324746,9.0,167,162.0,162.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:18:54,21/03/2017 14:20:22,J1359-6038,3.6650619839352356,-1.0582125180314064,2.0,127,86.0,86.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.479310166953199
21/03/2017 14:20:22,21/03/2017 14:27:39,J1531-5610,4.064283506492767,-0.9800266156788715,11.0,376,426.0,426.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:27:39,21/03/2017 14:29:04,J1637-4553,4.354502672278558,-0.8006828843217886,14.0,118,71.0,71.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.656833255024904
21/03/2017 14:29:04,21/03/2017 14:35:02,J1530-5327,4.059844552428529,-0.9326055350885045,12.0,389,346.0,346.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.1252066505803793
21/03/2017 14:35:02,21/03/2017 14:40:17,J1157-6224,3.129610968274852,-1.0888388285248813,29.0,400,286.0,286.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.399622290101499
21/03/2017 14:40:17,21/03/2017 14:46:42,J1305-6203,3.4267285479291503,-1.0828720811073618,7.0,427,378.0,378.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:46:42,21/03/2017 14:50:52,J1707-4053,4.482712959244913,-0.7132767953819126,40.0,581,incomplete,210.0,0,600,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:50:52,21/03/2017 14:55:08,J1719-4006,4.533617959429102,-0.699588565909466,1.0,189,255.0,255.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:55:08,21/03/2017 14:57:42,J1803-2137,4.72921762683755,-0.37724636798574257,21.0,133,133.0,133.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:57:42,21/03/2017 15:03:52,J1722-3207,4.54679759510938,-0.5603219575013029,14.0,477,356.0,356.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3408554557396124
21/03/2017 15:03:52,21/03/2017 15:05:00,J1709-4429,4.49296676860038,-0.7763406802814875,12.0,102,56.0,56.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:05:00,21/03/2017 15:07:55,J1737-3137,4.61234452599881,-0.5517131209658409,14.0,450,161.0,161.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.795034173578299
21/03/2017 15:07:55,21/03/2017 15:12:23,J1640-4715,4.3642823338538985,-0.824496932337889,19.0,517,249.0,249.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.078258103043702
21/03/2017 15:12:23,21/03/2017 15:20:34,J1751-4657,4.676190342643962,-0.8193118500184227,9.0,742,482.0,482.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.540037108081837
21/03/2017 15:20:34,21/03/2017 15:22:42,J1733-3716,4.596524861658733,-0.6501613263066677,8.0,337,incomplete,120.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite BEIDOU-3 M2
21/03/2017 15:22:42,21/03/2017 15:30:09,J1900-2600,4.977648628870023,-0.4535732571261997,19.0,612,428.0,428.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4304468317991024
21/03/2017 15:30:09,21/03/2017 15:31:48,J1824-1945,4.8171418603991105,-0.34445187859574644,11.0,189,388.0,88.0,0,180,2,0,1,0,Completed: Shortened interval; scintillation of 2.1574507960970295
21/03/2017 15:31:48,21/03/2017 15:38:34,J1835-0643,4.86550969726629,-0.1171969200166948,12.0,305,394.0,394.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:38:34,21/03/2017 15:47:09,J1720-2933,4.540337113439018,-0.5156662541479846,29.0,620,486.0,486.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:47:09,21/03/2017 16:00:31,J1832-0827,4.854707490915438,-0.14746267457552845,25.0,647,777.0,777.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:00:31,21/03/2017 16:03:08,J1847-0402,4.919125986449196,-0.07032615143575517,3.0,597,985.0,154.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:03:08,21/03/2017 16:07:40,J1630-4733,4.322414793980642,-0.8298798186392482,52.0,575,incomplete,220.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2424 (715)
21/03/2017 16:07:40,21/03/2017 16:22:14,J1401-6357,3.6733712056157724,-1.1159172724999964,26.0,842,848.0,848.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:22:14,21/03/2017 16:29:50,J1357-6429,3.652278174384899,-1.1253000655959817,2.0,700,454.0,454.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:29:50,21/03/2017 16:45:53,J1028-5819,2.742203143091757,-1.0177926318099422,25.0,1045,938.0,938.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 16:45:53,21/03/2017 16:50:59,J1352-6803,3.6327901188453393,-1.1875166901064496,22.0,628,284.0,284.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.214938132463169
21/03/2017 16:50:59,21/03/2017 17:02:04,J1016-5857,2.6893458466951095,-1.028812931595243,25.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:02:04,21/03/2017 17:20:23,J0152-1637,0.4894814866238058,-0.2897586412701045,154.0,832,995.0,945.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:20:23,21/03/2017 17:21:37,J0614+2229,1.633130761029874,0.3928736146239236,64.0,334,incomplete,10.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GSAT0102 (PRN E12)
21/03/2017 17:21:37,21/03/2017 17:44:47,J1646-6831,4.393488237224458,-1.1955941708474156,138.0,1785,1252.0,1252.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.42609929087303
21/03/2017 17:44:47,21/03/2017 17:55:24,J1001-5507,2.6251191846627617,-0.961934823540907,47.0,1436,incomplete,590.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 38 [-]
21/03/2017 17:55:24,21/03/2017 18:03:25,J0614+2229,1.633130761029874,0.3928736146239236,97.0,334,394.0,384.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:03:25,21/03/2017 19:11:34,J0343-3000,0.9750529121243688,-0.5234654518359938,63.0,2597,4026.0,4026.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:11:34,21/03/2017 20:21:36,J0855-4644,2.337008958389797,-0.8155855720654147,49.0,3388,4153.0,4153.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 20:21:36,21/03/2017 20:41:58,J1049-5833,2.8354575394668577,-1.0216740501409052,15.0,2202,1207.0,1207.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8250024052665603
21/03/2017 20:41:58,21/03/2017 21:32:52,J1156-5707,3.1246811403584895,-0.9968646796374868,6.0,3754,3048.0,3048.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.2316687052534432
21/03/2017 21:32:52,21/03/2017 21:37:35,J1356-5521,3.651414818181579,-0.9659769091257897,9.0,507,994.0,274.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 21:37:35,21/03/2017 21:49:49,J1536-5433,4.084420969958173,-0.9520043849107402,9.0,881,725.0,725.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2153679534547468
21/03/2017 21:49:49,21/03/2017 22:02:46,J1602-5100,4.198884025627092,-0.8901082222434858,4.0,864,773.0,773.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:02:46,21/03/2017 22:06:06,J1604-4909,4.20791603178411,-0.8575464870536535,2.0,327,198.0,198.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 22:39:06,21/03/2017 23:17:26,J1557-4258,4.175718997685893,-0.7498484245282018,9.0,329,311.0,311.0,2400,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.057001985079697Waited for more observables to rise above the horizon. 
22/03/2017 16:20:26,23/03/2017 09:57:01,J1633-4453,4.33620129518625,-0.7833241304696617,213.0,436,553.0,242.0,62940,20,5,0,3,0,Completed incrementally checking scint every 20 seconds.
