Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:36:04,1490088964000
Duration,  0 day, 9 hours, 36 minutes, 4 seconds,34564000
Slew time, 0 day, 0 hour, 16 minutes, 49 seconds,1009000.0
Integration time, 0 day, 5 hours, 53 minutes, 15 seconds,2.1195E7
Waiting time, 0 day, 3 hours, 26 minutes, 0 second,1.236E7
Relative slew time, 0.029192223122323804
Relative integration time, 0.6132102765883578
Relative waiting time, 0.35759750028931836
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:08:55,J1845-0434,4.911262630942696,-0.07955889469743707,66.0,486,469.0,469.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.035882520866812
21/03/2017 13:08:55,21/03/2017 13:15:54,J1841-0425,4.891697053695527,-0.07699083662859986,2.0,186,417.0,417.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:15:54,21/03/2017 13:16:42,J1828-1101,4.835932765985578,-0.19203033576435724,10.0,72,38.0,38.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.9096345303094662
21/03/2017 13:16:42,21/03/2017 13:19:45,J1853-0004,4.945319022470706,0.0013201476536612666,15.0,179,168.0,168.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:19:45,21/03/2017 13:28:20,J1722-3632,4.547296613831346,-0.6373685477032304,51.0,399,464.0,464.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:28:20,21/03/2017 13:33:31,J1707-4729,4.482263464240472,-0.8285732457686581,13.0,266,298.0,298.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:33:31,21/03/2017 13:36:19,J1604-4909,4.20791603178411,-0.8575464870536535,9.0,327,159.0,159.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:36:19,21/03/2017 13:38:24,J1452-6036,3.895858361010688,-1.057517537619536,16.0,154,109.0,109.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.412961736074018
21/03/2017 13:38:24,21/03/2017 13:39:36,J1512-5759,3.9824796335635835,-1.011710159366742,3.0,128,69.0,69.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.8484433749820308
21/03/2017 13:39:36,21/03/2017 13:44:57,J1306-6617,3.4323492353410936,-1.1567567164810928,16.0,473,305.0,305.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:44:57,21/03/2017 13:47:58,J1157-6224,3.129610968274852,-1.0888388285248813,6.0,400,175.0,175.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.291173347306769
