Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:36:06,1490088966000
Duration,  0 day, 9 hours, 36 minutes, 6 seconds,34566000
Slew time, 0 day, 0 hour, 18 minutes, 49 seconds,1129000.0
Integration time, 0 day, 6 hours, 0 minute, 17 seconds,2.1617E7
Waiting time, 0 day, 3 hours, 17 minutes, 0 second,1.182E7
Relative slew time, 0.03266215356130302
Relative integration time, 0.6253833246542846
Relative waiting time, 0.34195452178441244
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:06:44,J1835-0643,4.86550969726629,-0.1171969200166948,70.0,305,334.0,334.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:06:44,21/03/2017 13:09:27,J1835-1106,4.866435158102161,-0.19365834010552305,5.0,165,158.0,158.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0467076184126791
21/03/2017 13:09:27,21/03/2017 13:17:57,J1722-3207,4.54679759510938,-0.5603219575013029,33.0,477,477.0,477.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:17:57,21/03/2017 13:19:19,J1757-2421,4.701432399661496,-0.4252426848568829,11.0,234,71.0,71.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 3.291667976906939
21/03/2017 13:19:19,21/03/2017 13:25:34,J1745-3040,4.651033748582133,-0.535120372729867,8.0,367,367.0,367.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:25:34,21/03/2017 13:29:18,J1534-5405,4.07778653713903,-0.9437397660888661,35.0,289,189.0,189.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5304402475139347
21/03/2017 13:29:18,21/03/2017 13:35:44,J1531-5610,4.064283506492767,-0.9800266156788715,2.0,376,384.0,384.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:44,21/03/2017 13:39:15,J1524-5625,4.035336493627919,-0.9845431399320879,1.0,196,210.0,210.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:39:15,21/03/2017 13:44:25,J1359-6038,3.6650619839352356,-1.0582125180314064,10.0,127,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:44:25,21/03/2017 13:53:17,J1357-62,3.653919511102295,-1.0902490060791246,1.0,455,531.0,531.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:53:17,21/03/2017 13:56:02,J1341-6220,3.5853884308022166,-1.0878215439778092,2.0,193,163.0,163.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:56:02,21/03/2017 14:06:17,J1412-6145,3.718110539329081,-1.0776011867663389,2.0,613,613.0,613.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:06:17,21/03/2017 14:11:22,J1327-6301,3.521744999628243,-1.0997737041395705,5.0,196,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:11:22,21/03/2017 14:16:27,J1243-6423,3.3304633131502555,-1.123585522012738,5.0,388,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:16:27,21/03/2017 14:20:56,J1157-6224,3.129610968274852,-1.0888388285248813,4.0,400,265.0,265.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.5122364932002839
21/03/2017 14:20:56,21/03/2017 14:24:52,J1123-6259,2.9841893350561106,-1.0992144715584107,4.0,432,232.0,232.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.86099706310305
21/03/2017 14:24:52,21/03/2017 14:28:49,J1056-6258,2.8641980217035528,-1.098744881026888,3.0,422,234.0,234.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:28:49,21/03/2017 14:32:25,J1146-6030,3.0810689984537603,-1.0556362181299903,5.0,273,211.0,211.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:32:25,21/03/2017 14:35:07,J1119-6127,2.963736330606354,-1.0722648425783663,3.0,407,159.0,159.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.5639788816587106
21/03/2017 14:35:07,21/03/2017 14:44:25,J1806-2125,4.739993544166545,-0.37359742266300844,77.0,481,781.0,481.0,0,600,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:44:25,21/03/2017 14:48:05,J1837-0559,4.87555275811458,-0.10429166463924004,16.0,542,204.0,204.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.6607743371824966
21/03/2017 14:48:05,21/03/2017 14:53:07,J1842-0905,4.897258472634954,-0.15841480955726533,2.0,344,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:53:07,21/03/2017 14:54:19,J1841-0425,4.891697053695527,-0.07699083662859986,3.0,186,149.0,69.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:54:19,21/03/2017 15:07:06,J1752-2806,4.681750423497631,-0.49025668430735275,27.0,562,740.0,740.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:07:06,21/03/2017 15:18:21,J1832-0827,4.854707490915438,-0.14746267457552845,20.0,647,655.0,655.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:18:21,21/03/2017 15:21:29,J1842-0905,4.897258472634954,-0.15841480955726533,0.0,344,488.0,188.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.8298755752267775
21/03/2017 15:21:29,21/03/2017 15:26:53,J1852-0635,4.943454574497262,-0.1146244986247276,3.0,524,321.0,321.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:26:53,21/03/2017 15:37:38,J1708-3426,4.489698057799603,-0.6007617210836926,37.0,692,608.0,608.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:37:38,21/03/2017 15:42:12,J1559-4438,4.187446746757646,-0.778776084707186,17.0,257,257.0,257.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:42:12,21/03/2017 15:44:21,J1544-5308,4.123329013196465,-0.9271261708646045,7.0,178,122.0,122.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4620038757856424
21/03/2017 15:44:21,21/03/2017 15:44:36,J1356-5521,3.651414818181579,-0.9659769091257897,15.0,507,incomplete,0.0,0,60,2,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:44:36,21/03/2017 15:58:13,J0924-5814,2.463168628929164,-1.0163323730024403,34.0,739,783.0,783.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:58:13,21/03/2017 16:02:08,J1105-6107,2.9035130175457686,-1.0664378669451107,11.0,240,224.0,224.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:02:08,21/03/2017 16:23:52,J0152-1637,0.4894814866238058,-0.2897586412701045,123.0,832,1181.0,1181.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:23:52,21/03/2017 16:28:00,J0631+1036,1.708060945588286,0.1853079092620924,65.0,287,183.0,183.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:28:00,21/03/2017 16:35:58,J0627+0706,1.6918185479589658,0.12407981984740686,3.0,475,475.0,475.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:35:58,21/03/2017 16:40:48,J1019-5749,2.7046887452611825,-1.0090625918542027,79.0,211,511.0,211.0,0,180,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:40:48,21/03/2017 16:46:05,J1243-6423,3.3304633131502555,-1.123585522012738,17.0,388,incomplete,300.0,0,5400,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 16:46:05,21/03/2017 16:49:15,J1456-6843,3.9095490145515406,-1.1991417949589347,12.0,263,178.0,178.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4801122217551155
21/03/2017 16:49:15,21/03/2017 17:00:41,J1401-6357,3.6733712056157724,-1.1159172724999964,5.0,842,681.0,681.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:00:41,21/03/2017 17:03:30,J1327-6301,3.521744999628243,-1.0997737041395705,5.0,196,464.0,164.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.1972556082190435
21/03/2017 17:03:30,21/03/2017 17:06:14,J1327-6222,3.5224671296062557,-1.0882874499253554,0.0,529,834.0,164.0,0,20,2,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:06:14,21/03/2017 17:11:17,J1515-5720,3.9931169790221768,-1.0004178791063387,13.0,3388,incomplete,290.0,0,600,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 12 [+]
21/03/2017 17:11:17,21/03/2017 17:14:15,J1650-4921,4.409508905316724,-0.8613011750883746,15.0,5293,incomplete,163.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 17:14:15,21/03/2017 17:42:15,J0536-7543,1.4683156836614413,-1.3212302426111842,41.0,1245,1639.0,1639.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 17:42:15,21/03/2017 17:55:39,J0954-5430,2.5922531804066646,-0.950945067017516,24.0,1045,incomplete,780.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 38 [-]
21/03/2017 17:55:39,21/03/2017 17:59:28,J0834-4159,2.243933458263026,-0.7325001426515868,19.0,3754,incomplete,210.0,0,600,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 17 [-]
21/03/2017 17:59:28,21/03/2017 18:14:41,J0630-2834,1.705288809539468,-0.49837499212955094,25.0,1244,888.0,888.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:14:41,21/03/2017 18:55:46,J0343-3000,0.9750529121243688,-0.5234654518359938,38.0,2597,2427.0,2427.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:55:46,21/03/2017 19:19:06,J2330-2005,6.154240745652506,-0.3503766411484817,167.0,1643,1233.0,1233.0,11820,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3328005414489177Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
