Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 19:51:48,1490079108000
Duration,  0 day, 6 hours, 51 minutes, 48 seconds,24708000
Slew time, 0 day, 0 hour, 16 minutes, 33 seconds,993000.0
Integration time, 0 day, 6 hours, 35 minutes, 15 seconds,2.3715E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04018941233608548
Relative integration time, 0.9598105876639145
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:25,J1809-1917,4.754796626939387,-0.3363729434137372,88.0,82,57.0,57.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.4354343533178442
21/03/2017 13:02:25,21/03/2017 13:09:18,J1722-3207,4.54679759510938,-0.5603219575013029,20.0,477,393.0,393.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.212695327985954
21/03/2017 13:09:18,21/03/2017 13:16:18,J1648-4611,4.399831054614415,-0.8059736560237369,18.0,402,402.0,402.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:16:18,21/03/2017 13:18:47,J1702-4310,4.461275370930876,-0.753206534971775,3.0,261,146.0,146.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.784387711366426
21/03/2017 13:18:47,21/03/2017 13:22:46,J1633-5015,4.3327873584472965,-0.8769886792189808,9.0,352,incomplete,230.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2465 (737)
21/03/2017 13:22:46,21/03/2017 13:30:24,J1424-5822,3.7722462894028164,-1.0184190110859357,17.0,366,441.0,441.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:30:24,21/03/2017 13:40:49,J1531-5610,4.064283506492767,-0.9800266156788715,6.0,376,619.0,619.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:40:49,21/03/2017 13:44:26,J1524-5625,4.035336493627919,-0.9845431399320879,1.0,196,216.0,216.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:44:26,21/03/2017 13:51:13,J1157-6224,3.129610968274852,-1.0888388285248813,24.0,400,383.0,383.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0443376509689737
21/03/2017 13:51:13,21/03/2017 14:04:14,J1319-6056,3.4877707112971295,-1.0632610283369042,8.0,284,773.0,773.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:04:14,21/03/2017 14:07:02,J1048-5832,2.8283205972672447,-1.02157126964051,19.0,123,149.0,149.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:07:02,21/03/2017 14:08:34,J1359-6038,3.6650619839352356,-1.0582125180314064,21.0,127,71.0,71.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.7803820657504916
21/03/2017 14:08:34,21/03/2017 14:13:39,J1352-6803,3.6327901188453393,-1.1875166901064496,5.0,628,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:13:39,21/03/2017 14:16:37,J1453-6413,3.898828256899113,-1.1207166855361403,7.0,179,171.0,171.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0460143472126258
21/03/2017 14:16:37,21/03/2017 14:30:41,J0942-5552,2.540605251737544,-0.9748037178922785,34.0,664,810.0,810.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:30:41,21/03/2017 14:34:14,J1056-6258,2.8641980217035528,-1.098744881026888,8.0,422,205.0,205.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:34:14,21/03/2017 14:40:28,J1644-4559,4.384360237958581,-0.8025145104090204,48.0,455,326.0,326.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:40:28,21/03/2017 14:47:33,J1243-6423,3.3304633131502555,-1.123585522012738,37.0,388,388.0,388.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:47:33,21/03/2017 14:59:30,J1709-1640,4.491782366353361,-0.29060832572761713,64.0,653,653.0,653.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:59:30,21/03/2017 15:08:28,J1430-6623,3.7990634188038133,-1.1585833005060413,56.0,785,482.0,482.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6275425078170693
21/03/2017 15:08:28,21/03/2017 15:12:06,J1340-6456,3.5779482376450686,-1.1330924758924554,4.0,378,214.0,214.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.7703951064918617
21/03/2017 15:12:06,21/03/2017 15:34:35,J1602-5100,4.198884025627092,-0.8901082222434858,22.0,864,1327.0,1327.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:34:35,21/03/2017 15:39:40,J1544-5308,4.123329013196465,-0.9271261708646045,5.0,178,incomplete,300.0,0,1800,2,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:39:40,21/03/2017 15:44:02,J0134-2937,0.4115100222105625,-0.5168263648055116,126.0,136,136.0,136.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:44:02,21/03/2017 15:52:08,J1016-5857,2.6893458466951095,-1.028812931595243,82.0,640,704.0,404.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.5826577303705889
21/03/2017 15:52:08,21/03/2017 16:28:25,J1016-5819,2.6886869849024815,-1.0178122667640273,1.0,1410,2176.0,2176.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:28:25,21/03/2017 16:34:54,J0842-4851,2.2780451912727337,-0.8524924983535592,20.0,644,369.0,369.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:34:54,21/03/2017 17:04:26,J0855-4644,2.337008958389797,-0.8155855720654147,2.0,3388,incomplete,1770.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-2  (PRN 13)
21/03/2017 17:04:26,21/03/2017 17:06:29,J0901-4624,2.363475422055248,-0.8095976382900308,3.0,640,incomplete,120.0,0,20,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite GPS BIIR-2  (PRN 13)
21/03/2017 17:06:29,21/03/2017 17:59:25,J0834-4159,2.243933458263026,-0.7325001426515868,6.0,3754,incomplete,3170.0,0,600,3,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 17 [-]
21/03/2017 17:59:25,21/03/2017 18:00:28,J0855-4644,2.337008958389797,-0.8155855720654147,7.0,3388,3496.0,56.0,0,180,3,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:00:28,21/03/2017 18:02:01,J0901-4624,2.363475422055248,-0.8095976382900308,0.0,640,903.0,93.0,0,20,4,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 18:02:01,21/03/2017 18:03:28,J0820-3826,2.1860199430233505,-0.6705803210766942,11.0,124,76.0,76.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.6330210343021698
21/03/2017 18:03:28,21/03/2017 18:18:23,J0630-2834,1.705288809539468,-0.49837499212955094,21.0,1244,874.0,874.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:18:23,21/03/2017 19:17:04,J0343-3000,0.9750529121243688,-0.5234654518359938,38.0,2597,3483.0,3483.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 19:17:04,21/03/2017 19:51:48,J2346-0609,6.22576790177979,-0.1070492848573911,152.0,1181,1932.0,1932.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
