Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:44:16,1490089456000
Duration,  0 day, 9 hours, 44 minutes, 16 seconds,35056000
Slew time, 0 day, 0 hour, 16 minutes, 40 seconds,1000000.0
Integration time, 0 day, 7 hours, 26 minutes, 36 seconds,2.6796E7
Waiting time, 0 day, 2 hours, 1 minute, 0 second,7260000.0
Relative slew time, 0.028525787311729802
Relative integration time, 0.7643769968051118
Relative waiting time, 0.20709721588315838
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:48,J1841-0425,4.891697053695527,-0.07699083662859986,67.0,186,101.0,101.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:02:48,21/03/2017 13:08:50,J1716-4005,4.523461452179434,-0.6994552421471609,51.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:08:50,21/03/2017 13:14:31,J1424-5822,3.7722462894028164,-1.0184190110859357,31.0,366,incomplete,310.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 29 [-]
21/03/2017 13:14:31,21/03/2017 13:24:26,J1555-3134,4.1682790954169535,-0.5508448196629737,31.0,518,564.0,564.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:24:26,21/03/2017 13:29:38,J1640-4715,4.3642823338538985,-0.824496932337889,12.0,517,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:29:38,21/03/2017 13:34:04,J1702-4310,4.461275370930876,-0.753206534971775,5.0,261,261.0,261.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:34:04,21/03/2017 13:35:30,J1705-3950,4.474576234272115,-0.69493677863922,3.0,318,573.0,83.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:35:30,21/03/2017 13:37:24,J1709-4429,4.49296676860038,-0.7763406802814875,4.0,102,110.0,110.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:37:24,21/03/2017 13:44:09,J1648-4611,4.399831054614415,-0.8059736560237369,3.0,402,402.0,402.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:44:09,21/03/2017 13:49:11,J1637-4642,4.351234543254198,-0.8149960386291855,2.0,222,incomplete,300.0,0,180,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:49:11,21/03/2017 13:52:37,J1721-3532,4.544603061741155,-0.6199331932894881,14.0,280,192.0,192.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4614138905752745
21/03/2017 13:52:37,21/03/2017 14:02:52,J1847-0402,4.919125986449196,-0.07032615143575517,41.0,597,574.0,574.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:02:52,21/03/2017 14:11:59,J1837-0559,4.87555275811458,-0.10429166463924004,5.0,542,842.0,542.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:11:59,21/03/2017 14:14:25,J1835-1106,4.866435158102161,-0.19365834010552305,6.0,165,140.0,140.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.1792009530216307
21/03/2017 14:14:25,21/03/2017 14:27:57,J1832-0827,4.854707490915438,-0.14746267457552845,2.0,647,810.0,810.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:27:57,21/03/2017 14:33:46,J1739-2903,4.623251961159148,-0.5070011792255139,27.0,322,322.0,322.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:33:46,21/03/2017 14:44:52,J1709-1640,4.491782366353361,-0.29060832572761713,13.0,653,653.0,653.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:44:52,21/03/2017 14:55:49,J1822-4209,4.809207920868779,-0.7356030471734241,23.0,456,634.0,634.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:55:49,21/03/2017 15:00:54,J1825-1446,4.8216849160810265,-0.2574719408815657,26.0,279,279.0,279.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:00:54,21/03/2017 15:22:13,J1913-0440,5.034851176966692,-0.08121753926324903,15.0,825,1264.0,1264.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:22:13,21/03/2017 15:25:48,J1841-0345,4.8940981176919065,-0.06611598094763187,11.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:25:48,21/03/2017 15:33:51,J1738-3211,4.62033631592164,-0.5614452708004336,32.0,768,451.0,451.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7024575848614145
21/03/2017 15:33:51,21/03/2017 15:35:26,J1718-3825,4.530115883562922,-0.6704097636236798,8.0,80,87.0,87.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
