Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 19:00:38,1490076038000
Duration,  0 day, 6 hours, 0 minute, 38 seconds,21638000
Slew time, 0 day, 0 hour, 16 minutes, 46 seconds,1006000.0
Integration time, 0 day, 5 hours, 43 minutes, 52 seconds,2.0632E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.046492282096312045
Relative integration time, 0.9535077179036879
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:02:44,J1845-0743,4.912896768176928,-0.13449507215868303,69.0,104,95.0,95.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.098011357606771
21/03/2017 13:02:44,21/03/2017 13:07:41,J1721-3532,4.544603061741155,-0.6199331932894881,43.0,280,254.0,254.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1032975092107515
21/03/2017 13:07:41,21/03/2017 13:12:18,J1723-3659,4.551497257730635,-0.645413545927562,1.0,202,276.0,276.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:12:18,21/03/2017 13:19:52,J1730-3350,4.5838570437816015,-0.5903120470010577,3.0,139,451.0,451.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:19:52,21/03/2017 13:27:39,J1829-1751,4.842062362318582,-0.3115223637474246,24.0,307,443.0,443.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:27:39,21/03/2017 13:29:47,J1841-0345,4.8940981176919065,-0.06611598094763187,15.0,204,113.0,113.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.807128043453477
21/03/2017 13:29:47,21/03/2017 13:46:13,J1555-3134,4.1682790954169535,-0.5508448196629737,48.0,518,938.0,938.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:46:13,21/03/2017 13:57:09,J1847-0402,4.919125986449196,-0.07032615143575517,45.0,597,611.0,611.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:57:09,21/03/2017 14:04:35,J1741-3927,4.63080072834018,-0.6883481607129415,45.0,512,401.0,401.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:04:35,21/03/2017 14:08:08,J1705-1906,4.475031401596625,-0.3331707490500087,17.0,298,196.0,196.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:08:08,21/03/2017 14:11:24,J1824-1945,4.8171418603991105,-0.34445187859574644,15.0,189,181.0,181.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.043625140255091
21/03/2017 14:11:24,21/03/2017 14:12:54,J1835-1106,4.866435158102161,-0.19365834010552305,9.0,165,81.0,81.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 2.0410644126628887
21/03/2017 14:12:54,21/03/2017 14:15:28,J1841-0425,4.891697053695527,-0.07699083662859986,6.0,186,148.0,148.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:15:28,21/03/2017 14:19:45,J1837-0559,4.87555275811458,-0.10429166463924004,2.0,542,255.0,255.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.1274671542139045
21/03/2017 14:19:45,21/03/2017 14:46:32,J1852-0635,4.943454574497262,-0.1146244986247276,2.0,524,1605.0,1605.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:46:32,21/03/2017 14:57:05,J1900-2600,4.977648628870023,-0.4535732571261997,21.0,612,612.0,612.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:57:05,21/03/2017 15:15:53,J1913-0440,5.034851176966692,-0.08121753926324903,21.0,825,1107.0,1107.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:15:53,21/03/2017 15:27:49,J1832-0827,4.854707490915438,-0.14746267457552845,11.0,647,705.0,705.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:27:49,21/03/2017 15:39:34,J1352-6803,3.6327901188453393,-1.1875166901064496,77.0,628,628.0,628.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:39:34,21/03/2017 15:52:42,J1430-6623,3.7990634188038133,-1.1585833005060413,3.0,785,785.0,785.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 15:52:42,21/03/2017 16:00:15,J0940-5428,2.5349612932689074,-0.9504258315650477,36.0,311,417.0,417.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:00:15,21/03/2017 16:03:23,J0742-2822,2.0194228844886313,-0.4948795766822046,34.0,166,154.0,154.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:03:23,21/03/2017 16:42:51,J2346-0609,6.22576790177979,-0.1070492848573911,153.0,1181,2215.0,2215.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:42:51,21/03/2017 16:49:06,J1823-3106,4.816147953567742,-0.5425562025638845,91.0,284,584.0,284.0,0,1800,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:49:06,21/03/2017 16:54:12,J0907-5157,2.3878940327316918,-0.9064112943049969,91.0,253,215.0,215.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:54:12,21/03/2017 16:59:22,J0905-5127,2.3817869802348595,-0.8977357474070141,1.0,346,309.0,309.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:59:22,21/03/2017 17:12:19,J0842-4851,2.2780451912727337,-0.8524924983535592,4.0,644,773.0,773.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 17:12:19,21/03/2017 17:13:53,J0835-4510,2.2486103217937075,-0.7881379662280048,5.0,89,389.0,89.0,0,5400,2,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:13:53,21/03/2017 17:24:32,J0837-4135,2.25737844216725,-0.725696412895,3.0,751,636.0,636.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 17:24:32,21/03/2017 17:59:24,J0834-4159,2.243933458263026,-0.7325001426515868,2.0,3754,incomplete,2090.0,0,600,2,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 17 [-]
21/03/2017 17:59:24,21/03/2017 18:06:48,J0855-4644,2.337008958389797,-0.8155855720654147,4.0,3388,incomplete,440.0,0,180,3,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 98 [+]
21/03/2017 18:06:48,21/03/2017 18:12:25,J0738-4042,2.0007530247579957,-0.710150522840646,12.0,374,625.0,325.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.1495980439528997
21/03/2017 18:12:25,21/03/2017 18:28:49,J0630-2834,1.705288809539468,-0.49837499212955094,20.0,1244,964.0,964.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 18:28:49,21/03/2017 18:33:54,J0729-1836,1.9614847164732712,-0.324423983022271,12.0,510,293.0,293.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7433683724033708
21/03/2017 18:33:54,21/03/2017 18:50:27,J0624-0424,1.6769725591753457,-0.07654989858563074,26.0,1039,967.0,967.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
