Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:36:00,1490088960000
Duration,  0 day, 9 hours, 36 minutes, 0 second,34560000
Slew time, 0 day, 0 hour, 16 minutes, 1 second,961000.0
Integration time, 0 day, 4 hours, 36 minutes, 59 seconds,1.6619E7
Waiting time, 0 day, 4 hours, 43 minutes, 0 second,1.698E7
Relative slew time, 0.027806712962962964
Relative integration time, 0.4808738425925926
Relative waiting time, 0.4913194444444444
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:34,J1829-1751,4.842062362318582,-0.3115223637474246,83.0,307,251.0,251.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:05:34,21/03/2017 13:07:35,J1803-2137,4.72921762683755,-0.37724636798574257,8.0,133,113.0,113.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.181827957870489
21/03/2017 13:07:35,21/03/2017 13:17:58,J1833-0827,4.8593093423765295,-0.14732881751817412,18.0,85,605.0,605.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:17:58,21/03/2017 13:20:25,J1544-5308,4.123329013196465,-0.9271261708646045,65.0,178,82.0,82.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.163838236110577
21/03/2017 13:20:25,21/03/2017 13:24:21,J1524-5625,4.035336493627919,-0.9845431399320879,4.0,196,232.0,232.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:24:21,21/03/2017 13:34:19,J1357-62,3.653919511102295,-1.0902490060791246,12.0,455,586.0,586.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:34:19,21/03/2017 13:41:11,J1157-6224,3.129610968274852,-1.0888388285248813,12.0,400,400.0,400.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:41:11,21/03/2017 13:46:57,J1340-6456,3.5779482376450686,-1.1330924758924554,8.0,378,338.0,338.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.118852079729316
21/03/2017 13:46:57,21/03/2017 13:50:14,J0134-2937,0.4115100222105625,-0.5168263648055116,101.0,136,396.0,96.0,0,600,2,0,1,0,Completed: Shortened interval; scintillation of 1.4130578165437275
21/03/2017 13:50:14,21/03/2017 13:57:47,J1428-5530,3.789276848633516,-0.9684143583889359,111.0,570,602.0,342.0,0,60,2,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:57:47,21/03/2017 14:03:44,J1522-5829,4.026057886992005,-1.0207136342386272,6.0,395,351.0,351.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:03:44,21/03/2017 14:04:05,J1356-5521,3.651414818181579,-0.9659769091257897,11.0,507,incomplete,10.0,0,60,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:04:05,21/03/2017 14:11:22,J1852-0635,4.943454574497262,-0.1146244986247276,77.0,524,360.0,360.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:11:22,21/03/2017 14:22:39,J1709-1640,4.491782366353361,-0.29060832572761713,24.0,653,653.0,653.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:22:39,21/03/2017 14:24:46,J1801-2451,4.71675346706751,-0.4335809953582858,12.0,187,115.0,115.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.631901600442685
21/03/2017 14:24:46,21/03/2017 14:27:13,J1823-3106,4.816147953567742,-0.5425562025638845,6.0,284,141.0,141.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.0112064808782706
21/03/2017 14:27:13,21/03/2017 14:36:40,J1837-0559,4.87555275811458,-0.10429166463924004,25.0,542,542.0,542.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:36:40,21/03/2017 14:45:04,J1852-2610,4.943606345420133,-0.45663291626768204,18.0,336,486.0,486.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:45:04,21/03/2017 14:57:32,J0842-4851,2.2780451912727337,-0.8524924983535592,103.0,644,645.0,645.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:57:32,21/03/2017 15:01:04,J0907-5157,2.3878940327316918,-0.9064112943049969,3.0,253,209.0,209.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:01:04,21/03/2017 15:09:33,J1412-6145,3.718110539329081,-1.0776011867663389,39.0,613,incomplete,470.0,0,1800,2,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 5 [+]
21/03/2017 15:09:33,21/03/2017 15:15:22,J0835-4510,2.2486103217937075,-0.7881379662280048,49.0,89,incomplete,300.0,0,5400,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:15:22,21/03/2017 15:32:39,J0905-5127,2.3817869802348595,-0.8977357474070141,7.0,346,incomplete,1030.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 12 [+]
21/03/2017 15:32:39,21/03/2017 15:42:03,J0855-4644,2.337008958389797,-0.8155855720654147,6.0,3388,3548.0,558.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:42:03,21/03/2017 15:44:06,J0901-4624,2.363475422055248,-0.8095976382900308,0.0,640,623.0,123.0,0,20,3,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:44:06,21/03/2017 15:44:25,J0905-5127,2.3817869802348595,-0.8977357474070141,3.0,346,1046.0,16.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:44:25,21/03/2017 15:57:17,J1001-5507,2.6251191846627617,-0.961934823540907,8.0,1436,764.0,764.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8797217223709377
21/03/2017 15:57:17,21/03/2017 16:08:22,J1038-5831,2.785232781358634,-1.021176728266823,4.0,661,661.0,661.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:08:22,21/03/2017 16:36:20,J1156-5707,3.1246811403584895,-0.9968646796374868,7.0,3754,1671.0,1671.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.247224118269559
21/03/2017 16:36:20,21/03/2017 16:42:24,J1326-5859,3.5210759567483114,-1.029312289686786,8.0,477,506.0,356.0,0,180,2,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:42:24,21/03/2017 16:43:30,J1359-6038,3.6650619839352356,-1.0582125180314064,3.0,127,63.0,63.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.0109372876572205
21/03/2017 16:43:30,21/03/2017 16:54:52,J1430-6623,3.7990634188038133,-1.1585833005060413,6.0,785,676.0,676.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.1608158540053601
21/03/2017 16:54:52,21/03/2017 16:56:07,J1534-5405,4.07778653713903,-0.9437397660888661,9.0,289,incomplete,66.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 16:56:07,21/03/2017 17:06:02,J1536-5433,4.084420969958173,-0.9520043849107402,0.0,881,incomplete,595.0,0,1800,1,0,1,1,Aborted: High scintillation; observed until object set.
21/03/2017 17:06:02,21/03/2017 17:53:00,J0343-3000,0.9750529121243688,-0.5234654518359938,105.0,2597,2713.0,2713.0,16980,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.Waited for more observables to rise above the horizon. Waited for more observables to rise above the horizon. 
