Start time,  21/03/2017 13:00:00,1490054400000
End time,  24/03/2017 04:37:33,1490283453000
Duration,  2 days, 15 hours, 37 minutes, 33 seconds,229053000
Slew time, 0 day, 2 hours, 0 minute, 18 seconds,7218000.0
Integration time, 2 days, 3 hours, 16 minutes, 15 seconds,1.84575E8
Waiting time, 0 day, 10 hours, 21 minutes, 0 second,3.726E7
Relative slew time, 0.03151235740199866
Relative integration time, 0.8058178674804521
Relative waiting time, 0.1626697751175492
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:26,J1835-0643,4.86550969726629,-0.1171969200166948,70.0,305,196.0,196.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:04:26,21/03/2017 13:09:49,J1842-0905,4.897258472634954,-0.15841480955726533,1.0,344,322.0,322.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.0677590318201025
21/03/2017 13:09:49,21/03/2017 13:13:59,J1224-6407,3.2479257474367653,-1.1187855756815446,92.0,216,158.0,158.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.368023824814081
21/03/2017 13:13:59,21/03/2017 13:17:01,J0134-2937,0.4115100222105625,-0.5168263648055116,94.0,136,88.0,88.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.5493753698535226
21/03/2017 13:17:01,21/03/2017 13:21:56,J1105-6107,2.9035130175457686,-1.0664378669451107,86.0,240,209.0,209.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:21:56,21/03/2017 13:22:53,J1112-6103,2.933230156943058,-1.065372731287713,0.0,69,57.0,57.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.2019950696676998
21/03/2017 13:22:53,21/03/2017 13:25:09,J1341-6220,3.5853884308022166,-1.0878215439778092,14.0,193,122.0,122.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:25:09,21/03/2017 13:26:45,J1513-5908,3.987758818218554,-1.0320277311146804,9.0,153,87.0,87.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.762823977799823
21/03/2017 13:26:45,21/03/2017 13:31:47,J1452-6036,3.895858361010688,-1.057517537619536,2.0,154,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:31:47,21/03/2017 13:37:55,J1633-5015,4.3327873584472965,-0.8769886792189808,16.0,352,352.0,352.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:37:55,21/03/2017 13:41:02,J1626-4537,4.305798532281135,-0.796036914815716,3.0,370,184.0,184.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0063213311853096
21/03/2017 13:41:02,21/03/2017 13:49:22,J1613-4714,4.247624526650597,-0.8242521014289287,2.0,382,498.0,498.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
