Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:17:04,1490087824000
Duration,  0 day, 9 hours, 17 minutes, 4 seconds,33424000
Slew time, 0 day, 0 hour, 13 minutes, 8 seconds,788000.0
Integration time, 0 day, 9 hours, 3 minutes, 56 seconds,3.2636E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.02357587362374342
Relative integration time, 0.9764241263762565
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:05:28,J1626-4537,4.305798532281135,-0.796036914815716,127.0,370,201.0,201.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.8440716346885535
21/03/2017 13:05:28,21/03/2017 13:06:22,J1410-6132,3.7105699897399442,-1.073959266393844,25.0,50,29.0,29.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7434797468154406
21/03/2017 13:06:22,21/03/2017 13:10:33,J1420-6048,3.753056903331503,-1.061080530324746,1.0,167,250.0,250.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:10:33,21/03/2017 13:12:02,J1359-6038,3.6650619839352356,-1.0582125180314064,2.0,127,87.0,87.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4625705986643232
21/03/2017 13:12:02,21/03/2017 13:13:18,J1453-6413,3.898828256899113,-1.1207166855361403,6.0,179,70.0,70.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.5433269438332107
21/03/2017 13:13:18,21/03/2017 13:16:33,J1456-6843,3.9095490145515406,-1.1991417949589347,4.0,263,191.0,191.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.376858573824807
21/03/2017 13:16:33,21/03/2017 13:19:14,J1452-6036,3.895858361010688,-1.057517537619536,7.0,154,154.0,154.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:19:14,21/03/2017 13:22:11,J1548-5607,4.1396322791834494,-0.9792562467395884,7.0,170,170.0,170.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:22:11,21/03/2017 13:28:25,J1424-5822,3.7722462894028164,-1.0184190110859357,8.0,366,366.0,366.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:28:25,21/03/2017 13:32:01,J1534-5405,4.07778653713903,-0.9437397660888661,8.0,289,208.0,208.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.3882945802773499
21/03/2017 13:32:01,21/03/2017 13:37:55,J1413-6141,3.7226323965327905,-1.0765142344932912,13.0,364,341.0,341.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:37:55,21/03/2017 13:40:15,J1600-5751,4.190239555286068,-1.0096017046675965,10.0,194,130.0,130.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:40:15,21/03/2017 13:43:33,J1600-5044,4.192646727934829,-0.885362090230896,6.0,192,192.0,192.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:43:33,21/03/2017 13:45:38,J1637-4553,4.354502672278558,-0.8006828843217886,7.0,118,118.0,118.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:45:38,21/03/2017 13:55:38,J1633-4453,4.33620129518625,-0.7833241304696617,1.0,436,599.0,599.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:55:38,21/03/2017 14:01:10,J1623-4256,4.29266202077779,-0.7490759224087218,4.0,364,328.0,328.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:01:10,21/03/2017 14:05:07,J1557-4258,4.175718997685893,-0.7498484245282018,5.0,329,232.0,232.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4209224575301735
21/03/2017 14:05:07,21/03/2017 14:13:09,J1555-3134,4.1682790954169535,-0.5508448196629737,8.0,518,474.0,474.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:13:09,21/03/2017 14:18:57,J1613-4714,4.247624526650597,-0.8242521014289287,12.0,382,336.0,336.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:18:57,21/03/2017 14:22:51,J1559-4438,4.187446746757646,-0.778776084707186,4.0,257,230.0,230.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.118829953864065
21/03/2017 14:22:51,21/03/2017 14:36:45,J1636-4440,4.347071932988192,-0.7794591958038565,4.0,938,incomplete,830.0,0,5400,1,0,2,2,Aborted: Normal scintillation; interrupted by satellite GSAT0211 (PRN E02)
21/03/2017 14:36:45,21/03/2017 14:43:59,J1630-4733,4.322414793980642,-0.8298798186392482,4.0,575,incomplete,430.0,0,180,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite COSMOS 2434 (721)
21/03/2017 14:43:59,21/03/2017 14:51:02,J1549-4848,4.142332012648075,-0.8515391607310254,5.0,613,418.0,418.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4669513180724452
21/03/2017 14:51:02,21/03/2017 14:54:54,J1146-6030,3.0810689984537603,-1.0556362181299903,36.0,273,196.0,196.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:54:54,21/03/2017 15:04:37,J1356-5521,3.651414818181579,-0.9659769091257897,17.0,507,566.0,566.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:04:37,21/03/2017 15:23:02,J1428-5530,3.789276848633516,-0.9684143583889359,2.0,570,1103.0,1103.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:23:02,21/03/2017 15:25:48,J1530-5327,4.059844552428529,-0.9326055350885045,6.0,389,160.0,160.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.4250669204774877
21/03/2017 15:25:48,21/03/2017 15:29:03,J1048-5832,2.8283205972672447,-1.02157126964051,38.0,123,157.0,157.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:29:03,21/03/2017 15:33:28,J1105-6107,2.9035130175457686,-1.0664378669451107,2.0,240,263.0,263.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:33:28,21/03/2017 15:38:28,J1112-6103,2.933230156943058,-1.065372731287713,0.0,69,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 15:38:28,21/03/2017 15:41:38,J1341-6220,3.5853884308022166,-1.0878215439778092,16.0,193,174.0,174.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:41:38,21/03/2017 15:43:12,J1047-6709,2.825126790180199,-1.171741017759797,18.0,198,76.0,76.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 2.604301881326318
21/03/2017 15:43:12,21/03/2017 15:53:08,J1352-6803,3.6327901188453393,-1.1875166901064496,17.0,628,579.0,579.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.0838470731181569
21/03/2017 15:53:08,21/03/2017 16:14:50,J1534-5334,4.075952486983392,-0.934821133611175,16.0,1368,1286.0,1286.0,0,600,1,0,3,0,Completed incrementally checking scint every 600 seconds.
21/03/2017 16:14:50,21/03/2017 16:17:33,J1019-5749,2.7046887452611825,-1.0090625918542027,44.0,211,119.0,119.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.777087666960671
21/03/2017 16:17:33,21/03/2017 16:23:26,J1056-6258,2.8641980217035528,-1.098744881026888,6.0,422,347.0,347.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 16:23:26,21/03/2017 16:34:12,J1016-5857,2.6893458466951095,-1.028812931595243,6.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:34:12,21/03/2017 16:45:14,J1038-5831,2.785232781358634,-1.021176728266823,1.0,661,661.0,661.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 16:45:14,21/03/2017 16:56:27,J1327-6222,3.5224671296062557,-1.0882874499253554,19.0,529,654.0,654.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 16:56:27,21/03/2017 17:06:43,J1412-6145,3.718110539329081,-1.0776011867663389,3.0,613,613.0,613.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 17:06:43,21/03/2017 18:42:26,J1509-5850,3.9682336744323896,-1.0265633961148948,6.0,6023,5737.0,5737.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:42:26,21/03/2017 18:52:19,J1357-6429,3.652278174384899,-1.1253000655959817,19.0,700,574.0,574.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 18:52:19,21/03/2017 18:59:19,J1430-6623,3.7990634188038133,-1.1585833005060413,2.0,785,418.0,418.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.8787002894597737
21/03/2017 18:59:19,21/03/2017 19:10:09,J1301-6305,3.4110831256260643,-1.1008475179618602,10.0,640,640.0,640.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:10:09,21/03/2017 19:16:12,J0857-4424,2.3471157964778353,-0.7748761551135918,37.0,326,326.0,326.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 19:16:12,21/03/2017 19:31:12,J1034-3224,2.767765671648779,-0.5653606260890742,20.0,1150,incomplete,880.0,0,20,1,0,3,2,Aborted: Checked scintillation repeatedly; interrupted by satellite IRIDIUM 70 [+]
21/03/2017 19:31:12,21/03/2017 19:57:29,J1028-5819,2.742203143091757,-1.0177926318099422,22.0,1045,1555.0,1555.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
