Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 19:45:00,1490078700000
Duration,  0 day, 6 hours, 45 minutes, 0 second,24300000
Slew time, 0 day, 0 hour, 10 minutes, 29 seconds,629000.0
Integration time, 0 day, 6 hours, 34 minutes, 31 seconds,2.3671E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.02588477366255144
Relative integration time, 0.9741152263374485
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:16:42,J1555-3134,4.1682790954169535,-0.5508448196629737,116.0,518,886.0,886.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:16:42,21/03/2017 13:17:26,J1530-5327,4.059844552428529,-0.9326055350885045,24.0,389,incomplete,20.0,0,600,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 31 [+]
21/03/2017 13:17:26,21/03/2017 13:19:31,J1549-4848,4.142332012648075,-0.8515391607310254,5.0,613,incomplete,120.0,0,5400,1,0,1,2,Aborted: High scintillation; interrupted by satellite IRIDIUM 28 [-]
21/03/2017 13:19:31,21/03/2017 13:22:40,J1327-6301,3.521744999628243,-1.0997737041395705,24.0,196,165.0,165.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.187763187962464
21/03/2017 13:22:40,21/03/2017 13:26:31,J1341-6220,3.5853884308022166,-1.0878215439778092,1.0,193,230.0,230.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:26:31,21/03/2017 13:32:51,J1340-6456,3.5779482376450686,-1.1330924758924554,2.0,378,378.0,378.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:32:51,21/03/2017 13:35:55,J1420-6048,3.753056903331503,-1.061080530324746,5.0,167,179.0,179.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:35:55,21/03/2017 13:42:23,J1349-6130,3.6198601379701474,-1.073294586837043,3.0,402,385.0,385.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:42:23,21/03/2017 13:44:30,J1359-6038,3.6650619839352356,-1.0582125180314064,0.0,127,127.0,127.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:44:30,21/03/2017 13:45:35,J1452-6036,3.895858361010688,-1.057517537619536,4.0,154,61.0,61.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.5040686274266792
21/03/2017 13:45:35,21/03/2017 13:47:45,J1512-5759,3.9824796335635835,-1.011710159366742,3.0,128,127.0,127.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.0078614835810635
21/03/2017 13:47:45,21/03/2017 13:52:54,J1543-5459,4.1187043270109935,-0.9595737809139034,4.0,377,305.0,305.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:52:54,21/03/2017 13:59:33,J1531-5610,4.064283506492767,-0.9800266156788715,2.0,376,397.0,397.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 13:59:33,21/03/2017 14:06:39,J1306-6617,3.4323492353410936,-1.1567567164810928,20.0,473,406.0,406.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:06:39,21/03/2017 14:11:34,J1413-6141,3.7226323965327905,-1.0765142344932912,8.0,364,287.0,287.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:11:34,21/03/2017 14:18:46,J1424-5822,3.7722462894028164,-1.0184190110859357,2.0,366,430.0,430.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:18:46,21/03/2017 14:25:56,J1119-6127,2.963736330606354,-1.0722648425783663,23.0,407,407.0,407.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:25:56,21/03/2017 14:30:59,J1157-6224,3.129610968274852,-1.0888388285248813,3.0,400,incomplete,300.0,0,1800,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 14:30:59,21/03/2017 14:37:57,J1356-5521,3.651414818181579,-0.9659769091257897,16.0,507,402.0,402.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:37:57,21/03/2017 14:54:08,J1428-5530,3.789276848633516,-0.9684143583889359,2.0,570,969.0,969.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 14:54:08,21/03/2017 14:57:31,J0940-5428,2.5349612932689074,-0.9504258315650477,41.0,311,162.0,162.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 14:57:31,21/03/2017 15:07:58,J0942-5552,2.540605251737544,-0.9748037178922785,1.0,664,626.0,626.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:07:58,21/03/2017 15:18:45,J1056-6258,2.8641980217035528,-1.098744881026888,9.0,422,638.0,638.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:18:45,21/03/2017 15:27:58,J1326-6700,3.5170711533355066,-1.1691233438588349,14.0,543,539.0,539.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:27:58,21/03/2017 15:34:06,J1352-6803,3.6327901188453393,-1.1875166901064496,1.0,628,367.0,367.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.7096766896152076
