Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 17:52:42,1490071962000
Duration,  0 day, 4 hours, 52 minutes, 42 seconds,17562000
Slew time, 0 day, 0 hour, 13 minutes, 41 seconds,821000.0
Integration time, 0 day, 4 hours, 39 minutes, 1 second,1.6741E7
Waiting time, 0 day, 0 hour, 0 minute, 0 second,0.0
Relative slew time, 0.04674866188361235
Relative integration time, 0.9532513381163876
Relative waiting time, 0.0
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:04:30,J1841-0345,4.8940981176919065,-0.06611598094763187,66.0,204,204.0,204.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:04:30,21/03/2017 13:11:17,J1835-0643,4.86550969726629,-0.1171969200166948,5.0,305,402.0,402.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:11:17,21/03/2017 13:12:27,J1833-0827,4.8593093423765295,-0.14732881751817412,3.0,85,67.0,67.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:12:27,21/03/2017 13:14:14,J1826-1334,4.826793494801613,-0.2365561090511381,6.0,101,101.0,101.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:14:14,21/03/2017 13:18:54,J1825-1446,4.8216849160810265,-0.2574719408815657,1.0,279,279.0,279.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:18:54,21/03/2017 13:19:45,J1809-1917,4.754796626939387,-0.3363729434137372,7.0,82,44.0,44.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 1.8672435411681194
21/03/2017 13:19:45,21/03/2017 13:26:32,J1817-3618,4.786985588889814,-0.6335351259266973,20.0,387,387.0,387.0,0,1800,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:26:32,21/03/2017 13:29:10,J1824-1945,4.8171418603991105,-0.34445187859574644,20.0,189,138.0,138.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.3722537666652435
21/03/2017 13:29:10,21/03/2017 13:34:44,J1829-1751,4.842062362318582,-0.3115223637474246,2.0,307,332.0,332.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:34:44,21/03/2017 13:36:02,J1828-1101,4.835932765985578,-0.19203033576435724,6.0,72,72.0,72.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:36:02,21/03/2017 13:38:48,J1835-1106,4.866435158102161,-0.19365834010552305,1.0,165,165.0,165.0,0,180,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:38:48,21/03/2017 13:44:34,J1842-0905,4.897258472634954,-0.15841480955726533,2.0,344,344.0,344.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:44:34,21/03/2017 13:46:33,J1801-2451,4.71675346706751,-0.4335809953582858,22.0,187,97.0,97.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.928740838932719
21/03/2017 13:46:33,21/03/2017 13:48:09,J1803-2137,4.72921762683755,-0.37724636798574257,3.0,133,93.0,93.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.4374377645423813
21/03/2017 13:48:09,21/03/2017 13:55:05,J1801-2304,4.7181943090870835,-0.40237499314630826,1.0,415,415.0,415.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:55:05,21/03/2017 13:56:39,J1807-0847,4.745697672861144,-0.15308830708701918,13.0,163,81.0,81.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.0237925115282107
21/03/2017 13:56:39,21/03/2017 13:59:20,J1806-2125,4.739993544166545,-0.37359742266300844,12.0,481,149.0,149.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 3.2304779272862656
21/03/2017 13:59:20,21/03/2017 14:00:18,J1823-3106,4.816147953567742,-0.5425562025638845,8.0,284,incomplete,50.0,0,1800,1,0,1,2,Aborted: High scintillation; interrupted by satellite COSMOS 2436 (723)
21/03/2017 14:00:18,21/03/2017 14:25:53,J2346-0609,6.22576790177979,-0.1070492848573911,222.0,1181,1313.0,1313.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 14:25:53,21/03/2017 14:35:50,J1845-0434,4.911262630942696,-0.07955889469743707,111.0,486,486.0,486.0,0,600,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 14:35:50,21/03/2017 14:40:27,J1830-1059,4.846747771417612,-0.19156006649368096,9.0,405,268.0,268.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.5088759920329295
21/03/2017 14:40:27,21/03/2017 14:47:18,J1900-2600,4.977648628870023,-0.4535732571261997,12.0,612,399.0,399.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.534924243118375
21/03/2017 14:47:18,21/03/2017 14:49:33,J1823-3106,4.816147953567742,-0.5425562025638845,9.0,284,176.0,126.0,0,1800,2,0,1,0,Completed: Shortened interval; scintillation of 1.67139572133618
21/03/2017 14:49:33,21/03/2017 15:03:54,J1822-4209,4.809207920868779,-0.7356030471734241,11.0,456,850.0,850.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 15:03:54,21/03/2017 15:08:25,J1837-0559,4.87555275811458,-0.10429166463924004,34.0,542,237.0,237.0,0,1800,1,0,1,0,Completed: Shortened interval; scintillation of 2.2839593336762514
21/03/2017 15:08:25,21/03/2017 15:18:10,J1841-0425,4.891697053695527,-0.07699083662859986,1.0,186,584.0,584.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:18:10,21/03/2017 15:32:01,J1847-0402,4.919125986449196,-0.07032615143575517,0.0,597,831.0,831.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:32:01,21/03/2017 15:35:06,J1853-0004,4.945319022470706,0.0013201476536612666,3.0,179,182.0,182.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 15:35:06,21/03/2017 15:40:07,J1820-0427,4.803481131982726,-0.07748234073850871,8.0,598,incomplete,293.0,0,60,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 15:40:07,21/03/2017 15:51:34,J1832-0827,4.854707490915438,-0.14746267457552845,3.0,647,684.0,684.0,0,20,1,0,3,0,Completed incrementally checking scint every 20 seconds.
21/03/2017 15:51:34,21/03/2017 15:52:37,J1845-0743,4.912896768176928,-0.13449507215868303,0.0,104,63.0,63.0,0,180,1,0,1,0,Completed: Shortened interval; scintillation of 1.6481845841415805
21/03/2017 15:52:37,21/03/2017 16:09:21,J1843-0702,4.901643830546746,-0.1224901157870487,1.0,4689,incomplete,1003.0,0,1800,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
21/03/2017 16:09:21,21/03/2017 16:17:42,J1852-0635,4.943454574497262,-0.1146244986247276,1.0,524,incomplete,500.0,0,180,1,0,3,1,Aborted: Checked scintillation repeatedly; observed until object set. 
