Start time,  21/03/2017 13:00:00,1490054400000
End time,  21/03/2017 22:44:15,1490089455000
Duration,  0 day, 9 hours, 44 minutes, 15 seconds,35055000
Slew time, 0 day, 0 hour, 5 minutes, 4 seconds,304000.0
Integration time, 0 day, 9 hours, 14 minutes, 11 seconds,3.3251E7
Waiting time, 0 day, 0 hour, 25 minutes, 0 second,1500000.0
Relative slew time, 0.008672086720867209
Relative integration time, 0.9485380116959065
Relative waiting time, 0.04278990158322636
Start, End, Name, RA, DEC, Slew (to here), Expected Int, Actual Int, This Int, Wait time, Scint timescale, Attempt no, # sats cons, Obs result, Interruption, Comment 
21/03/2017 13:00:00,21/03/2017 13:09:12,J1709-1640,4.491782366353361,-0.29060832572761713,93.0,653,459.0,459.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.4213735493648205
21/03/2017 13:09:12,21/03/2017 13:16:01,J1640-4715,4.3642823338538985,-0.824496932337889,35.0,517,374.0,374.0,0,5400,1,0,1,0,Completed: Shortened interval; scintillation of 1.3820718598760016
21/03/2017 13:16:01,21/03/2017 13:27:29,J1644-4559,4.384360237958581,-0.8025145104090204,1.0,455,687.0,687.0,0,180,1,0,3,0,Completed incrementally checking scint every 180 seconds.
21/03/2017 13:27:29,21/03/2017 13:32:31,J1648-4611,4.399831054614415,-0.8059736560237369,1.0,402,301.0,301.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 1.3344615944893978
21/03/2017 13:32:31,21/03/2017 13:33:42,J1709-4429,4.49296676860038,-0.7763406802814875,2.0,102,69.0,69.0,0,60,1,0,3,0,Completed incrementally checking scint every 60 seconds.
21/03/2017 13:33:42,21/03/2017 13:35:20,J1702-4310,4.461275370930876,-0.753206534971775,1.0,261,97.0,97.0,0,600,1,0,1,0,Completed: Shortened interval; scintillation of 2.6958288847176752
21/03/2017 13:35:20,21/03/2017 13:40:22,J1707-4053,4.482712959244913,-0.7132767953819126,2.0,581,incomplete,300.0,0,600,1,0,4,0,Aborted: Scintillation too low within first five minutes.
21/03/2017 13:40:22,21/03/2017 13:45:34,J1716-4005,4.523461452179434,-0.6994552421471609,1.0,311,311.0,311.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:45:34,21/03/2017 13:56:15,J1715-3903,4.517079364881308,-0.6815413766301635,1.0,640,640.0,640.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
21/03/2017 13:56:15,21/03/2017 15:05:59,J1718-3718,4.529856629446949,-0.6507508597428968,2.0,4182,4182.0,4182.0,0,5400,1,0,2,0,Completed: Nominal time; scintillation good.
